subj,object_response,category,condition,imagename
subject-02,elephant,elephant,10,0001_lp_s02_10_elephant_10_n02504458_5379.png
subject-02,bear,dog,15,0002_lp_s02_15_dog_10_n02091244_10926.png
subject-02,dog,dog,0,0003_lp_s02_0_dog_10_n02109961_1223.png
subject-02,car,car,3,0004_lp_s02_3_car_10_n03100240_13707.png
subject-02,bear,bear,0,0005_lp_s02_0_bear_10_n02132136_7586.png
subject-02,keyboard,clock,7,0006_lp_s02_7_clock_10_n03196217_3006.png
subject-02,oven,truck,15,0007_lp_s02_15_truck_10_n03796401_25386.png
subject-02,car,airplane,1,0008_lp_s02_1_airplane_10_n02690373_5266.png
subject-02,cat,chair,10,0009_lp_s02_10_chair_10_n04429376_2450.png
subject-02,bicycle,bicycle,0,0010_lp_s02_0_bicycle_10_n02835271_24213.png
subject-02,boat,elephant,10,0011_lp_s02_10_elephant_10_n02504458_6107.png
subject-02,chair,boat,15,0012_lp_s02_15_boat_10_n03662601_16825.png
subject-02,boat,boat,0,0013_lp_s02_0_boat_10_n03344393_5350.png
subject-02,airplane,boat,3,0014_lp_s02_3_boat_10_n03662601_25023.png
subject-02,bicycle,car,15,0015_lp_s02_15_car_10_n02814533_9785.png
subject-02,airplane,airplane,3,0016_lp_s02_3_airplane_10_n02690373_20074.png
subject-02,bear,bicycle,40,0017_lp_s02_40_bicycle_10_n02835271_9690.png
subject-02,bird,airplane,40,0018_lp_s02_40_airplane_10_n02690373_2525.png
subject-02,dog,cat,7,0019_lp_s02_7_cat_10_n02124075_9149.png
subject-02,clock,clock,1,0020_lp_s02_1_clock_10_n02708093_3605.png
subject-02,keyboard,truck,5,0021_lp_s02_5_truck_10_n04467665_69582.png
subject-02,chair,elephant,7,0022_lp_s02_7_elephant_10_n02504013_24811.png
subject-02,bird,bird,7,0023_lp_s02_7_bird_10_n01614925_1097.png
subject-02,keyboard,keyboard,3,0024_lp_s02_3_keyboard_10_n04505470_3947.png
subject-02,car,car,5,0025_lp_s02_5_car_10_n03100240_16907.png
subject-02,bottle,bottle,3,0026_lp_s02_3_bottle_10_n04591713_5364.png
subject-02,bear,oven,10,0027_lp_s02_10_oven_10_n04111531_13795.png
subject-02,oven,airplane,10,0028_lp_s02_10_airplane_10_n02690373_8813.png
subject-02,chair,bird,40,0029_lp_s02_40_bird_10_n02018795_4730.png
subject-02,bicycle,bicycle,3,0030_lp_s02_3_bicycle_10_n02835271_9440.png
subject-02,truck,truck,0,0031_lp_s02_0_truck_10_n04467665_19131.png
subject-02,boat,boat,0,0032_lp_s02_0_boat_10_n03344393_3349.png
subject-02,oven,oven,1,0033_lp_s02_1_oven_10_n04111531_2715.png
subject-02,car,car,5,0034_lp_s02_5_car_10_n02814533_82372.png
subject-02,boat,clock,40,0035_lp_s02_40_clock_10_n03196217_634.png
subject-02,chair,chair,1,0036_lp_s02_1_chair_10_n04429376_5238.png
