dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,ahiq,False,5,1.1644303798675537,-0.14272239804267883
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,ahiq,False,1,1.194650411605835,0.4387636184692383
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,ahiq,False,3,1.1982343196868896,0.09227848052978516
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,ahiq,False,7,1.1977763175964355,-0.2901037633419037
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,ahiq,False,7,1.200305700302124,-0.20868387818336487
blurred,0008_lp_dnn_1_bear_10_n02134418_14,ahiq,False,1,1.2050178050994873,0.35829123854637146
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,ahiq,False,10,1.2039990425109863,-0.407691091299057
blurred,0010_lp_dnn_5_bird_10_n01795545_952,ahiq,False,5,1.2038216590881348,-0.027114612981677055
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,ahiq,False,3,1.207017183303833,0.09985128790140152
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,ahiq,False,3,1.2098991870880127,0.01381599623709917
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,ahiq,False,7,1.2113161087036133,-0.3154172897338867
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,ahiq,False,10,1.2113280296325684,-0.4148103892803192
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,ahiq,False,5,1.214404582977295,-0.10812018066644669
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,ahiq,False,1,1.2123064994812012,0.3912704885005951
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,ahiq,False,7,1.21559739112854,-0.10148222744464874
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,ahiq,False,10,1.2136642932891846,-0.24176278710365295
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,ahiq,False,15,1.216179609298706,-0.3730737268924713
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,ahiq,False,10,1.2199890613555908,-0.275315523147583
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,ahiq,False,1,1.2187013626098633,0.4547441899776459
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,ahiq,False,7,1.2176063060760498,-0.26767536997795105
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,ahiq,False,15,1.2198305130004883,-0.33653724193573
blurred,0026_lp_dnn_7_car_10_n02814533_44503,ahiq,False,7,1.2210445404052734,-0.14993040263652802
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,ahiq,False,5,1.2227709293365479,-0.13885921239852905
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,ahiq,False,0,1.2230877876281738,0.5424274802207947
blurred,0029_lp_dnn_7_cat_10_n02123159_587,ahiq,False,7,1.2279539108276367,-0.32423287630081177
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,ahiq,False,10,1.2244617938995361,-0.24366150796413422
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,ahiq,False,5,1.2256600856781006,-0.01441871840506792
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,ahiq,False,1,1.230830192565918,0.43411093950271606
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,ahiq,False,7,1.2246999740600586,-0.42868414521217346
