dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,ckdn,False,5,0.0055842399597167,0.2969801127910614
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,ckdn,False,1,0.0056650638580322,0.4331136643886566
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,ckdn,False,3,0.005540132522583,0.4062170386314392
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,ckdn,False,7,0.0055115222930908,0.2426910400390625
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,ckdn,False,7,0.0054700374603271,0.2641432881355285
blurred,0008_lp_dnn_1_bear_10_n02134418_14,ckdn,False,1,0.0057206153869628,0.4067375063896179
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,ckdn,False,10,0.0055141448974609,0.2284301668405532
blurred,0010_lp_dnn_5_bird_10_n01795545_952,ckdn,False,5,0.0053119659423828,0.3034105598926544
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,ckdn,False,3,0.0054445266723632,0.3556041717529297
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,ckdn,False,3,0.0055968761444091,0.3348104059696197
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,ckdn,False,7,0.0055091381072998,0.2425530850887298
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,ckdn,False,10,0.0054757595062255,0.1942993402481079
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,ckdn,False,5,0.0057649612426757,0.2846938669681549
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,ckdn,False,1,0.0058112144470214,0.4315018355846405
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,ckdn,False,7,0.0057227611541748,0.2951725423336029
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,ckdn,False,10,0.0055594444274902,0.2920083403587341
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,ckdn,False,15,0.0056464672088623,0.2226374596357345
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,ckdn,False,10,0.0056517124176025,0.2295640110969543
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,ckdn,False,1,0.0057957172393798,0.386642575263977
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,ckdn,False,7,0.0056917667388916,0.269618958234787
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,ckdn,False,15,0.0055403709411621,0.2870841026306152
blurred,0026_lp_dnn_7_car_10_n02814533_44503,ckdn,False,7,0.005561351776123,0.321613997220993
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,ckdn,False,5,0.0056667327880859,0.2713927328586578
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,ckdn,False,0,0.0059707164764404,0.505916953086853
blurred,0029_lp_dnn_7_cat_10_n02123159_587,ckdn,False,7,0.0057651996612548,0.2196881175041198
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,ckdn,False,10,0.005587100982666,0.2334593534469604
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,ckdn,False,5,0.0055327415466308,0.3163017332553863
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,ckdn,False,1,0.0060691833496093,0.4454874992370605
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,ckdn,False,7,0.0056154727935791,0.2682853043079376
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,ckdn,False,10,0.0055699348449707,0.2202476561069488
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,ckdn,False,3,0.0055482387542724,0.3941760063171386
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,ckdn,False,15,0.005671739578247,0.2215265482664108
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,ckdn,False,3,0.0057034492492675,0.3792254626750946
blurred,0039_lp_dnn_0_car_10_n03100240_9625,ckdn,False,0,0.0058379173278808,0.5941289663314819
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,ckdn,False,10,0.0055937767028808,0.2365560084581375
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,ckdn,False,0,0.0059719085693359,0.5576192736625671
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,ckdn,False,1,0.0057296752929687,0.5334408283233643
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,ckdn,False,7,0.0055818557739257,0.2303661406040191
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,ckdn,False,15,0.0056931972503662,0.1999644339084625
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,ckdn,False,10,0.0057094097137451,0.2179670333862304
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,ckdn,False,15,0.005591869354248,0.2876109480857849
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,ckdn,False,7,0.0054881572723388,0.33271524310112
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,ckdn,False,1,0.0055432319641113,0.4866341948509216
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,ckdn,False,1,0.0059890747070312,0.3999247252941131
blurred,0051_lp_dnn_5_car_10_n04285008_7428,ckdn,False,5,0.0057275295257568,0.2543677389621734
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,ckdn,False,7,0.0057601928710937,0.2350703924894333
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,ckdn,False,0,0.0059895515441894,0.6273317933082581
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,ckdn,False,0,0.0061619281768798,0.6514174938201904
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,ckdn,False,5,0.0056929588317871,0.3308389186859131
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,ckdn,False,0,0.0060184001922607,0.5953201651573181
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,ckdn,False,3,0.0058379173278808,0.3456164598464966
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,ckdn,False,10,0.0058836936950683,0.2506736516952514
