dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,cw_ssim,False,5,0.06204962730407715,0.8775703360805721
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,cw_ssim,False,1,0.05911564826965332,0.9991790518086641
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,cw_ssim,False,3,0.058640241622924805,0.9833537971885354
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,cw_ssim,False,7,0.05876970291137695,0.705058400824178
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,cw_ssim,False,7,0.058797597885131836,0.7036382711272331
blurred,0008_lp_dnn_1_bear_10_n02134418_14,cw_ssim,False,1,0.05893588066101074,0.9993751695107229
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,cw_ssim,False,10,0.0586700439453125,0.3849699454033729
blurred,0010_lp_dnn_5_bird_10_n01795545_952,cw_ssim,False,5,0.05833005905151367,0.8585296978199783
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,cw_ssim,False,3,0.05858111381530762,0.9750330790120407
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,cw_ssim,False,3,0.05874180793762207,0.9816960296142394
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,cw_ssim,False,7,0.05853104591369629,0.6792501744064502
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,cw_ssim,False,10,0.05850052833557129,0.3640539180920197
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,cw_ssim,False,5,0.058652400970458984,0.8817123751432738
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,cw_ssim,False,1,0.05888032913208008,0.9993620333996411
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,cw_ssim,False,7,0.05853581428527832,0.6929841686446157
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,cw_ssim,False,10,0.05852794647216797,0.4022099766852393
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,cw_ssim,False,15,0.05852532386779785,0.11280470039097719
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,cw_ssim,False,10,0.058516502380371094,0.3840174761665706
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,cw_ssim,False,1,0.05879783630371094,0.9993229297204188
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,cw_ssim,False,7,0.05858206748962402,0.6966859132218557
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,cw_ssim,False,15,0.058417558670043945,0.1554744868425208
blurred,0026_lp_dnn_7_car_10_n02814533_44503,cw_ssim,False,7,0.0585939884185791,0.6516758666200382
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,cw_ssim,False,5,0.058551788330078125,0.8725229053092124
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,cw_ssim,False,0,0.05932497978210449,0.9648416585874735
blurred,0029_lp_dnn_7_cat_10_n02123159_587,cw_ssim,False,7,0.05860280990600586,0.6499992033352671
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,cw_ssim,False,10,0.05856823921203613,0.32370706351441847
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,cw_ssim,False,5,0.05830645561218262,0.8908791931471869
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,cw_ssim,False,1,0.05898761749267578,0.9995303071597006
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,cw_ssim,False,7,0.0585484504699707,0.6437990051631135
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,cw_ssim,False,10,0.05857443809509277,0.32542456860674646
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,cw_ssim,False,3,0.05859184265136719,0.9824853557137792
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,cw_ssim,False,15,0.058699846267700195,0.10164638313394124
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,cw_ssim,False,3,0.05870699882507324,0.9823800432424561
blurred,0039_lp_dnn_0_car_10_n03100240_9625,cw_ssim,False,0,0.05923104286193848,0.9991048601720974
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,cw_ssim,False,10,0.05855226516723633,0.4024383711327082
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,cw_ssim,False,0,0.059548377990722656,0.9790773276427712
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,cw_ssim,False,1,0.05871748924255371,0.9939928162995774
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,cw_ssim,False,7,0.05857682228088379,0.6476146306921646
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,cw_ssim,False,15,0.05878162384033203,0.10289464018036555
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,cw_ssim,False,10,0.058785200119018555,0.4103987061821796
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,cw_ssim,False,15,0.0585169792175293,0.13428531677703331
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,cw_ssim,False,7,0.058469533920288086,0.7261549449861402
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,cw_ssim,False,1,0.0585474967956543,0.9922230345052179
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,cw_ssim,False,1,0.059035539627075195,0.999427461870872
blurred,0051_lp_dnn_5_car_10_n04285008_7428,cw_ssim,False,5,0.05857396125793457,0.8775490376324298
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,cw_ssim,False,7,0.05876946449279785,0.6525969037962072
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,cw_ssim,False,0,0.059239864349365234,0.9989299573311624
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,cw_ssim,False,0,0.05953240394592285,0.9826724159193749
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,cw_ssim,False,5,0.05862712860107422,0.8686217630593924
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,cw_ssim,False,0,0.05940747261047363,0.9746449350908502
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,cw_ssim,False,3,0.05881094932556152,0.9789819258920456
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,cw_ssim,False,10,0.05888700485229492,0.4569728865378151
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,cw_ssim,False,15,0.05845451354980469,0.13589951285152663
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,cw_ssim,False,3,0.05875658988952637,0.9789375222060057
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,cw_ssim,False,7,0.058350324630737305,0.6877448727061628
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,cw_ssim,False,15,0.058943986892700195,0.12828049305640776
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,cw_ssim,False,1,0.05913186073303223,0.9988165671792135
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,cw_ssim,False,0,0.05931258201599121,0.9997224462856568
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,cw_ssim,False,3,0.05888962745666504,0.9732011872225123
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,cw_ssim,False,15,0.058496713638305664,0.18243025288645998
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,cw_ssim,False,0,0.0590817928314209,0.9993319478202107
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,cw_ssim,False,10,0.05867195129394531,0.40796570679171396
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,cw_ssim,False,10,0.058673858642578125,0.33967621301561834
