dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,dists,True,5,0.0069894790649414,0.4335588812828064
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,dists,True,1,0.0072276592254638,0.2077149152755737
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,dists,True,3,0.0071189403533935,0.331805944442749
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,dists,True,7,0.0071046352386474,0.4897301197052002
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,dists,True,7,0.0070724487304687,0.4428987503051758
blurred,0008_lp_dnn_1_bear_10_n02134418_14,dists,True,1,0.0073382854461669,0.1767030954360962
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,dists,True,10,0.007115364074707,0.5324957370758057
blurred,0010_lp_dnn_5_bird_10_n01795545_952,dists,True,5,0.0069224834442138,0.4449589252471924
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,dists,True,3,0.007051944732666,0.3792585730552673
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,dists,True,3,0.0072128772735595,0.3551613688468933
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,dists,True,7,0.0070307254791259,0.4759556651115417
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,dists,True,10,0.0074741840362548,0.5582968592643738
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,dists,True,5,0.0071721076965332,0.4492157697677612
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,dists,True,1,0.0072128772735595,0.2205215692520141
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,dists,True,7,0.0071022510528564,0.4686465263366699
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,dists,True,10,0.006976842880249,0.5172039866447449
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,dists,True,15,0.0070176124572753,0.629240095615387
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,dists,True,10,0.0070686340332031,0.5763874053955078
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,dists,True,1,0.007185935974121,0.1573702096939087
