dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,fsim,False,5,0.0111081600189208,0.6133838295936584
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,fsim,False,1,0.0115344524383544,0.9130935072898864
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,fsim,False,3,0.0113821029663085,0.8145206570625305
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,fsim,False,7,0.0113227367401123,0.6407393217086792
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,fsim,False,7,0.0114009380340576,0.7020100355148315
blurred,0008_lp_dnn_1_bear_10_n02134418_14,fsim,False,1,0.0114438533782958,0.9127399325370787
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,fsim,False,10,0.0113892555236816,0.6505962610244751
blurred,0010_lp_dnn_5_bird_10_n01795545_952,fsim,False,5,0.0110876560211181,0.6851926445960999
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,fsim,False,3,0.0112051963806152,0.5031566023826599
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,fsim,False,3,0.0114448070526123,0.7546972036361694
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,fsim,False,7,0.0111632347106933,0.6949647665023804
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,fsim,False,10,0.0110313892364501,0.367138147354126
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,fsim,False,5,0.0114316940307617,0.5896438360214233
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,fsim,False,1,0.0113162994384765,0.8669661283493042
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,fsim,False,7,0.0113556385040283,0.6478726863861084
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,fsim,False,10,0.0112087726593017,0.6482838988304138
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,fsim,False,15,0.0111706256866455,0.3663421273231506
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,fsim,False,10,0.0113229751586914,0.4948257803916931
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,fsim,False,1,0.011423110961914,0.9387416839599608
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,fsim,False,7,0.0113706588745117,0.5890811085700989
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,fsim,False,15,0.0111422538757324,0.5419481992721558
blurred,0026_lp_dnn_7_car_10_n02814533_44503,fsim,False,7,0.0111591815948486,0.6010987162590027
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,fsim,False,5,0.01131272315979,0.5197497010231018
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,fsim,False,0,0.0114545822143554,0.9999998211860656
blurred,0029_lp_dnn_7_cat_10_n02123159_587,fsim,False,7,0.0114285945892333,0.510325014591217
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,fsim,False,10,0.0111751556396484,0.4906873404979706
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,fsim,False,5,0.0110526084899902,0.5823066830635071
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,fsim,False,1,0.011467695236206,0.8727319240570068
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,fsim,False,7,0.0111401081085205,0.5620843768119812
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,fsim,False,10,0.0111875534057617,0.4914385378360748
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,fsim,False,3,0.0111181735992431,0.623372495174408
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,fsim,False,15,0.0111353397369384,0.5013177990913391
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,fsim,False,3,0.0113067626953125,0.7945834398269653
blurred,0039_lp_dnn_0_car_10_n03100240_9625,fsim,False,0,0.0113449096679687,0.9999998211860656
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,fsim,False,10,0.0112483501434326,0.4674771130084991
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,fsim,False,0,0.0115187168121337,0.9999999403953552
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,fsim,False,1,0.0111665725708007,0.9176350831985474
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,fsim,False,7,0.0112593173980712,0.6653401851654053
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,fsim,False,15,0.0112314224243164,0.3431312441825866
