dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,gmsd,True,5,0.0028789043426513,0.2753655910491943
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,gmsd,True,1,0.0030906200408935,0.0520095042884349
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,gmsd,True,3,0.0030264854431152,0.0946189686655998
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,gmsd,True,7,0.0029752254486083,0.2686793506145477
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,gmsd,True,7,0.0029802322387695,0.1997687220573425
blurred,0008_lp_dnn_1_bear_10_n02134418_14,gmsd,True,1,0.0032310485839843,0.0405141822993755
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,gmsd,True,10,0.0030367374420166,0.2716687023639679
blurred,0010_lp_dnn_5_bird_10_n01795545_952,gmsd,True,5,0.0028533935546875,0.2564497292041778
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,gmsd,True,3,0.0029802322387695,0.195067897439003
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,gmsd,True,3,0.0031461715698242,0.1696812808513641
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,gmsd,True,7,0.0029394626617431,0.2335695773363113
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,gmsd,True,10,0.0028481483459472,0.2973236441612243
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,gmsd,True,5,0.0030508041381835,0.2474113702774047
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,gmsd,True,1,0.0030984878540039,0.0820362642407417
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,gmsd,True,7,0.0029981136322021,0.2254571467638015
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,gmsd,True,10,0.0029003620147705,0.2522960901260376
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,gmsd,True,15,0.002958059310913,0.3053403794765472
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,gmsd,True,10,0.0029926300048828,0.2959698736667633
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,gmsd,True,1,0.0031096935272216,0.0321849659085273
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,gmsd,True,7,0.0030088424682617,0.2662255764007568
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,gmsd,True,15,0.002875804901123,0.3129396438598633
blurred,0026_lp_dnn_7_car_10_n02814533_44503,gmsd,True,7,0.0028448104858398,0.2866374552249908
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,gmsd,True,5,0.0029656887054443,0.2242508232593536
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,gmsd,True,0,0.0032298564910888,0.0
blurred,0029_lp_dnn_7_cat_10_n02123159_587,gmsd,True,7,0.003070592880249,0.2883652448654175
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,gmsd,True,10,0.0028939247131347,0.292805552482605
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,gmsd,True,5,0.0027971267700195,0.2317515760660171
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,gmsd,True,1,0.0033390522003173,0.0472474098205566
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,gmsd,True,7,0.0029423236846923,0.3032456040382385
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,gmsd,True,10,0.0028812885284423,0.3430793881416321
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,gmsd,True,3,0.0028831958770751,0.2279212027788162
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,gmsd,True,15,0.0030064582824707,0.3363397717475891
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,gmsd,True,3,0.0030033588409423,0.1887757927179336
blurred,0039_lp_dnn_0_car_10_n03100240_9625,gmsd,True,0,0.0031244754791259,0.0
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,gmsd,True,10,0.0028872489929199,0.2817124128341675
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,gmsd,True,0,0.0032525062561035,0.0
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,gmsd,True,1,0.0029945373535156,0.0958449468016624
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,gmsd,True,7,0.0028667449951171,0.2897561192512512
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,gmsd,True,15,0.0029990673065185,0.3046578466892242
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,gmsd,True,10,0.0030195713043212,0.2877446711063385
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,gmsd,True,15,0.0029094219207763,0.3411580920219421
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,gmsd,True,7,0.0029222965240478,0.2332338541746139
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,gmsd,True,1,0.0029482841491699,0.0652801692485809
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,gmsd,True,1,0.0033192634582519,0.0653538629412651
blurred,0051_lp_dnn_5_car_10_n04285008_7428,gmsd,True,5,0.0029845237731933,0.2714917659759521
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,gmsd,True,7,0.0030853748321533,0.2731412649154663
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,gmsd,True,0,0.0032320022583007,0.0
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,gmsd,True,0,0.0034320354461669,0.0
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,gmsd,True,5,0.0030272006988525,0.2594428956508636
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,gmsd,True,0,0.0033252239227294,0.0
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,gmsd,True,3,0.0031335353851318,0.1807997524738311
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,gmsd,True,10,0.0029518604278564,0.2428210377693176
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,gmsd,True,15,0.0028097629547119,0.2314929962158203
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,gmsd,True,3,0.0030281543731689,0.1757426112890243
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,gmsd,True,7,0.0026681423187255,0.2552597820758819
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,gmsd,True,15,0.0030515193939208,0.2841811180114746
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,gmsd,True,1,0.0033607482910156,0.0553919300436973
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,gmsd,True,0,0.0033087730407714,0.0
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,gmsd,True,3,0.0032136440277099,0.2186603844165802
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,gmsd,True,15,0.0028817653656005,0.3097282350063324
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,gmsd,True,0,0.0031435489654541,0.0
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,gmsd,True,10,0.0030031204223632,0.2397972494363784
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,gmsd,True,10,0.0030112266540527,0.3143908977508545
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,gmsd,True,3,0.0028467178344726,0.213637426495552
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,gmsd,True,5,0.0029788017272949,0.2098539769649505
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,gmsd,True,3,0.0028505325317382,0.1737089455127716
blurred,0073_lp_dnn_15_dog_10_n02108422_932,gmsd,True,15,0.0030360221862792,0.2902227938175201
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,gmsd,True,0,0.0032978057861328,0.0
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,gmsd,True,1,0.0032691955566406,0.058763213455677
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,gmsd,True,1,0.003314733505249,0.058265097439289
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,gmsd,True,1,0.002967357635498,0.027885103598237
blurred,0078_lp_dnn_15_clock_10_n02708093_274,gmsd,True,15,0.0029945373535156,0.2841262519359588
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,gmsd,True,5,0.0031237602233886,0.2245344966650009
blurred,0080_lp_dnn_15_car_10_n03100240_22499,gmsd,True,15,0.0029528141021728,0.2840697169303894
blurred,0081_lp_dnn_3_clock_10_n02708093_6252,gmsd,True,3,0.0028059482574462,0.2745971083641052
blurred,0082_lp_dnn_10_airplane_10_n02690373_5427,gmsd,True,10,0.002824068069458,0.2883736491203308
blurred,0083_lp_dnn_15_dog_10_n02107142_46045,gmsd,True,15,0.0030398368835449,0.2991496920585632
blurred,0085_lp_dnn_3_bicycle_10_n03792782_12421,gmsd,True,3,0.0031294822692871,0.2064927816390991
blurred,0086_lp_dnn_0_airplane_10_n02690373_1310,gmsd,True,0,0.0028746128082275,0.0
blurred,0087_lp_dnn_15_oven_10_n04111531_8793,gmsd,True,15,0.0027716159820556,0.2745811939239502
blurred,0088_lp_dnn_5_airplane_10_n02690373_633,gmsd,True,5,0.0029101371765136,0.2319350093603134
blurred,0089_lp_dnn_5_clock_10_n02708093_2307,gmsd,True,5,0.0031051635742187,0.2216692715883255
blurred,0090_lp_dnn_10_oven_10_n04111531_13795,gmsd,True,10,0.00295090675354,0.2868586778640747
blurred,0091_lp_dnn_3_boat_10_n03662601_1427,gmsd,True,3,0.0028433799743652,0.2538580000400543
blurred,0092_lp_dnn_5_boat_10_n04612504_15944,gmsd,True,5,0.0031249523162841,0.2424113452434539
blurred,0094_lp_dnn_7_elephant_10_n02504458_1848,gmsd,True,7,0.0030581951141357,0.2358060032129287
blurred,0095_lp_dnn_5_oven_10_n04111531_4155,gmsd,True,5,0.0029640197753906,0.2807038128376007
blurred,0096_lp_dnn_0_car_10_n03100240_8327,gmsd,True,0,0.0032918453216552,0.0
blurred,0097_lp_dnn_0_chair_10_n04429376_24319,gmsd,True,0,0.0032939910888671,0.0
blurred,0098_lp_dnn_3_chair_10_n03376595_5112,gmsd,True,3,0.0030436515808105,0.2284746915102005
blurred,0099_lp_dnn_1_cat_10_n02124075_2268,gmsd,True,1,0.0032234191894531,0.0620415024459362
blurred,0100_lp_dnn_3_boat_10_n04273569_1137,gmsd,True,3,0.0029351711273193,0.1472503244876861
blurred,0101_lp_dnn_1_chair_10_n02791124_15383,gmsd,True,1,0.0032413005828857,0.0608665458858013
blurred,0102_lp_dnn_15_clock_10_n04548280_8998,gmsd,True,15,0.0027098655700683,0.2566055357456207
blurred,0103_lp_dnn_0_dog_10_n02097047_2800,gmsd,True,0,0.0033347606658935,0.0
blurred,0104_lp_dnn_15_bicycle_10_n03792782_18294,gmsd,True,15,0.0030083656311035,0.3206865489482879
blurred,0105_lp_dnn_0_elephant_10_n02504013_24486,gmsd,True,0,0.0031213760375976,0.0
blurred,0106_lp_dnn_7_airplane_10_n02690373_2923,gmsd,True,7,0.002925157546997,0.2843376994132995
blurred,0107_lp_dnn_3_airplane_10_n02690373_15392,gmsd,True,3,0.0027954578399658,0.185698002576828
blurred,0108_lp_dnn_5_oven_10_n04111531_6080,gmsd,True,5,0.0031092166900634,0.2251593023538589
blurred,0109_lp_dnn_15_bear_10_n02134084_22736,gmsd,True,15,0.0028610229492187,0.2643413841724396
blurred,0110_lp_dnn_1_knife_10_n03041632_33326,gmsd,True,1,0.0032315254211425,0.0841551423072815
blurred,0113_lp_dnn_7_bicycle_10_n03792782_5416,gmsd,True,7,0.003117561340332,0.3007422387599945
blurred,0114_lp_dnn_7_knife_10_n03041632_25772,gmsd,True,7,0.003148078918457,0.2986116707324981
blurred,0115_lp_dnn_10_bicycle_10_n03792782_7108,gmsd,True,10,0.0030336380004882,0.2789318859577179
blurred,0116_lp_dnn_0_chair_10_n03376595_1981,gmsd,True,0,0.003354787826538,0.0
blurred,0117_lp_dnn_15_oven_10_n04111531_6508,gmsd,True,15,0.0030226707458496,0.2863173186779022
blurred,0118_lp_dnn_15_bird_10_n01843383_2843,gmsd,True,15,0.0029163360595703,0.3154747188091278
blurred,0119_lp_dnn_5_cat_10_n02123597_5887,gmsd,True,5,0.0030808448791503,0.1904474943876266
blurred,0121_lp_dnn_1_bird_10_n01530575_10332,gmsd,True,1,0.0031845569610595,0.0714929550886154
blurred,0122_lp_dnn_15_elephant_10_n02504013_5887,gmsd,True,15,0.0030159950256347,0.3122689723968506
blurred,0123_lp_dnn_3_cat_10_n02124075_8693,gmsd,True,3,0.0031421184539794,0.1819462478160858
blurred,0124_lp_dnn_15_boat_10_n04612504_26151,gmsd,True,15,0.0028896331787109,0.3055102229118347
blurred,0125_lp_dnn_7_cat_10_n02125311_53412,gmsd,True,7,0.0029337406158447,0.2763516306877136
blurred,0126_lp_dnn_7_knife_10_n03041632_46914,gmsd,True,7,0.0029644966125488,0.165115550160408
blurred,0127_lp_dnn_15_bicycle_10_n03792782_5629,gmsd,True,15,0.0030028820037841,0.3201416432857513
blurred,0129_lp_dnn_3_dog_10_n02101006_5024,gmsd,True,3,0.0030546188354492,0.1858221441507339
blurred,0130_lp_dnn_15_oven_10_n04111531_2350,gmsd,True,15,0.0028140544891357,0.283764123916626
blurred,0131_lp_dnn_7_airplane_10_n02690373_4839,gmsd,True,7,0.002875804901123,0.2986369132995605
blurred,0132_lp_dnn_5_car_10_n03100240_2075,gmsd,True,5,0.0029985904693603,0.2716113328933716
blurred,0133_lp_dnn_5_cat_10_n02123159_3729,gmsd,True,5,0.0030457973480224,0.2539257109165191
blurred,0134_lp_dnn_10_knife_10_n03041632_3079,gmsd,True,10,0.003157615661621,0.2982577681541443
blurred,0135_lp_dnn_15_elephant_10_n02504013_2052,gmsd,True,15,0.00303316116333,0.3147073984146118
blurred,0137_lp_dnn_15_keyboard_10_n03085013_7955,gmsd,True,15,0.0027565956115722,0.2674733698368072
blurred,0139_lp_dnn_10_cat_10_n02125311_44401,gmsd,True,10,0.003030776977539,0.292174756526947
blurred,0140_lp_dnn_10_airplane_10_n02690373_10657,gmsd,True,10,0.0026729106903076,0.2647372484207153
blurred,0141_lp_dnn_5_bird_10_n02025239_7919,gmsd,True,5,0.0030837059020996,0.2601438462734222
blurred,0144_lp_dnn_5_keyboard_10_n04505470_4371,gmsd,True,5,0.0028965473175048,0.273590087890625
blurred,0145_lp_dnn_0_keyboard_10_n03085013_14237,gmsd,True,0,0.0031955242156982,0.0
blurred,0146_lp_dnn_0_clock_10_n03196217_6163,gmsd,True,0,0.0032680034637451,0.0
blurred,0147_lp_dnn_15_chair_10_n02791124_3857,gmsd,True,15,0.0029668807983398,0.3012170493602752
blurred,0149_lp_dnn_0_truck_10_n04467665_17101,gmsd,True,0,0.003260850906372,0.0
