dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,lpips-vgg,True,5,0.0070502758026123,0.6121030449867249
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,lpips-vgg,True,1,0.0072658061981201,0.2648370862007141
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,lpips-vgg,True,3,0.007192850112915,0.5070961713790894
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips-vgg,True,7,0.0071454048156738,0.6247679591178894
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,lpips-vgg,True,7,0.0071263313293457,0.5746464133262634
blurred,0008_lp_dnn_1_bear_10_n02134418_14,lpips-vgg,True,1,0.0073699951171875,0.246240422129631
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,lpips-vgg,True,10,0.0071752071380615,0.6667175889015198
blurred,0010_lp_dnn_5_bird_10_n01795545_952,lpips-vgg,True,5,0.0069508552551269,0.5859115123748779
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,lpips-vgg,True,3,0.0071747303009033,0.705632209777832
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,lpips-vgg,True,3,0.007300853729248,0.5059835910797119
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips-vgg,True,7,0.007091999053955,0.5945283770561218
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,lpips-vgg,True,10,0.0069866180419921,0.882051944732666
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,lpips-vgg,True,5,0.0072262287139892,0.6531257629394531
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,lpips-vgg,True,1,0.0072689056396484,0.3237223625183105
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,lpips-vgg,True,7,0.0071616172790527,0.7033386826515198
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,lpips-vgg,True,10,0.0070290565490722,0.6842518448829651
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips-vgg,True,15,0.0070633888244628,0.8825169801712036
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,lpips-vgg,True,10,0.0070962905883789,0.7859548330307007
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,lpips-vgg,True,1,0.0072238445281982,0.160673588514328
