dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,lpips,True,5,0.02246570587158203,0.8418073654174805
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,lpips,True,1,0.005295515060424805,0.24002784490585327
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,lpips,True,3,0.00485539436340332,0.5443759560585022
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips,True,7,0.00477147102355957,0.8511516451835632
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,lpips,True,7,0.0047109127044677734,0.6908405423164368
blurred,0008_lp_dnn_1_bear_10_n02134418_14,lpips,True,1,0.005021810531616211,0.24967719614505768
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,lpips,True,10,0.004758119583129883,0.7836173176765442
blurred,0010_lp_dnn_5_bird_10_n01795545_952,lpips,True,5,0.0044820308685302734,0.6917709112167358
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,lpips,True,3,0.004675388336181641,0.9317331314086914
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,lpips,True,3,0.004899501800537109,0.599865198135376
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips,True,7,0.004832744598388672,0.6147576570510864
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,lpips,True,10,0.00450897216796875,0.9638851284980774
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,lpips,True,5,0.0047991275787353516,0.8346532583236694
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,lpips,True,1,0.004842996597290039,0.3104568123817444
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,lpips,True,7,0.004764080047607422,0.7498152852058411
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,lpips,True,10,0.004541158676147461,0.7892240881919861
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips,True,15,0.004653215408325195,1.0170105695724487
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,lpips,True,10,0.004704713821411133,0.965230405330658
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,lpips,True,1,0.0048716068267822266,0.17256677150726318
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,lpips,True,7,0.0047032833099365234,0.8573424816131592
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips,True,15,0.0045185089111328125,0.8184947967529297
blurred,0026_lp_dnn_7_car_10_n02814533_44503,lpips,True,7,0.004505157470703125,0.8340545892715454
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips,True,5,0.004955291748046875,0.9333600401878357
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,lpips,True,0,0.005338430404663086,0.021395720541477203
blurred,0029_lp_dnn_7_cat_10_n02123159_587,lpips,True,7,0.004825115203857422,0.9046157002449036
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,lpips,True,10,0.004576921463012695,0.8328794240951538
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,lpips,True,5,0.004463672637939453,0.7870486974716187
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,lpips,True,1,0.0050351619720458984,0.31957516074180603
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,lpips,True,7,0.0046198368072509766,0.8140825033187866
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,lpips,True,10,0.004526376724243164,0.986650288105011
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,lpips,True,3,0.004582405090332031,0.6901580095291138
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,lpips,True,15,0.004693031311035156,0.933842122554779
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,lpips,True,3,0.00470280647277832,0.5145660638809204
blurred,0039_lp_dnn_0_car_10_n03100240_9625,lpips,True,0,0.005192995071411133,0.00137684668879956
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,lpips,True,10,0.0047512054443359375,0.9432469606399536
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,lpips,True,0,0.00536799430847168,0.02119474858045578
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,lpips,True,1,0.0047152042388916016,0.11240876466035843
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,lpips,True,7,0.004554033279418945,0.6270245909690857
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,lpips,True,15,0.004754781723022461,1.042547345161438
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,lpips,True,10,0.004709720611572266,0.8529582619667053
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,lpips,True,15,0.004568815231323242,0.7819103002548218
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,lpips,True,7,0.0044422149658203125,0.7214024066925049
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,lpips,True,1,0.0045201778411865234,0.18939219415187836
