dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,mad,True,5,0.10651016235351562,241.32501607085328
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,mad,True,1,0.10430192947387695,98.32667276640912
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,mad,True,3,0.10415983200073242,89.5359753664809
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,mad,True,7,0.10439729690551758,267.1942748443106
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,mad,True,7,0.1042177677154541,194.9998833887984
blurred,0008_lp_dnn_1_bear_10_n02134418_14,mad,True,1,0.10454392433166504,69.08198825551486
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,mad,True,10,0.1041879653930664,235.84307088104964
blurred,0010_lp_dnn_5_bird_10_n01795545_952,mad,True,5,0.10398077964782715,203.35244881574866
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,mad,True,3,0.10415315628051758,155.8331191080079
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,mad,True,3,0.1044471263885498,185.28538411810612
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,mad,True,7,0.1040794849395752,229.48140566420426
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,mad,True,10,0.10396456718444824,257.77436195429055
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,mad,True,5,0.10428214073181152,213.01890074392296
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,mad,True,1,0.10435175895690918,86.35787533432003
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,mad,True,7,0.10416960716247559,227.00701872608175
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,mad,True,10,0.10411667823791504,254.1694135991744
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,mad,True,15,0.10411286354064941,213.77067290592714
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,mad,True,10,0.10412263870239258,217.9411454889181
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,mad,True,1,0.10437273979187012,65.2108023798086
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,mad,True,7,0.10429787635803223,241.42102135351286
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,mad,True,15,0.10406684875488281,191.2504410939107
blurred,0026_lp_dnn_7_car_10_n02814533_44503,mad,True,7,0.1039583683013916,237.87971590703378
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,mad,True,5,0.10413932800292969,181.10117016366408
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,mad,True,0,0.1048896312713623,35.96252558327965
blurred,0029_lp_dnn_7_cat_10_n02123159_587,mad,True,7,0.10431742668151855,220.71813422566078
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,mad,True,10,0.1041254997253418,206.45021696654308
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,mad,True,5,0.1039888858795166,157.04809489992996
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,mad,True,1,0.10449028015136719,70.41342357260373
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,mad,True,7,0.10422921180725098,270.1486531285884
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,mad,True,10,0.10404586791992188,272.71071157616103
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,mad,True,3,0.10405206680297852,190.50687033765158
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,mad,True,15,0.10417366027832031,269.8412093062228
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,mad,True,3,0.10418820381164551,186.35901157853382
blurred,0039_lp_dnn_0_car_10_n03100240_9625,mad,True,0,0.10463404655456543,10.890302526649567
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,mad,True,10,0.10408520698547363,207.02048970881992
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,mad,True,0,0.10489201545715332,47.90112071291788
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,mad,True,1,0.10415053367614746,89.32252034685635
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,mad,True,7,0.10404181480407715,240.71930576389133
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,mad,True,15,0.10425257682800293,237.26610967789532
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,mad,True,10,0.10424447059631348,238.1270648932114
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,mad,True,15,0.1041252613067627,223.68315186824412
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,mad,True,7,0.10393714904785156,281.5117845438302
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,mad,True,1,0.10395336151123047,75.64278818277495
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,mad,True,1,0.10454750061035156,102.40376200797951
blurred,0051_lp_dnn_5_car_10_n04285008_7428,mad,True,5,0.10422945022583008,254.24583140838126
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,mad,True,7,0.10449624061584473,261.5248405543939
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,mad,True,0,0.10483264923095703,10.164934899339027
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,mad,True,0,0.10518312454223633,17.240722528850505
