dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,ms_ssim,False,5,0.014789819717407227,0.6971440058926573
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,ms_ssim,False,1,0.012952327728271484,0.9820808248917421
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,ms_ssim,False,3,0.012764215469360352,0.937692810056454
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,ms_ssim,False,7,0.012712955474853516,0.6515422310314968
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,ms_ssim,False,7,0.012704849243164062,0.7660947067192552
blurred,0008_lp_dnn_1_bear_10_n02134418_14,ms_ssim,False,1,0.012985706329345703,0.9792553222159847
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,ms_ssim,False,10,0.012734413146972656,0.5537675756048899
blurred,0010_lp_dnn_5_bird_10_n01795545_952,ms_ssim,False,5,0.012560367584228516,0.7852606842411042
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,ms_ssim,False,3,0.012643814086914062,0.7418280648290083
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,ms_ssim,False,3,0.012865543365478516,0.8640202493528061
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,ms_ssim,False,7,0.012598991394042969,0.6369059115012777
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,ms_ssim,False,10,0.012483358383178711,0.3934987595629056
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,ms_ssim,False,5,0.012789726257324219,0.7570601145462592
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,ms_ssim,False,1,0.012829780578613281,0.9685350253242063
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,ms_ssim,False,7,0.012695789337158203,0.7283902034853054
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,ms_ssim,False,10,0.012640714645385742,0.6748141611327828
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,ms_ssim,False,15,0.012627124786376953,0.3871623993659184
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,ms_ssim,False,10,0.012627840042114258,0.424005167701793
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,ms_ssim,False,1,0.01279902458190918,0.986632714465259
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,ms_ssim,False,7,0.012696266174316406,0.6355581543025086
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,ms_ssim,False,15,0.012507200241088867,0.5097071763370372
blurred,0026_lp_dnn_7_car_10_n02814533_44503,ms_ssim,False,7,0.01247859001159668,0.660599138933966
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,ms_ssim,False,5,0.012656450271606445,0.6730313626654009
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,ms_ssim,False,0,0.013411521911621094,0.9774579969504811
blurred,0029_lp_dnn_7_cat_10_n02123159_587,ms_ssim,False,7,0.012803792953491211,0.5286515113339469
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,ms_ssim,False,10,0.012563467025756836,0.44001661155233146
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,ms_ssim,False,5,0.012449502944946289,0.7395862336617673
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,ms_ssim,False,1,0.013022899627685547,0.9681678505933934
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,ms_ssim,False,7,0.012568950653076172,0.5876301064510336
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,ms_ssim,False,10,0.012525796890258789,0.3151323939509312
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,ms_ssim,False,3,0.012535572052001953,0.8255949444042301
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,ms_ssim,False,15,0.01284027099609375,0.3599215198493429
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,ms_ssim,False,3,0.012699365615844727,0.9207995034077425
blurred,0039_lp_dnn_0_car_10_n03100240_9625,ms_ssim,False,0,0.013175487518310547,0.9983875049855175
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,ms_ssim,False,10,0.012559890747070312,0.5387692275079775
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,ms_ssim,False,0,0.013360738754272461,0.9800434751185493
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,ms_ssim,False,1,0.01271367073059082,0.9929666352947938
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,ms_ssim,False,7,0.012529850006103516,0.5972820895416519
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,ms_ssim,False,15,0.012783288955688477,0.33244223826290703
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,ms_ssim,False,10,0.01278233528137207,0.5375993366548796
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,ms_ssim,False,15,0.012545108795166016,0.5804087994712795
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,ms_ssim,False,7,0.012433052062988281,0.7823098656356493
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,ms_ssim,False,1,0.012506723403930664,0.9888660932255912
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,ms_ssim,False,1,0.013049125671386719,0.9551370414187397
blurred,0051_lp_dnn_5_car_10_n04285008_7428,ms_ssim,False,5,0.01262974739074707,0.6902729851480991
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,ms_ssim,False,7,0.012753963470458984,0.5800565230736571
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,ms_ssim,False,0,0.013271570205688477,0.9987752036023813
