dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,nlpd,True,5,0.0105464458465576,0.6489420533180237
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,nlpd,True,1,0.0108940601348876,0.1894407719373703
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,nlpd,True,3,0.0106594562530517,0.3205549120903015
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,nlpd,True,7,0.0106637477874755,0.7216534614562988
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,nlpd,True,7,0.0106091499328613,0.4771220684051513
blurred,0008_lp_dnn_1_bear_10_n02134418_14,nlpd,True,1,0.011138916015625,0.18964284658432
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,nlpd,True,10,0.0108182430267333,0.6993974447250366
blurred,0010_lp_dnn_5_bird_10_n01795545_952,nlpd,True,5,0.0104844570159912,0.5359160900115967
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,nlpd,True,3,0.0106582641601562,0.5342624187469482
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,nlpd,True,3,0.0107991695404052,0.4185599684715271
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,nlpd,True,7,0.0105566978454589,0.5990313291549683
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,nlpd,True,10,0.0104508399963378,0.9321366548538208
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,nlpd,True,5,0.0106475353240966,0.6474330425262451
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,nlpd,True,1,0.0109705924987792,0.2685561180114746
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,nlpd,True,7,0.0107424259185791,0.6264559030532837
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,nlpd,True,10,0.0105400085449218,0.6593706011772156
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,nlpd,True,15,0.0105865001678466,0.8815590143203735
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,nlpd,True,10,0.0106127262115478,0.883963942527771
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,nlpd,True,1,0.0108704566955566,0.1344922482967376
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,nlpd,True,7,0.0106770992279052,0.6959707736968994
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,nlpd,True,15,0.0112209320068359,0.5948441028594971
blurred,0026_lp_dnn_7_car_10_n02814533_44503,nlpd,True,7,0.0106368064880371,0.6865379214286804
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,nlpd,True,5,0.0106377601623535,0.6335689425468445
