dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,pieapp,True,5,0.0080392360687255,6.346303939819336
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,pieapp,True,1,0.0082514286041259,1.6345680952072144
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,pieapp,True,3,0.008157730102539,2.9285218715667725
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,pieapp,True,7,0.0081310272216796,7.746683120727539
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,pieapp,True,7,0.0081007480621337,3.610515832901001
blurred,0008_lp_dnn_1_bear_10_n02134418_14,pieapp,True,1,0.0083532333374023,1.3178757429122925
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,pieapp,True,10,0.0082285404205322,4.964840888977051
blurred,0010_lp_dnn_5_bird_10_n01795545_952,pieapp,True,5,0.00795578956604,4.903702259063721
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,pieapp,True,3,0.0080776214599609,5.028172969818115
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,pieapp,True,3,0.0082478523254394,4.583655834197998
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,pieapp,True,7,0.0080485343933105,8.661243438720703
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,pieapp,True,10,0.0079469680786132,7.129661083221436
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,pieapp,True,5,0.00823974609375,4.583773612976074
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,pieapp,True,1,0.0082705020904541,1.5901358127593994
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,pieapp,True,7,0.0081665515899658,5.076840400695801
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,pieapp,True,10,0.0080373287200927,4.717668056488037
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,pieapp,True,15,0.0081043243408203,4.320098400115967
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,pieapp,True,10,0.0081939697265625,5.490572929382324
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,pieapp,True,1,0.0082457065582275,1.0722192525863647
