dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,psnr,False,5,0.0022280216217041,18.31437873840332
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,psnr,False,1,0.0024342536926269,28.483964920043945
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,psnr,False,3,0.0023400783538818,28.821422576904297
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,psnr,False,7,0.0023024082183837,16.51689338684082
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,psnr,False,7,0.0023379325866699,22.44680404663086
blurred,0008_lp_dnn_1_bear_10_n02134418_14,psnr,False,1,0.0025510787963867,28.126388549804688
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,psnr,False,10,0.0023307800292968,17.83147621154785
blurred,0010_lp_dnn_5_bird_10_n01795545_952,psnr,False,5,0.0021283626556396,20.99448013305664
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,psnr,False,3,0.0022611618041992,21.054372787475582
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,psnr,False,3,0.002427339553833,23.328052520751957
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,psnr,False,7,0.0022251605987548,17.3939151763916
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,psnr,False,10,0.0021378993988037,15.09872817993164
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,psnr,False,5,0.002375841140747,19.143177032470703
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,psnr,False,1,0.0024192333221435,26.341657638549805
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,psnr,False,7,0.0023138523101806,19.683979034423828
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,psnr,False,10,0.0021905899047851,18.692188262939453
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,psnr,False,15,0.002253770828247,16.44279670715332
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,psnr,False,10,0.0022597312927246,16.41261100769043
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,psnr,False,1,0.0024013519287109,32.89521789550781
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,psnr,False,7,0.0023059844970703,18.196922302246094
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,psnr,False,15,0.0021607875823974,22.059202194213867
blurred,0026_lp_dnn_7_car_10_n02814533_44503,psnr,False,7,0.0021388530731201,16.755512237548828
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,psnr,False,5,0.002272605895996,20.88504409790039
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,psnr,False,0,0.0025713443756103,80.0
blurred,0029_lp_dnn_7_cat_10_n02123159_587,psnr,False,7,0.0024018287658691,17.12199592590332
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,psnr,False,10,0.0022041797637939,20.54701805114746
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,psnr,False,5,0.0021195411682128,22.39996910095215
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,psnr,False,1,0.0025646686553955,25.954689025878903
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,psnr,False,7,0.0022168159484863,17.332590103149414
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,psnr,False,10,0.002171516418457,15.845908164978027
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,psnr,False,3,0.002185583114624,19.989070892333984
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,psnr,False,15,0.0022931098937988,14.856081008911133
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,psnr,False,3,0.0023126602172851,22.80077171325684
blurred,0039_lp_dnn_0_car_10_n03100240_9625,psnr,False,0,0.0024430751800537,80.0
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,psnr,False,10,0.0022428035736083,18.90937614440918
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,psnr,False,0,0.0026032924652099,80.0
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,psnr,False,1,0.002378225326538,31.25082015991211
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,psnr,False,7,0.0023105144500732,17.069847106933594
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,psnr,False,15,0.0023548603057861,15.626668930053713
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,psnr,False,10,0.0023486614227294,16.112857818603516
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,psnr,False,15,0.0022141933441162,18.720430374145508
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,psnr,False,7,0.0021033287048339,19.11576271057129
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,psnr,False,1,0.0021669864654541,27.63747215270996
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,psnr,False,1,0.0025844573974609,22.59468078613281
blurred,0051_lp_dnn_5_car_10_n04285008_7428,psnr,False,5,0.0022392272949218,16.16641616821289
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,psnr,False,7,0.0023577213287353,16.3544921875
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,psnr,False,0,0.0025355815887451,80.0
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,psnr,False,0,0.0027387142181396,80.0
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,psnr,False,5,0.0022995471954345,18.46023368835449
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,psnr,False,0,0.0025866031646728,80.0
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,psnr,False,3,0.00244140625,23.06192779541016
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,psnr,False,10,0.0022709369659423,19.284183502197266
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,psnr,False,15,0.0021114349365234,22.75106430053711
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,psnr,False,3,0.0023274421691894,22.59029769897461
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,psnr,False,7,0.0019652843475341,19.725919723510746
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,psnr,False,15,0.0023355484008789,17.7424259185791
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,psnr,False,1,0.0026187896728515,25.313718795776367
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,psnr,False,0,0.0025749206542968,80.0
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,psnr,False,3,0.00250244140625,18.54352760314941
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,psnr,False,15,0.0020763874053955,18.084278106689453
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,psnr,False,0,0.002418041229248,80.0
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,psnr,False,10,0.0022881031036376,22.12366485595703
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,psnr,False,10,0.0023057460784912,15.72176456451416
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,psnr,False,3,0.0021140575408935,24.24178695678711
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,psnr,False,5,0.0022916793823242,23.78180313110352
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,psnr,False,3,0.0021696090698242,23.645862579345703
blurred,0073_lp_dnn_15_dog_10_n02108422_932,psnr,False,15,0.0023849010467529,16.846818923950195
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,psnr,False,0,0.0026450157165527,80.0
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,psnr,False,1,0.002579927444458,27.10756492614746
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,psnr,False,1,0.0026259422302246,28.12320899963379
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,psnr,False,1,0.0023162364959716,33.58389663696289
blurred,0078_lp_dnn_15_clock_10_n02708093_274,psnr,False,15,0.0023276805877685,19.257190704345703
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,psnr,False,5,0.0024521350860595,19.5889835357666
