dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,ssim,False,5,0.010228395462036133,0.5071139455935937
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,ssim,False,1,0.010297775268554688,0.8779398459323664
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,ssim,False,3,0.010079145431518555,0.7447377709676862
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,ssim,False,7,0.010010480880737305,0.4415052010960101
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,ssim,False,7,0.009963512420654297,0.6449619976347288
blurred,0008_lp_dnn_1_bear_10_n02134418_14,ssim,False,1,0.010257482528686523,0.8504063921132793
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,ssim,False,10,0.010023355484008789,0.5214432635250437
blurred,0010_lp_dnn_5_bird_10_n01795545_952,ssim,False,5,0.009743928909301758,0.5777945485233791
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,ssim,False,3,0.009932994842529297,0.27452766832950304
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,ssim,False,3,0.010201692581176758,0.6533732329223975
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,ssim,False,7,0.00988006591796875,0.491335855092555
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,ssim,False,10,0.009752035140991211,0.12984467195899846
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,ssim,False,5,0.010055303573608398,0.4794941988567545
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,ssim,False,1,0.010114908218383789,0.7676422847274031
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,ssim,False,7,0.009986400604248047,0.5074800357592123
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,ssim,False,10,0.009821414947509766,0.5928918226689817
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,ssim,False,15,0.00988626480102539,0.2206598224624947
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,ssim,False,10,0.009918928146362305,0.31011620130781914
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,ssim,False,1,0.010090112686157227,0.9316770025433133
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,ssim,False,7,0.008770227432250977,0.4265706008444649
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,ssim,False,15,0.008667469024658203,0.4565821002602723
blurred,0026_lp_dnn_7_car_10_n02814533_44503,ssim,False,7,0.00856781005859375,0.4914388901489429
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,ssim,False,5,0.008736371994018555,0.32510088871570186
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,ssim,False,0,0.009396076202392578,0.9756629277076029
blurred,0029_lp_dnn_7_cat_10_n02123159_587,ssim,False,7,0.008888721466064453,0.3218760831768237
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,ssim,False,10,0.008647680282592773,0.40870231763556836
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,ssim,False,5,0.008540153503417969,0.4604274160906605
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,ssim,False,1,0.009102582931518555,0.7598199015948636
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,ssim,False,7,0.008669853210449219,0.4800916051834643
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,ssim,False,10,0.008591890335083008,0.3335891311514169
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,ssim,False,3,0.00860142707824707,0.49659591182130963
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,ssim,False,15,0.008760452270507812,0.3769073154008751
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,ssim,False,3,0.008848905563354492,0.7642501223593521
blurred,0039_lp_dnn_0_car_10_n03100240_9625,ssim,False,0,0.009257793426513672,0.9952648331745868
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,ssim,False,10,0.008651018142700195,0.31583362865086634
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,ssim,False,0,0.009462118148803711,0.9645934145247109
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,ssim,False,1,0.00880122184753418,0.9614242757515191
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,ssim,False,7,0.008659601211547852,0.5958326402891482
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,ssim,False,15,0.00877690315246582,0.21306413639265737
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,ssim,False,10,0.008774995803833008,0.4360061213190513
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,ssim,False,15,0.00861668586730957,0.5553743223772342
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,ssim,False,7,0.008507013320922852,0.7082280218927788
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,ssim,False,1,0.008600711822509766,0.9317543623616679
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,ssim,False,1,0.00912785530090332,0.751727060442155
blurred,0051_lp_dnn_5_car_10_n04285008_7428,ssim,False,5,0.008778095245361328,0.45521065926336146
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,ssim,False,7,0.008852720260620117,0.41065111393076953
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,ssim,False,0,0.00938272476196289,0.9971007982335303
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,ssim,False,0,0.009818553924560547,0.9849553662050874
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,ssim,False,5,0.008753061294555664,0.37916551664169906
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,ssim,False,0,0.009462356567382812,0.9775772819458024
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,ssim,False,3,0.008944034576416016,0.5597021929132963
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,ssim,False,10,0.008719921112060547,0.5931203210283397
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,ssim,False,15,0.008519172668457031,0.8070526164803314
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,ssim,False,3,0.008826494216918945,0.7061742926169065
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,ssim,False,7,0.008345842361450195,0.5570222004971142
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,ssim,False,15,0.008819818496704102,0.37449078412070685
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,ssim,False,1,0.009244203567504883,0.7412748246929172
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,ssim,False,0,0.009397268295288086,0.9988469633922792
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,ssim,False,3,0.00901937484741211,0.28592050380043327
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,ssim,False,15,0.008467435836791992,0.6260048086470943
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,ssim,False,0,0.009188652038574219,0.9958467041340024
