dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips-vgg,True,5,0.0076963901519775,0.8428977727890015
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips-vgg,True,1,0.0079083442687988,0.3193398714065552
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips-vgg,True,3,0.0077977180480957,0.4828283786773681
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips-vgg,True,7,0.007791519165039,0.9037855863571168
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips-vgg,True,7,0.0077588558197021,0.6742027997970581
blurred,0008_lp_dnn_1_bear_10_n02134418_14,stlpips-vgg,True,1,0.0080034732818603,0.3635835945606231
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips-vgg,True,10,0.0077738761901855,0.7792142033576965
blurred,0010_lp_dnn_5_bird_10_n01795545_952,stlpips-vgg,True,5,0.007491111755371,0.7000839114189148
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips-vgg,True,3,0.0078332424163818,0.9504696130752563
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips-vgg,True,3,0.0078892707824707,0.6733096837997437
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips-vgg,True,7,0.0076780319213867,0.639128565788269
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips-vgg,True,10,0.0076034069061279,1.0750263929367063
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips-vgg,True,5,0.0078432559967041,0.89090895652771
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips-vgg,True,1,0.0078809261322021,0.4373582601547241
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips-vgg,True,7,0.0077784061431884,0.7698255777359009
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips-vgg,True,10,0.0076508522033691,0.7455794811248779
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips-vgg,True,15,0.0077166557312011,1.004865050315857
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips-vgg,True,10,0.0077171325683593,0.9903595447540284
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips-vgg,True,1,0.0078470706939697,0.18915855884552
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips-vgg,True,7,0.0078737735748291,0.9076581597328186
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips-vgg,True,15,0.0076162815093994,0.8566453456878662
blurred,0026_lp_dnn_7_car_10_n02814533_44503,stlpips-vgg,True,7,0.0075881481170654,0.8607745170593262
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips-vgg,True,5,0.0077424049377441,0.9662511348724364
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips-vgg,True,0,0.0080139636993408,0.0
blurred,0029_lp_dnn_7_cat_10_n02123159_587,stlpips-vgg,True,7,0.0078718662261962,0.9651648998260498
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips-vgg,True,10,0.0076520442962646,0.879153311252594
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips-vgg,True,5,0.0072216987609863,0.7333271503448486
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips-vgg,True,1,0.0076465606689453,0.4404247105121612
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips-vgg,True,7,0.0073738098144531,0.8718501925468445
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips-vgg,True,10,0.0077106952667236,0.9621670842170716
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips-vgg,True,3,0.0072777271270751,0.8036483526229858
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips-vgg,True,15,0.0073401927947998,0.9515541195869446
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips-vgg,True,3,0.0074710845947265,0.4928274750709533
blurred,0039_lp_dnn_0_car_10_n03100240_9625,stlpips-vgg,True,0,0.0074458122253417,0.0
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips-vgg,True,10,0.007127046585083,0.9510985016822816
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips-vgg,True,0,0.0075035095214843,0.0
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips-vgg,True,1,0.0072231292724609,0.1238140985369682
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips-vgg,True,7,0.007127046585083,0.5787951946258545
