dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips,True,5,0.02339482307434082,0.8558636903762817
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips,True,1,0.005568027496337891,0.1887604296207428
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips,True,3,0.005251407623291016,0.4289616048336029
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips,True,7,0.005186796188354492,0.8632214069366455
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips,True,7,0.005235195159912109,0.6903833150863647
blurred,0008_lp_dnn_1_bear_10_n02134418_14,stlpips,True,1,0.005440473556518555,0.20580850541591644
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips,True,10,0.005189657211303711,0.786648154258728
blurred,0010_lp_dnn_5_bird_10_n01795545_952,stlpips,True,5,0.004923820495605469,0.6625550985336304
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips,True,3,0.005087852478027344,0.8531787395477295
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips,True,3,0.005376338958740234,0.6562379002571106
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips,True,7,0.005053043365478516,0.5617099404335022
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips,True,10,0.0049343109130859375,1.0088646411895752
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips,True,5,0.005280017852783203,0.8147870302200317
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips,True,1,0.005288600921630859,0.25602877140045166
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips,True,7,0.0051538944244384766,0.8479521870613098
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips,True,10,0.00506138801574707,0.8174082636833191
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips,True,15,0.005053281784057617,0.954681396484375
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips,True,10,0.005087852478027344,0.9767687320709229
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips,True,1,0.0052547454833984375,0.16331157088279724
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips,True,7,0.005141258239746094,0.9346945285797119
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips,True,15,0.004960536956787109,0.8706667423248291
blurred,0026_lp_dnn_7_car_10_n02814533_44503,stlpips,True,7,0.004930734634399414,0.848253607749939
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips,True,5,0.0051727294921875,0.8892455697059631
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips,True,0,0.00580906867980957,0.01840955950319767
blurred,0029_lp_dnn_7_cat_10_n02123159_587,stlpips,True,7,0.005288600921630859,0.8718889355659485
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips,True,10,0.0050487518310546875,0.9570540189743042
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips,True,5,0.004943370819091797,0.8259630799293518
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips,True,1,0.005494117736816406,0.26831990480422974
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips,True,7,0.005074739456176758,0.8716856241226196
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips,True,10,0.005018472671508789,1.0425119400024414
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips,True,3,0.005003213882446289,0.7010990977287292
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips,True,15,0.005143880844116211,0.9595526456832886
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips,True,3,0.005179166793823242,0.5464882850646973
