dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr-pipal,False,5,0.018962621688842773,0.1313755363225937
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr-pipal,False,1,0.01834702491760254,0.6145279407501221
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr-pipal,False,3,0.0182497501373291,0.4206494688987732
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr-pipal,False,7,0.018132925033569336,0.11296512186527252
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr-pipal,False,7,0.018160343170166016,0.15120312571525574
blurred,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr-pipal,False,1,0.018506526947021484,0.6114656925201416
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr-pipal,False,10,0.01819443702697754,0.09504229575395584
blurred,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr-pipal,False,5,0.017949819564819336,0.1888246089220047
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr-pipal,False,3,0.018154144287109375,0.3467722237110138
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr-pipal,False,3,0.01830911636352539,0.28646790981292725
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr-pipal,False,7,0.018030881881713867,0.15080562233924866
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr-pipal,False,10,0.017993450164794922,0.14970625936985016
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr-pipal,False,5,0.01825714111328125,0.1915132701396942
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr-pipal,False,1,0.018279314041137695,0.621271550655365
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr-pipal,False,7,0.018135786056518555,0.12221729010343552
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr-pipal,False,10,0.01796698570251465,0.07705839723348618
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr-pipal,False,15,0.018085002899169922,0.054567817598581314
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr-pipal,False,10,0.01811671257019043,0.09378761798143387
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr-pipal,False,1,0.018239974975585938,0.6352428197860718
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr-pipal,False,7,0.018157005310058594,0.12128389626741409
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr-pipal,False,15,0.017871856689453125,0.09142651408910751
blurred,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr-pipal,False,7,0.01784515380859375,0.10429216176271439
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr-pipal,False,5,0.01808309555053711,0.21127964556217194
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr-pipal,False,0,0.018856287002563477,0.7639050483703613
blurred,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr-pipal,False,7,0.018290281295776367,0.1430540829896927
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr-pipal,False,10,0.017970561981201172,0.079319067299366
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr-pipal,False,5,0.017833709716796875,0.17716437578201294
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr-pipal,False,1,0.018433809280395508,0.6206954717636108
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_fr-pipal,False,7,0.017994165420532227,0.13078486919403076
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_fr-pipal,False,10,0.018002748489379883,0.08523336797952652
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_fr-pipal,False,3,0.017972946166992188,0.24561570584774017
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_fr-pipal,False,15,0.018051624298095703,0.06829576939344406
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_fr-pipal,False,3,0.018127918243408203,0.26851409673690796
blurred,0039_lp_dnn_0_car_10_n03100240_9625,topiq_fr-pipal,False,0,0.01860952377319336,0.8141956925392151
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_fr-pipal,False,10,0.018096446990966797,0.10878246277570724
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_fr-pipal,False,0,0.01895928382873535,0.7293640375137329
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_fr-pipal,False,1,0.018228530883789062,0.6040464639663696
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_fr-pipal,False,7,0.01797938346862793,0.12140896171331406
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_fr-pipal,False,15,0.018191814422607422,0.0964372456073761
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_fr-pipal,False,10,0.018168210983276367,0.10446979105472565
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_fr-pipal,False,15,0.01797175407409668,0.07629760354757309
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_fr-pipal,False,7,0.017888784408569336,0.13266608119010925
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_fr-pipal,False,1,0.017887592315673828,0.5491380095481873
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_fr-pipal,False,1,0.01846599578857422,0.6184330582618713
blurred,0051_lp_dnn_5_car_10_n04285008_7428,topiq_fr-pipal,False,5,0.018006086349487305,0.1331254243850708
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_fr-pipal,False,7,0.018163442611694336,0.13928855955600739
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_fr-pipal,False,0,0.018765687942504883,0.77469801902771
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_fr-pipal,False,0,0.019081830978393555,0.8790671825408936
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_fr-pipal,False,5,0.018152713775634766,0.17963065207004547
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_fr-pipal,False,0,0.018850326538085938,0.787903904914856
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_fr-pipal,False,3,0.018251895904541016,0.2700675129890442
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_fr-pipal,False,10,0.01802849769592285,0.09182730317115784
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_fr-pipal,False,15,0.017881393432617188,0.06702791154384613
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_fr-pipal,False,3,0.01824021339416504,0.28640124201774597
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_fr-pipal,False,7,0.017683744430541992,0.17125964164733887
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_fr-pipal,False,15,0.018117904663085938,0.08421285450458527
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_fr-pipal,False,1,0.018436908721923828,0.6212434768676758
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_fr-pipal,False,0,0.018745899200439453,0.8775860667228699
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_fr-pipal,False,3,0.018373489379882812,0.28488975763320923
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_fr-pipal,False,15,0.017893314361572266,0.054654017090797424
