dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr,False,5,0.030045032501220703,0.25549033284187317
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr,False,1,0.01906275749206543,0.542070746421814
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr,False,3,0.01845264434814453,0.47943058609962463
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr,False,7,0.018404006958007812,0.2601184546947479
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr,False,7,0.018547773361206055,0.28931671380996704
blurred,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr,False,1,0.01855778694152832,0.5577526688575745
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr,False,10,0.018306255340576172,0.25215500593185425
blurred,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr,False,5,0.01815056800842285,0.29639214277267456
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr,False,3,0.01823735237121582,0.35613030195236206
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr,False,3,0.018478870391845703,0.31511127948760986
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr,False,7,0.01828169822692871,0.2959660291671753
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr,False,10,0.01812577247619629,0.24873147904872894
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr,False,5,0.018332481384277344,0.28202024102211
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr,False,1,0.018608570098876953,0.5602776408195496
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr,False,7,0.018297672271728516,0.2601926922798157
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr,False,10,0.018085002899169922,0.24804118275642395
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr,False,15,0.01829671859741211,0.24566768109798431
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr,False,10,0.018228769302368164,0.2531004548072815
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr,False,1,0.018405914306640625,0.6616905927658081
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr,False,7,0.018274307250976562,0.2594873905181885
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr,False,15,0.018205881118774414,0.2587001919746399
blurred,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr,False,7,0.01813197135925293,0.2499052733182907
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr,False,5,0.018393516540527344,0.28498560190200806
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr,False,0,0.018957138061523438,0.90019291639328
blurred,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr,False,7,0.01840686798095703,0.2533988356590271
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr,False,10,0.018131017684936523,0.27099066972732544
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr,False,5,0.0180661678314209,0.33481428027153015
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr,False,1,0.01864457130432129,0.5482034087181091
