dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,vif,False,5,0.052524566650390625,0.05446021258831024
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,vif,False,1,0.03483772277832031,0.5018704533576965
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,vif,False,3,0.03467988967895508,0.21041814982891083
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,vif,False,7,0.03432488441467285,0.04930361360311508
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,vif,False,7,0.03429102897644043,0.06652593612670898
blurred,0008_lp_dnn_1_bear_10_n02134418_14,vif,False,1,0.03452181816101074,0.5262598991394043
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,vif,False,10,0.034308433532714844,0.03759755566716194
blurred,0010_lp_dnn_5_bird_10_n01795545_952,vif,False,5,0.034310340881347656,0.07214833796024323
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,vif,False,3,0.03409981727600098,0.08586252480745316
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,vif,False,3,0.03446197509765625,0.15351608395576477
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,vif,False,7,0.03413081169128418,0.07479152828454971
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,vif,False,10,0.03426671028137207,0.011568875052034855
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,vif,False,5,0.034372568130493164,0.05779479071497917
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,vif,False,1,0.03454089164733887,0.49165141582489014
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,vif,False,7,0.03441572189331055,0.039919573813676834
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,vif,False,10,0.03419971466064453,0.027602696791291237
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,vif,False,15,0.03430056571960449,0.007510526571422815
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,vif,False,10,0.03443098068237305,0.013915210962295532
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,vif,False,1,0.03432178497314453,0.585008978843689
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,vif,False,7,0.03440403938293457,0.029429582878947258
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,vif,False,15,0.03425765037536621,0.006530085112899542
blurred,0026_lp_dnn_7_car_10_n02814533_44503,vif,False,7,0.03420400619506836,0.034634094685316086
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,vif,False,5,0.034107208251953125,0.05393661931157112
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,vif,False,0,0.03498387336730957,0.859251081943512
blurred,0029_lp_dnn_7_cat_10_n02123159_587,vif,False,7,0.03457522392272949,0.029452715069055557
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,vif,False,10,0.03435373306274414,0.01320165116339922
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,vif,False,5,0.0340580940246582,0.058667346835136414
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,vif,False,1,0.03452491760253906,0.49097755551338196
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,vif,False,7,0.03423714637756348,0.03212074935436249
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,vif,False,10,0.034410953521728516,0.019099578261375427
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,vif,False,3,0.03397321701049805,0.11260968446731567
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,vif,False,15,0.0343778133392334,0.008334740996360779
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,vif,False,3,0.03448891639709473,0.21705344319343567
blurred,0039_lp_dnn_0_car_10_n03100240_9625,vif,False,0,0.03475594520568848,0.9267120957374573
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,vif,False,10,0.0341649055480957,0.016569891944527626
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,vif,False,0,0.03500008583068848,0.8828150629997253
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,vif,False,1,0.03424787521362305,0.5772908926010132
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,vif,False,7,0.03433704376220703,0.050228945910930634
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,vif,False,15,0.034253835678100586,0.006485661491751671
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,vif,False,10,0.03441596031188965,0.02166830748319626
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,vif,False,15,0.03417062759399414,0.006201363168656826
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,vif,False,7,0.03420305252075195,0.06464271247386932
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,vif,False,1,0.03412151336669922,0.43478092551231384
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,vif,False,1,0.03456377983093262,0.4245341420173645
blurred,0051_lp_dnn_5_car_10_n04285008_7428,vif,False,5,0.03427267074584961,0.0674961656332016
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,vif,False,7,0.03439068794250488,0.0304001122713089
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,vif,False,0,0.03483939170837402,0.9399956464767456
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,vif,False,0,0.03513693809509277,0.8768653869628906
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,vif,False,5,0.0343022346496582,0.04888221248984337
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,vif,False,0,0.034857749938964844,0.8509125709533691
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,vif,False,3,0.03469133377075195,0.12340438365936279
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,vif,False,10,0.034386396408081055,0.0317087396979332
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,vif,False,15,0.03404593467712402,0.014310668222606182
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,vif,False,3,0.03467130661010742,0.17059831321239471
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,vif,False,7,0.0339353084564209,0.1560010313987732
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,vif,False,15,0.03419232368469238,0.012112460099160671
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,vif,False,1,0.03463578224182129,0.43547335267066956
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,vif,False,0,0.03476595878601074,0.9866489768028259
