dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,vsi,False,5,0.0075676441192626,0.8903835410696981
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,vsi,False,1,0.0077383518218994,0.9774258442517424
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,vsi,False,3,0.0078496932983398,0.9605368637737272
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,vsi,False,7,0.0079514980316162,0.8771160376439954
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,vsi,False,7,0.0074853897094726,0.9362384127112848
blurred,0008_lp_dnn_1_bear_10_n02134418_14,vsi,False,1,0.0076642036437988,0.9750786863726636
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,vsi,False,10,0.007481575012207,0.8860819578894598
blurred,0010_lp_dnn_5_bird_10_n01795545_952,vsi,False,5,0.0072722434997558,0.8892888601475459
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,vsi,False,3,0.0076942443847656,0.840740354773727
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,vsi,False,3,0.0077412128448486,0.9400188338233082
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,vsi,False,7,0.0075023174285888,0.911941047994178
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,vsi,False,10,0.0072813034057617,0.756115674435293
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,vsi,False,5,0.0080475807189941,0.8572833613676902
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,vsi,False,1,0.0080752372741699,0.964639063287821
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,vsi,False,7,0.0079927444458007,0.9175335704371343
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,vsi,False,10,0.0078334808349609,0.9153768717527184
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,vsi,False,15,0.007906436920166,0.7709201800633939
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,vsi,False,10,0.0079083442687988,0.787291054231124
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,vsi,False,1,0.008052110671997,0.9842885946931528
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,vsi,False,7,0.0079567432403564,0.8764228897352317
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,vsi,False,15,0.0074107646942138,0.8158786408803723
blurred,0026_lp_dnn_7_car_10_n02814533_44503,vsi,False,7,0.0073893070220947,0.8712483827669909
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,vsi,False,5,0.0074241161346435,0.8440845247610863
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,vsi,False,0,0.0076963901519775,0.999999929428601
blurred,0029_lp_dnn_7_cat_10_n02123159_587,vsi,False,7,0.0075361728668212,0.8416757869771461
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,vsi,False,10,0.0075764656066894,0.8342125238747212
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,vsi,False,5,0.0075550079345703,0.8985076806129947
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,vsi,False,1,0.0081522464752197,0.963688361749578
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,vsi,False,7,0.0078496932983398,0.8416649218461225
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,vsi,False,10,0.0077540874481201,0.7772244666600562
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,vsi,False,3,0.0077736377716064,0.9091069338890956
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,vsi,False,15,0.0079367160797119,0.8054032720721167
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,vsi,False,3,0.0079126358032226,0.9565250914263662
blurred,0039_lp_dnn_0_car_10_n03100240_9625,vsi,False,0,0.0081591606140136,0.999999921807461
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,vsi,False,10,0.0078308582305908,0.8247494981027319
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,vsi,False,0,0.0081963539123535,0.9999999237147678
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,vsi,False,1,0.0079345703125,0.9800728666811576
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,vsi,False,7,0.0074269771575927,0.8738749913931482
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,vsi,False,15,0.0077638626098632,0.7228059951455142
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,vsi,False,10,0.007904052734375,0.8500794987650511
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,vsi,False,15,0.0078091621398925,0.7961153887003913
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,vsi,False,7,0.0076737403869628,0.9321886377873227
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,vsi,False,1,0.0077745914459228,0.9691647989775108
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,vsi,False,1,0.0076873302459716,0.9467260481749016
blurred,0051_lp_dnn_5_car_10_n04285008_7428,vsi,False,5,0.0073342323303222,0.86380696339628
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,vsi,False,7,0.0075502395629882,0.8531885296694771
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,vsi,False,0,0.0076093673706054,0.9999999153396444
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,vsi,False,0,0.0078175067901611,0.9999999256000744
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,vsi,False,5,0.0074968338012695,0.8740312634804118
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,vsi,False,0,0.007944107055664,0.9999999249629564
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,vsi,False,3,0.0078547000885009,0.9102687729598776
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,vsi,False,10,0.0078346729278564,0.889417481888567
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,vsi,False,15,0.0076978206634521,0.8829526951765598
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,vsi,False,3,0.0079376697540283,0.911748906030883
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,vsi,False,7,0.0075485706329345,0.9255878760820866
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,vsi,False,15,0.007911205291748,0.870005023027804
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,vsi,False,1,0.008270263671875,0.9310846727169964
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,vsi,False,0,0.0081884860992431,0.999999919906623
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,vsi,False,3,0.008202314376831,0.8023665411644362
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,vsi,False,15,0.0077056884765625,0.8214201072840439
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,vsi,False,0,0.0080599784851074,0.9999999279641992
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,vsi,False,10,0.0078978538513183,0.91980057142001
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,vsi,False,10,0.0078997611999511,0.8297734498013096
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,vsi,False,3,0.007697582244873,0.9223659491661546
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,vsi,False,5,0.0078599452972412,0.9451884543649446
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,vsi,False,3,0.0077192783355712,0.921789920848207
blurred,0073_lp_dnn_15_dog_10_n02108422_932,vsi,False,15,0.0079243183135986,0.7899400943515406
