dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+,False,5,0.9867606163024902,0.2039880007505417
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+,False,1,0.022413969039916992,0.3166758716106415
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+,False,3,0.02537059783935547,0.2591164708137512
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+,False,7,0.02365875244140625,0.16289706528186798
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+,False,7,0.02372264862060547,0.19408901035785675
blurred,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+,False,1,0.02337193489074707,0.4064972400665283
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+,False,10,0.013662099838256836,0.19996598362922668
blurred,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+,False,5,0.015491247177124023,0.16907039284706116
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+,False,3,0.015916109085083008,0.14808641374111176
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+,False,3,0.015088796615600586,0.2862436771392822
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+,False,7,0.015600204467773438,0.22608137130737305
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+,False,10,0.01749444007873535,0.16643130779266357
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+,False,5,0.015635967254638672,0.13619160652160645
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+,False,1,0.01574993133544922,0.5497229695320129
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+,False,7,0.015548467636108398,0.19170540571212769
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+,False,10,0.015773534774780273,0.20296059548854828
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+,False,15,0.02045917510986328,0.2182590365409851
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+,False,10,0.02449774742126465,0.2594324052333832
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+,False,1,0.026049375534057617,0.46603864431381226
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+,False,7,0.023085832595825195,0.2328057736158371
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+,False,15,0.022591114044189453,0.23279862105846405
blurred,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+,False,7,0.022747516632080078,0.19639146327972412
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+,False,5,0.023622989654541016,0.12934213876724243
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+,False,0,0.023734569549560547,0.3340102434158325
blurred,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+,False,7,0.0234224796295166,0.19762949645519257
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+,False,10,0.023331880569458008,0.20514783263206482
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+,False,5,0.023332595825195312,0.19025108218193054
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+,False,1,0.023405790328979492,0.5010912418365479
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+,False,7,0.02303934097290039,0.2687460780143738
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+,False,10,0.022470712661743164,0.2139357328414917
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+,False,3,0.025580167770385742,0.33954057097435
