dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_vitL14_512,False,5,0.3096580505371094,0.3537591099739074
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_vitL14_512,False,1,0.0399019718170166,0.3459232747554779
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_vitL14_512,False,3,0.0381116867065429,0.3969467580318451
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_vitL14_512,False,7,0.0379612445831298,0.2977743744850158
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_vitL14_512,False,7,0.0375909805297851,0.267416775226593
blurred,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_vitL14_512,False,1,0.038560152053833,0.414471298456192
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_vitL14_512,False,10,0.03849458694458,0.3455308675765991
blurred,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_vitL14_512,False,5,0.0384249687194824,0.2771738767623901
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_vitL14_512,False,3,0.0382027626037597,0.2825912535190582
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_vitL14_512,False,3,0.0386054515838623,0.2926790118217468
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_vitL14_512,False,7,0.0383002758026123,0.3006976544857025
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_vitL14_512,False,10,0.03757905960083,0.2948768436908722
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_vitL14_512,False,5,0.0372262001037597,0.3360409438610077
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_vitL14_512,False,1,0.0376949310302734,0.4755251705646515
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_vitL14_512,False,7,0.0375964641571044,0.3296858668327331
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_vitL14_512,False,10,0.0376498699188232,0.3276706039905548
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_vitL14_512,False,15,0.0381834506988525,0.2690659463405609
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_vitL14_512,False,10,0.0382838249206543,0.2835273444652557
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_vitL14_512,False,1,0.038853645324707,0.2641232907772064
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_vitL14_512,False,7,0.0412988662719726,0.3431542515754699
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_vitL14_512,False,15,0.0409843921661376,0.2815772593021393
blurred,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_vitL14_512,False,7,0.0414135456085205,0.3748213350772857
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_vitL14_512,False,5,0.0383484363555908,0.2799405455589294
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_vitL14_512,False,0,0.0386440753936767,0.4945034980773926
blurred,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+_vitL14_512,False,7,0.0400655269622802,0.2873594760894775
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+_vitL14_512,False,10,0.0407345294952392,0.3176490366458893
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+_vitL14_512,False,5,0.0408885478973388,0.3951339721679687
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+_vitL14_512,False,1,0.041532278060913,0.4038017392158508
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+_vitL14_512,False,7,0.0410175323486328,0.3425397574901581
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+_vitL14_512,False,10,0.0409705638885498,0.3586377203464508
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+_vitL14_512,False,3,0.0412445068359375,0.209069013595581
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa+_vitL14_512,False,15,0.0407421588897705,0.2189574092626571
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa+_vitL14_512,False,3,0.0408897399902343,0.2642000019550323
blurred,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa+_vitL14_512,False,0,0.0413060188293457,0.5511915683746338
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa+_vitL14_512,False,10,0.0404489040374755,0.2956751883029938
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa+_vitL14_512,False,0,0.0382838249206543,0.2662529349327087
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa+_vitL14_512,False,1,0.039565086364746,0.5385206341743469
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa+_vitL14_512,False,7,0.0412876605987548,0.2271045446395874
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa+_vitL14_512,False,15,0.0416514873504638,0.2444420754909515
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa+_vitL14_512,False,10,0.0419251918792724,0.2926320135593414
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa+_vitL14_512,False,15,0.0410547256469726,0.2168076783418655
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa+_vitL14_512,False,7,0.0407295227050781,0.3226698040962219
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa+_vitL14_512,False,1,0.0409023761749267,0.482128381729126
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa+_vitL14_512,False,1,0.0413219928741455,0.369682103395462
blurred,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa+_vitL14_512,False,5,0.0463201999664306,0.4563709795475006
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa+_vitL14_512,False,7,0.0400943756103515,0.3029965758323669
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa+_vitL14_512,False,0,0.0382037162780761,0.5663991570472717
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa+_vitL14_512,False,0,0.0382828712463378,0.3955853283405304
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa+_vitL14_512,False,5,0.0379979610443115,0.1632254421710968
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa+_vitL14_512,False,0,0.0378861427307128,0.6796742677688599
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa+_vitL14_512,False,3,0.0369431972503662,0.3319033980369568
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa+_vitL14_512,False,10,0.0370285511016845,0.2312671542167663
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa+_vitL14_512,False,15,0.0375535488128662,0.3734756410121918
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa+_vitL14_512,False,3,0.0375914573669433,0.3470407724380493
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa+_vitL14_512,False,7,0.0378830432891845,0.2809123694896698
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa+_vitL14_512,False,15,0.0378267765045166,0.2529893219470978
