dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa,False,5,1.0250051021575928,0.22698979079723358
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa,False,1,0.04320359230041504,0.23783622682094574
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa,False,3,0.0451967716217041,0.32090917229652405
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa,False,7,0.04408884048461914,0.24129168689250946
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa,False,7,0.044265031814575195,0.27621304988861084
blurred,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa,False,1,0.04057049751281738,0.6442467570304871
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa,False,10,0.04046058654785156,0.2844237983226776
blurred,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa,False,5,0.044320106506347656,0.24877671897411346
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa,False,3,0.04393362998962402,0.24863778054714203
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa,False,3,0.04433870315551758,0.4449119567871094
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa,False,7,0.04312014579772949,0.24463044106960297
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa,False,10,0.040194034576416016,0.26006558537483215
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa,False,5,0.04448580741882324,0.22595040500164032
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa,False,1,0.04380059242248535,0.6012284159660339
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa,False,7,0.04384279251098633,0.3083593547344208
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa,False,10,0.04317045211791992,0.3117118775844574
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa,False,15,0.0399479866027832,0.26029109954833984
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa,False,10,0.04431867599487305,0.3687286972999573
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa,False,1,0.04406142234802246,0.3640481233596802
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa,False,7,0.04375767707824707,0.3558073043823242
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa,False,15,0.04356646537780762,0.29392215609550476
blurred,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa,False,7,0.0402987003326416,0.24765276908874512
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa,False,5,0.044272661209106445,0.22872772812843323
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa,False,0,0.044142723083496094,0.5279471278190613
blurred,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa,False,7,0.0441441535949707,0.28745657205581665
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa,False,10,0.04356217384338379,0.3013773560523987
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa,False,5,0.040012359619140625,0.33519551157951355
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa,False,1,0.04440164566040039,0.6180739998817444
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa,False,7,0.04420328140258789,0.3423762321472168
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa,False,10,0.024149417877197266,0.3368159830570221
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa,False,3,0.02138972282409668,0.33669134974479675
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa,False,15,0.02102065086364746,0.2655748426914215
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa,False,3,0.02109694480895996,0.2220754623413086
blurred,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa,False,0,0.02044057846069336,0.4643441140651703
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa,False,10,0.0203397274017334,0.28370094299316406
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa,False,0,0.02003169059753418,0.24555595219135284
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa,False,1,0.0208892822265625,0.4263036847114563
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa,False,7,0.027431488037109375,0.319070041179657
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa,False,15,0.040221214294433594,0.2982202470302582
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa,False,10,0.04381227493286133,0.33850380778312683
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa,False,15,0.040239810943603516,0.2544322907924652
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa,False,7,0.04436922073364258,0.3553194999694824
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa,False,1,0.044325828552246094,0.558022141456604
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa,False,1,0.04386591911315918,0.5431089401245117
blurred,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa,False,5,0.04491114616394043,0.25749582052230835
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa,False,7,0.040110111236572266,0.25373339653015137
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa,False,0,0.0441594123840332,0.6358100175857544
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa,False,0,0.0443117618560791,0.7021512389183044
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa,False,5,0.04374194145202637,0.19839461147785187
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa,False,0,0.04493355751037598,0.6348481774330139
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa,False,3,0.04053163528442383,0.29225289821624756
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa,False,10,0.043477535247802734,0.28613144159317017
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa,False,15,0.044342994689941406,0.34147512912750244
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa,False,3,0.04366445541381836,0.18938520550727844
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa,False,7,0.044304609298706055,0.44559773802757263
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa,False,15,0.04055500030517578,0.3723442256450653
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa,False,1,0.04378533363342285,0.4499267041683197
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa,False,0,0.04416537284851074,0.6542167663574219
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa,False,3,0.04381537437438965,0.23126593232154846
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa,False,15,0.044327497482299805,0.32768574357032776
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa,False,0,0.04327893257141113,0.7288012504577637
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa,False,10,0.043601274490356445,0.31151071190834045
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa,False,10,0.044387102127075195,0.304725706577301
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa,False,3,0.04378175735473633,0.33411523699760437
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa,False,5,0.044378042221069336,0.29862070083618164
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa,False,3,0.04068183898925781,0.33766666054725647
blurred,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa,False,15,0.0405576229095459,0.2932136058807373
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa,False,0,0.044724225997924805,0.5656794905662537
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa,False,1,0.04424452781677246,0.34843847155570984
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,clipiqa,False,1,0.04380679130554199,0.46602296829223633
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,clipiqa,False,1,0.04079699516296387,0.38664373755455017
blurred,0078_lp_dnn_15_clock_10_n02708093_274,clipiqa,False,15,0.040374040603637695,0.26838418841362
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,clipiqa,False,5,0.04440760612487793,0.2153894007205963
blurred,0080_lp_dnn_15_car_10_n03100240_22499,clipiqa,False,15,0.04389166831970215,0.3331391215324402
blurred,0081_lp_dnn_3_clock_10_n02708093_6252,clipiqa,False,3,0.04390144348144531,0.3514467179775238
blurred,0082_lp_dnn_10_airplane_10_n02690373_5427,clipiqa,False,10,0.04344892501831055,0.28205788135528564
blurred,0083_lp_dnn_15_dog_10_n02107142_46045,clipiqa,False,15,0.04019904136657715,0.35087963938713074
blurred,0085_lp_dnn_3_bicycle_10_n03792782_12421,clipiqa,False,3,0.04453301429748535,0.1864095777273178
blurred,0086_lp_dnn_0_airplane_10_n02690373_1310,clipiqa,False,0,0.04403853416442871,0.6841870546340942
blurred,0087_lp_dnn_15_oven_10_n04111531_8793,clipiqa,False,15,0.04377174377441406,0.3805812895298004
blurred,0088_lp_dnn_5_airplane_10_n02690373_633,clipiqa,False,5,0.04352927207946777,0.20532536506652832
blurred,0089_lp_dnn_5_clock_10_n02708093_2307,clipiqa,False,5,0.0402529239654541,0.2518070638179779
blurred,0090_lp_dnn_10_oven_10_n04111531_13795,clipiqa,False,10,0.04470348358154297,0.29659223556518555
blurred,0091_lp_dnn_3_boat_10_n03662601_1427,clipiqa,False,3,0.044155120849609375,0.39082759618759155
blurred,0092_lp_dnn_5_boat_10_n04612504_15944,clipiqa,False,5,0.04367518424987793,0.21342824399471283
blurred,0094_lp_dnn_7_elephant_10_n02504458_1848,clipiqa,False,7,0.043709754943847656,0.2977631986141205
blurred,0095_lp_dnn_5_oven_10_n04111531_4155,clipiqa,False,5,0.04023027420043945,0.30839067697525024
blurred,0096_lp_dnn_0_car_10_n03100240_8327,clipiqa,False,0,0.04433417320251465,0.603056013584137
blurred,0097_lp_dnn_0_chair_10_n04429376_24319,clipiqa,False,0,0.044084787368774414,0.3488712012767792
blurred,0098_lp_dnn_3_chair_10_n03376595_5112,clipiqa,False,3,0.04388689994812012,0.3128679394721985
blurred,0099_lp_dnn_1_cat_10_n02124075_2268,clipiqa,False,1,0.043457746505737305,0.4088056683540344
blurred,0100_lp_dnn_3_boat_10_n04273569_1137,clipiqa,False,3,0.03992962837219238,0.39017459750175476
blurred,0101_lp_dnn_1_chair_10_n02791124_15383,clipiqa,False,1,0.04434847831726074,0.2701426148414612
blurred,0102_lp_dnn_15_clock_10_n04548280_8998,clipiqa,False,15,0.04399991035461426,0.2908514142036438
blurred,0103_lp_dnn_0_dog_10_n02097047_2800,clipiqa,False,0,0.0439608097076416,0.7092333436012268
blurred,0104_lp_dnn_15_bicycle_10_n03792782_18294,clipiqa,False,15,0.04383254051208496,0.2733708918094635
blurred,0105_lp_dnn_0_elephant_10_n02504013_24486,clipiqa,False,0,0.040074825286865234,0.7899202704429626
blurred,0106_lp_dnn_7_airplane_10_n02690373_2923,clipiqa,False,7,0.04438185691833496,0.2949238419532776
blurred,0107_lp_dnn_3_airplane_10_n02690373_15392,clipiqa,False,3,0.044388532638549805,0.3949284255504608
blurred,0108_lp_dnn_5_oven_10_n04111531_6080,clipiqa,False,5,0.04369974136352539,0.23202963173389435
blurred,0109_lp_dnn_15_bear_10_n02134084_22736,clipiqa,False,15,0.04388761520385742,0.31499776244163513
blurred,0110_lp_dnn_1_knife_10_n03041632_33326,clipiqa,False,1,0.04013514518737793,0.5688082575798035
blurred,0113_lp_dnn_7_bicycle_10_n03792782_5416,clipiqa,False,7,0.043883323669433594,0.2625746726989746
blurred,0114_lp_dnn_7_knife_10_n03041632_25772,clipiqa,False,7,0.04416370391845703,0.306365430355072
blurred,0115_lp_dnn_10_bicycle_10_n03792782_7108,clipiqa,False,10,0.04388761520385742,0.2709745764732361
blurred,0116_lp_dnn_0_chair_10_n03376595_1981,clipiqa,False,0,0.0444636344909668,0.5932091474533081
blurred,0117_lp_dnn_15_oven_10_n04111531_6508,clipiqa,False,15,0.04016733169555664,0.38982272148132324
blurred,0118_lp_dnn_15_bird_10_n01843383_2843,clipiqa,False,15,0.04356575012207031,0.2969273030757904
blurred,0119_lp_dnn_5_cat_10_n02123597_5887,clipiqa,False,5,0.044248104095458984,0.28590843081474304
blurred,0121_lp_dnn_1_bird_10_n01530575_10332,clipiqa,False,1,0.043778419494628906,0.613078236579895
blurred,0122_lp_dnn_15_elephant_10_n02504013_5887,clipiqa,False,15,0.045015573501586914,0.2835848331451416
blurred,0123_lp_dnn_3_cat_10_n02124075_8693,clipiqa,False,3,0.04319334030151367,0.283476859331131
blurred,0124_lp_dnn_15_boat_10_n04612504_26151,clipiqa,False,15,0.043657541275024414,0.3160906434059143
blurred,0125_lp_dnn_7_cat_10_n02125311_53412,clipiqa,False,7,0.04448962211608887,0.3609630763530731
blurred,0126_lp_dnn_7_knife_10_n03041632_46914,clipiqa,False,7,0.04362750053405762,0.33573850989341736
blurred,0127_lp_dnn_15_bicycle_10_n03792782_5629,clipiqa,False,15,0.044446468353271484,0.30240219831466675
blurred,0129_lp_dnn_3_dog_10_n02101006_5024,clipiqa,False,3,0.04059290885925293,0.23196199536323547
blurred,0130_lp_dnn_15_oven_10_n04111531_2350,clipiqa,False,15,0.04312491416931152,0.30212196707725525
blurred,0131_lp_dnn_7_airplane_10_n02690373_4839,clipiqa,False,7,0.044678449630737305,0.32932665944099426
blurred,0132_lp_dnn_5_car_10_n03100240_2075,clipiqa,False,5,0.04395413398742676,0.22338281571865082
blurred,0133_lp_dnn_5_cat_10_n02123159_3729,clipiqa,False,5,0.04438591003417969,0.2766886353492737
blurred,0134_lp_dnn_10_knife_10_n03041632_3079,clipiqa,False,10,0.04068899154663086,0.3183971345424652
blurred,0135_lp_dnn_15_elephant_10_n02504013_2052,clipiqa,False,15,0.04049110412597656,0.2887668311595917
