dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,cnniqa,False,5,0.05650639533996582,0.2688656747341156
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,cnniqa,False,1,0.03538966178894043,0.29016777873039246
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,cnniqa,False,3,0.034580230712890625,0.23713703453540802
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,cnniqa,False,7,0.033141374588012695,0.22895534336566925
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,cnniqa,False,7,0.03338885307312012,0.17654266953468323
blurred,0008_lp_dnn_1_bear_10_n02134418_14,cnniqa,False,1,0.034806013107299805,0.2885062098503113
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,cnniqa,False,10,0.03427386283874512,0.2528488337993622
blurred,0010_lp_dnn_5_bird_10_n01795545_952,cnniqa,False,5,0.03395891189575195,0.0598088763654232
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,cnniqa,False,3,0.034562110900878906,0.2278071939945221
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,cnniqa,False,3,0.03376603126525879,0.20106403529644012
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,cnniqa,False,7,0.03069305419921875,0.06585897505283356
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,cnniqa,False,10,0.03368258476257324,0.22989848256111145
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,cnniqa,False,5,0.03476071357727051,0.17421185970306396
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,cnniqa,False,1,0.03425431251525879,0.3248685896396637
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,cnniqa,False,7,0.034215450286865234,0.2754191756248474
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,cnniqa,False,10,0.03469133377075195,0.3207109570503235
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,cnniqa,False,15,0.033357858657836914,0.3246898055076599
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,cnniqa,False,10,0.030873537063598633,0.30054208636283875
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,cnniqa,False,1,0.03423023223876953,0.3028981685638428
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,cnniqa,False,7,0.03432774543762207,0.307121604681015
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,cnniqa,False,15,0.03417849540710449,0.24298925697803497
blurred,0026_lp_dnn_7_car_10_n02814533_44503,cnniqa,False,7,0.034246206283569336,0.2694278955459595
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,cnniqa,False,5,0.03420448303222656,0.3237956166267395
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,cnniqa,False,0,0.030623674392700195,0.6671184301376343
blurred,0029_lp_dnn_7_cat_10_n02123159_587,cnniqa,False,7,0.03332686424255371,0.2745119333267212
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,cnniqa,False,10,0.034523963928222656,0.30786827206611633
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,cnniqa,False,5,0.034348487854003906,0.3542724847793579
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,cnniqa,False,1,0.0341188907623291,0.3413669466972351
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,cnniqa,False,7,0.03437185287475586,0.2798178195953369
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,cnniqa,False,10,0.03365492820739746,0.42384469509124756
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,cnniqa,False,3,0.030611276626586914,0.15440413355827332
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,cnniqa,False,15,0.0338747501373291,0.2919326722621918
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,cnniqa,False,3,0.03413081169128418,0.10563206672668457
blurred,0039_lp_dnn_0_car_10_n03100240_9625,cnniqa,False,0,0.03427386283874512,0.667535126209259
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,cnniqa,False,10,0.03421139717102051,0.32510754466056824
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,cnniqa,False,0,0.03454232215881348,0.4635852575302124
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,cnniqa,False,1,0.03087139129638672,0.27224665880203247
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,cnniqa,False,7,0.03072047233581543,0.14049306511878967
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,cnniqa,False,15,0.03393244743347168,0.24195824563503265
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,cnniqa,False,10,0.03433680534362793,0.3059864640235901
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,cnniqa,False,15,0.03417825698852539,0.2568242847919464
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,cnniqa,False,7,0.03447723388671875,0.3114803731441498
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,cnniqa,False,1,0.034136056900024414,0.28747785091400146
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,cnniqa,False,1,0.030867815017700195,0.35526010394096375
blurred,0051_lp_dnn_5_car_10_n04285008_7428,cnniqa,False,5,0.033388376235961914,0.19495443999767303
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,cnniqa,False,7,0.03425765037536621,0.2716633975505829
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,cnniqa,False,0,0.03441429138183594,0.6793450117111206
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,cnniqa,False,0,0.0342404842376709,0.6840922832489014
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,cnniqa,False,5,0.03457903861999512,0.22004497051239014
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,cnniqa,False,0,0.03372788429260254,0.6690908670425415
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,cnniqa,False,3,0.030702829360961914,0.1663617491722107
