dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,dbcnn,False,5,0.06976914405822754,0.23647671937942505
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,dbcnn,False,1,0.015397787094116211,0.24287083745002747
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,dbcnn,False,3,0.013225317001342773,0.27125677466392517
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,dbcnn,False,7,0.013377666473388672,0.24716725945472717
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,dbcnn,False,7,0.013309478759765625,0.2497655153274536
blurred,0008_lp_dnn_1_bear_10_n02134418_14,dbcnn,False,1,0.013512372970581055,0.27601462602615356
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,dbcnn,False,10,0.013545989990234375,0.24666278064250946
blurred,0010_lp_dnn_5_bird_10_n01795545_952,dbcnn,False,5,0.013415098190307617,0.22991622984409332
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,dbcnn,False,3,0.013529539108276367,0.29850125312805176
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,dbcnn,False,3,0.013273000717163086,0.2499195784330368
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,dbcnn,False,7,0.013278722763061523,0.2954579293727875
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,dbcnn,False,10,0.01342916488647461,0.2732933461666107
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,dbcnn,False,5,0.013533353805541992,0.22838559746742249
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,dbcnn,False,1,0.013515949249267578,0.28002458810806274
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,dbcnn,False,7,0.013384580612182617,0.2315818816423416
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,dbcnn,False,10,0.01313328742980957,0.24453969299793243
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,dbcnn,False,15,0.013015985488891602,0.3177715539932251
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,dbcnn,False,10,0.012951135635375977,0.2687808871269226
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,dbcnn,False,1,0.013322114944458008,0.2949201464653015
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,dbcnn,False,7,0.013643980026245117,0.212988942861557
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,dbcnn,False,15,0.013566255569458008,0.32655417919158936
blurred,0026_lp_dnn_7_car_10_n02814533_44503,dbcnn,False,7,0.013619422912597656,0.22851251065731049
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,dbcnn,False,5,0.01343083381652832,0.23547376692295074
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,dbcnn,False,0,0.013541460037231445,0.5426259636878967
blurred,0029_lp_dnn_7_cat_10_n02123159_587,dbcnn,False,7,0.013534784317016602,0.2353278398513794
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,dbcnn,False,10,0.013365983963012695,0.27692940831184387
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,dbcnn,False,5,0.013335704803466797,0.2368059903383255
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,dbcnn,False,1,0.013613700866699219,0.2627418339252472
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,dbcnn,False,7,0.013403892517089844,0.24637261033058167
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,dbcnn,False,10,0.013498783111572266,0.28685474395751953
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,dbcnn,False,3,0.013157129287719727,0.26581287384033203
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,dbcnn,False,15,0.013002872467041016,0.28537535667419434
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,dbcnn,False,3,0.012967348098754883,0.2710583806037903
blurred,0039_lp_dnn_0_car_10_n03100240_9625,dbcnn,False,0,0.013305902481079102,0.5838948488235474
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,dbcnn,False,10,0.013450145721435547,0.27357590198516846
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,dbcnn,False,0,0.015830278396606445,0.28432348370552063
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,dbcnn,False,1,0.013563156127929688,0.43436911702156067
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,dbcnn,False,7,0.013620376586914062,0.24610581994056702
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,dbcnn,False,15,0.013560771942138672,0.28393328189849854
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,dbcnn,False,10,0.013499975204467773,0.24405397474765778
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,dbcnn,False,15,0.013342857360839844,0.31707650423049927
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,dbcnn,False,7,0.013433218002319336,0.23469677567481995
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,dbcnn,False,1,0.013502359390258789,0.3705635070800781
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,dbcnn,False,1,0.013510942459106445,0.28287631273269653
blurred,0051_lp_dnn_5_car_10_n04285008_7428,dbcnn,False,5,0.013077497482299805,0.2187536358833313
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,dbcnn,False,7,0.013112068176269531,0.2364373356103897
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,dbcnn,False,0,0.012987136840820312,0.5329979658126831
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,dbcnn,False,0,0.015247821807861328,0.5984742641448975
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,dbcnn,False,5,0.013611793518066406,0.26262977719306946
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,dbcnn,False,0,0.01566624641418457,0.5531759262084961
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,dbcnn,False,3,0.013481378555297852,0.27027463912963867
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,dbcnn,False,10,0.013579845428466797,0.24082109332084656
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,dbcnn,False,15,0.013404130935668945,0.3166187107563019
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,dbcnn,False,3,0.013373851776123047,0.24579393863677979
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,dbcnn,False,7,0.013371944427490234,0.23123452067375183
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,dbcnn,False,15,0.013394594192504883,0.31027743220329285
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,dbcnn,False,1,0.013588190078735352,0.27068907022476196
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,dbcnn,False,0,0.015596389770507812,0.5871216654777527
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,dbcnn,False,3,0.013283729553222656,0.32877057790756226
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,dbcnn,False,15,0.013163328170776367,0.3298356235027313
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,dbcnn,False,0,0.012938976287841797,0.6138921976089478
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,dbcnn,False,10,0.013029813766479492,0.27482306957244873
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,dbcnn,False,10,0.01350092887878418,0.24092629551887512
