dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,hyperiqa,False,5,0.17209935188293457,0.1641029268503189
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,hyperiqa,False,1,0.08250069618225098,0.2575322389602661
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,hyperiqa,False,3,0.08187270164489746,0.14682194590568542
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,hyperiqa,False,7,0.0776362419128418,0.24563097953796387
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,hyperiqa,False,7,0.08219599723815918,0.14994153380393982
blurred,0008_lp_dnn_1_bear_10_n02134418_14,hyperiqa,False,1,0.0817098617553711,0.19190414249897003
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,hyperiqa,False,10,0.07784223556518555,0.1733938306570053
blurred,0010_lp_dnn_5_bird_10_n01795545_952,hyperiqa,False,5,0.08217930793762207,0.14738240838050842
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,hyperiqa,False,3,0.08213090896606445,0.15830257534980774
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,hyperiqa,False,3,0.07761192321777344,0.1615421622991562
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,hyperiqa,False,7,0.07960987091064453,0.22110600769519806
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,hyperiqa,False,10,0.08169198036193848,0.1864074319601059
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,hyperiqa,False,5,0.07800507545471191,0.14474353194236755
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,hyperiqa,False,1,0.08235836029052734,0.2635461688041687
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,hyperiqa,False,7,0.0491178035736084,0.15548443794250488
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,hyperiqa,False,10,0.03475594520568848,0.16039317846298218
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,hyperiqa,False,15,0.034090280532836914,0.333189457654953
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,hyperiqa,False,10,0.03904008865356445,0.1860993206501007
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,hyperiqa,False,1,0.08126020431518555,0.3083411455154419
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,hyperiqa,False,7,0.07848167419433594,0.1409042924642563
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,hyperiqa,False,15,0.08193778991699219,0.4064026176929474
blurred,0026_lp_dnn_7_car_10_n02814533_44503,hyperiqa,False,7,0.08143115043640137,0.17475253343582153
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,hyperiqa,False,5,0.07830643653869629,0.1438734382390976
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,hyperiqa,False,0,0.08193850517272949,0.4258691966533661
blurred,0029_lp_dnn_7_cat_10_n02123159_587,hyperiqa,False,7,0.08156490325927734,0.17159831523895264
