dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-kadid,False,5,0.8293116092681885,0.0555538572371006
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-kadid,False,1,0.8550615310668945,0.26117435097694397
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-kadid,False,3,0.8575332164764404,0.10921330004930496
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-kadid,False,7,0.856787919998169,0.05627601966261864
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-kadid,False,7,0.8559293746948242,0.05632355064153671
blurred,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-kadid,False,1,0.8540856838226318,0.23691755533218384
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-kadid,False,10,0.8499228954315186,0.06692306697368622
blurred,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-kadid,False,5,0.8554463386535645,0.07591241598129272
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-kadid,False,3,0.8566250801086426,0.0881185382604599
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-kadid,False,3,0.8568437099456787,0.09737779945135117
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-kadid,False,7,0.8543732166290283,0.08124429732561111
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-kadid,False,10,0.8580420017242432,0.07374321669340134
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-kadid,False,5,0.8594367504119873,0.0630374476313591
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-kadid,False,1,0.8590338230133057,0.25703632831573486
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-kadid,False,7,0.8574271202087402,0.05079422891139984
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-kadid,False,10,0.8564531803131104,0.0723908394575119
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-kadid,False,15,0.8583433628082275,0.12145714461803436
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-kadid,False,10,0.8592615127563477,0.09018246084451675
