dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-pipal,False,5,0.8330657482147217,0.264909029006958
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-pipal,False,1,0.85971999168396,0.5630251169204712
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-pipal,False,3,0.860785961151123,0.2766941785812378
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-pipal,False,7,0.8585617542266846,0.3535015285015106
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-pipal,False,7,0.8614797592163086,0.215269386768341
blurred,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-pipal,False,1,0.8565034866333008,0.4911659955978393
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-pipal,False,10,0.8547039031982422,0.2976518273353576
blurred,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-pipal,False,5,0.8556113243103027,0.3194843828678131
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-pipal,False,3,0.8583774566650391,0.2724784910678863
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-pipal,False,3,0.859323263168335,0.2404728829860687
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-pipal,False,7,0.861243486404419,0.2877147495746612
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-pipal,False,10,0.8582184314727783,0.2772554755210876
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-pipal,False,5,0.8578524589538574,0.2255616039037704
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-pipal,False,1,0.856804370880127,0.5351295471191406
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-pipal,False,7,0.8576405048370361,0.2613139450550079
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-pipal,False,10,0.8577868938446045,0.2785390317440033
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-pipal,False,15,0.8583028316497803,0.2926914095878601
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-pipal,False,10,0.8561747074127197,0.3062906265258789
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-pipal,False,1,0.8570151329040527,0.5007573962211609
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-pipal,False,7,0.8566937446594238,0.2686234712600708
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-pipal,False,15,0.859795093536377,0.2211651355028152
blurred,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-pipal,False,7,0.8582978248596191,0.3071472942829132
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-pipal,False,5,0.858877420425415,0.2802972793579101
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-pipal,False,0,0.8616607189178467,0.6364149451255798
blurred,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-pipal,False,7,0.8592760562896729,0.2427466958761215
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-pipal,False,10,0.8576209545135498,0.2761202156543731
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-pipal,False,5,0.8587210178375244,0.2434558570384979
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-pipal,False,1,0.8605482578277588,0.5520581007003784
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-pipal,False,7,0.859368085861206,0.3036826252937317
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-pipal,False,10,0.8600759506225586,0.2481630146503448
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-pipal,False,3,0.8588204383850098,0.268064945936203
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-pipal,False,15,0.8598268032073975,0.3002947270870209
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-pipal,False,3,0.8594441413879395,0.2774193584918976
blurred,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-pipal,False,0,0.8597755432128906,0.666056752204895
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-pipal,False,10,0.8608088493347168,0.3538835346698761
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-pipal,False,0,0.8616809844970703,0.585361659526825
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-pipal,False,1,0.8645217418670654,0.5485826134681702
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-pipal,False,7,0.8605763912200928,0.2477450966835022
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-pipal,False,15,0.8621163368225098,0.2601610720157623
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-pipal,False,10,0.8625655174255371,0.295913815498352
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-pipal,False,15,0.8626523017883301,0.3117832243442535
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-pipal,False,7,0.8619503974914551,0.2963670790195465
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa-pipal,False,1,0.8607065677642822,0.5315381288528442
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa-pipal,False,1,0.8617982864379883,0.6322215795516968
blurred,0051_lp_dnn_5_car_10_n04285008_7428,maniqa-pipal,False,5,0.8614797592163086,0.2215149998664856
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa-pipal,False,7,0.8625705242156982,0.2695142030715942
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa-pipal,False,0,0.8607549667358398,0.6780428886413574
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa-pipal,False,0,0.8601410388946533,0.6947374939918518
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,maniqa-pipal,False,5,0.861212968826294,0.2830952703952789
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,maniqa-pipal,False,0,0.863311767578125,0.7004525065422058
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,maniqa-pipal,False,3,0.8639695644378662,0.2630218863487243
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,maniqa-pipal,False,10,0.8625888824462891,0.2971097528934479
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,maniqa-pipal,False,15,0.860938310623169,0.2843660414218902
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,maniqa-pipal,False,3,0.8618268966674805,0.2681471705436706
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,maniqa-pipal,False,7,0.8626227378845215,0.2454549670219421
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,maniqa-pipal,False,15,0.8621940612792969,0.2620634138584137
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,maniqa-pipal,False,1,0.8620796203613281,0.5119132399559021
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,maniqa-pipal,False,0,0.86141037940979,0.7088043689727783
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,maniqa-pipal,False,3,0.8620483875274658,0.2369844317436218
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,maniqa-pipal,False,15,0.8613789081573486,0.2737184166908264
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,maniqa-pipal,False,0,0.8608596324920654,0.7241595983505249
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,maniqa-pipal,False,10,0.862156867980957,0.2984057962894439
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,maniqa-pipal,False,10,0.8631219863891602,0.2499528676271438
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,maniqa-pipal,False,3,0.8664069175720215,0.270520269870758
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,maniqa-pipal,False,5,0.8624048233032227,0.2854587435722351
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,maniqa-pipal,False,3,0.8616852760314941,0.2777954339981079
blurred,0073_lp_dnn_15_dog_10_n02108422_932,maniqa-pipal,False,15,0.8616805076599121,0.2744950950145721
