dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa,False,5,1.3012182712554932,0.1262883841991424
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa,False,1,1.4491348266601562,0.1924301534891128
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa,False,3,1.4786829948425293,0.0566184371709823
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa,False,7,1.299731731414795,0.2526335716247558
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa,False,7,1.476414680480957,0.1117165684700012
blurred,0008_lp_dnn_1_bear_10_n02134418_14,maniqa,False,1,1.4790489673614502,0.1245522573590278
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa,False,10,1.329127073287964,0.1304025053977966
blurred,0010_lp_dnn_5_bird_10_n01795545_952,maniqa,False,5,1.480363845825195,0.1311217844486236
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa,False,3,1.2910466194152832,0.1847514063119888
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa,False,3,0.8678104877471924,0.0699974372982978
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa,False,7,0.862086296081543,0.2727012932300567
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa,False,10,0.8633794784545898,0.1733387410640716
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa,False,5,0.8595192432403564,0.110709473490715
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa,False,1,0.8592216968536377,0.16092050075531
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa,False,7,0.8608815670013428,0.0845903679728508
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa,False,10,0.8611042499542236,0.1668645292520523
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa,False,15,0.8630216121673584,0.2759556174278259
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa,False,10,0.8650422096252441,0.2333235591650009
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa,False,1,1.0351431369781494,0.1784639507532119
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa,False,7,1.4764800071716309,0.1186565235257148
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa,False,15,1.4697883129119873,0.2895638644695282
blurred,0026_lp_dnn_7_car_10_n02814533_44503,maniqa,False,7,1.3124370574951172,0.1715631037950515
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa,False,5,1.4738171100616455,0.1619037389755249
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa,False,0,1.350761651992798,0.3194945156574249
blurred,0029_lp_dnn_7_cat_10_n02123159_587,maniqa,False,7,1.3893234729766846,0.1409153044223785
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa,False,10,1.4765212535858154,0.234881192445755
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa,False,5,1.2877626419067385,0.2305118888616562
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa,False,1,1.477665662765503,0.1875380277633667
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa,False,7,1.4812676906585691,0.1597018092870712
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa,False,10,1.3209669589996338,0.2858151793479919
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa,False,3,1.4762723445892334,0.1209858134388923
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa,False,15,1.374469518661499,0.278231680393219
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa,False,3,1.3888697624206543,0.1075777262449264
blurred,0039_lp_dnn_0_car_10_n03100240_9625,maniqa,False,0,1.481693983078003,0.3137116432189941
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa,False,10,1.3130903244018557,0.225327268242836
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa,False,0,1.4848501682281494,0.1992140412330627
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa,False,1,1.482938289642334,0.38029545545578
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa,False,7,0.9497954845428468,0.2246340066194534
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa,False,15,0.8635141849517822,0.3002889454364776
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa,False,10,0.862354040145874,0.1673145890235901
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa,False,15,0.8604371547698975,0.3142277896404266
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa,False,7,0.8630650043487549,0.0925171598792076
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa,False,1,0.8614418506622314,0.2100097835063934
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa,False,1,0.8636209964752197,0.2432876229286193
blurred,0051_lp_dnn_5_car_10_n04285008_7428,maniqa,False,5,0.8614652156829834,0.1133713647723198
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa,False,7,0.8642604351043701,0.1599981784820556
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa,False,0,0.8634376525878906,0.485586017370224
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa,False,0,0.8775665760040283,0.4331057071685791
