dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-ava,False,5,0.0490574836730957,2.667005777359009
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-ava,False,1,0.04840707778930664,3.111539840698242
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-ava,False,3,0.045049190521240234,3.0563483238220215
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-ava,False,7,0.04895639419555664,3.136962413787842
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-ava,False,7,0.03163337707519531,2.819852828979492
blurred,0008_lp_dnn_1_bear_10_n02134418_14,musiq-ava,False,1,0.015959501266479492,3.5640759468078613
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-ava,False,10,0.015584230422973633,3.649582862854004
blurred,0010_lp_dnn_5_bird_10_n01795545_952,musiq-ava,False,5,0.015358924865722656,2.867161512374878
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-ava,False,3,0.01544952392578125,2.7758076190948486
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-ava,False,3,0.016799449920654297,2.971116065979004
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-ava,False,7,0.01588153839111328,2.8322277069091797
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-ava,False,10,0.015369892120361328,2.7172226905822754
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-ava,False,5,0.01429891586303711,2.6039485931396484
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-ava,False,1,0.012861013412475586,3.7008004188537598
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-ava,False,7,0.012317895889282227,2.9637439250946045
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-ava,False,10,0.012169122695922852,2.895233631134033
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-ava,False,15,0.012091398239135742,2.95910382270813
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-ava,False,10,0.0118560791015625,2.782777786254883
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-ava,False,1,0.012060880661010742,3.000967264175415
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-ava,False,7,0.01215362548828125,2.900400400161743
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-ava,False,15,0.011857748031616211,3.5031933784484863
blurred,0026_lp_dnn_7_car_10_n02814533_44503,musiq-ava,False,7,0.011980056762695312,2.9207072257995605
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-ava,False,5,0.012213706970214844,2.411954402923584
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-ava,False,0,0.012336492538452148,3.6241538524627686
blurred,0029_lp_dnn_7_cat_10_n02123159_587,musiq-ava,False,7,0.012078046798706055,2.4660861492156982
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-ava,False,10,0.011832714080810547,3.122187376022339
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-ava,False,5,0.01203298568725586,2.59523344039917
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-ava,False,1,0.012589216232299805,3.940099000930786
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-ava,False,7,0.012132644653320312,2.7476940155029297
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-ava,False,10,0.01218867301940918,2.7633731365203857
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-ava,False,3,0.012129783630371094,2.760801076889038
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-ava,False,15,0.01221466064453125,2.7260429859161377
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-ava,False,3,0.012089729309082031,2.992553234100342
blurred,0039_lp_dnn_0_car_10_n03100240_9625,musiq-ava,False,0,0.012343168258666992,3.835461139678955
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq-ava,False,10,0.011952877044677734,2.9129295349121094
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq-ava,False,0,0.012356758117675781,3.5984745025634766
