dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-paq2piq,False,5,0.0118875503540039,50.08678436279297
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-paq2piq,False,1,0.011584997177124,67.58098602294922
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-paq2piq,False,3,0.0113568305969238,56.78987121582031
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-paq2piq,False,7,0.0113217830657958,53.40419769287109
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-paq2piq,False,7,0.0112791061401367,51.78683090209961
blurred,0008_lp_dnn_1_bear_10_n02134418_14,musiq-paq2piq,False,1,0.0115294456481933,64.07331848144531
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-paq2piq,False,10,0.0112562179565429,51.16864776611328
blurred,0010_lp_dnn_5_bird_10_n01795545_952,musiq-paq2piq,False,5,0.0112683773040771,52.24243927001953
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-paq2piq,False,3,0.0114364624023437,52.09044647216797
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-paq2piq,False,3,0.0113515853881835,53.919410705566406
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-paq2piq,False,7,0.0112137794494628,52.70553588867188
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-paq2piq,False,10,0.0114214420318603,49.78041076660156
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-paq2piq,False,5,0.011265754699707,50.50890350341797
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-paq2piq,False,1,0.0114626884460449,66.10616302490234
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-paq2piq,False,7,0.0112335681915283,50.514610290527344
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-paq2piq,False,10,0.0112509727478027,49.95286178588867
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-paq2piq,False,15,0.0112178325653076,49.7191047668457
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-paq2piq,False,10,0.0113236904144287,49.963356018066406
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-paq2piq,False,1,0.0114405155181884,67.23430633544922
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-paq2piq,False,7,0.0112521648406982,50.31646347045898
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-paq2piq,False,15,0.0110228061676025,50.508575439453125
blurred,0026_lp_dnn_7_car_10_n02814533_44503,musiq-paq2piq,False,7,0.0112185478210449,49.98991394042969
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-paq2piq,False,5,0.0112297534942626,49.810089111328125
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-paq2piq,False,0,0.0115659236907958,73.1253433227539
blurred,0029_lp_dnn_7_cat_10_n02123159_587,musiq-paq2piq,False,7,0.0112693309783935,50.20661163330078
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-paq2piq,False,10,0.0111587047576904,50.41375732421875
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-paq2piq,False,5,0.0112950801849365,52.16261672973633
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-paq2piq,False,1,0.0115089416503906,65.89189910888672
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-paq2piq,False,7,0.0112826824188232,50.22010040283203
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-paq2piq,False,10,0.011240005493164,50.69107055664063
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-paq2piq,False,3,0.0112624168395996,54.41300201416016
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-paq2piq,False,15,0.0112299919128417,49.82558441162109
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-paq2piq,False,3,0.0113205909729003,53.43141555786133
blurred,0039_lp_dnn_0_car_10_n03100240_9625,musiq-paq2piq,False,0,0.0115671157836914,77.4377212524414
