dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,musiq,False,5,0.0316469669342041,16.761608123779297
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,musiq,False,1,0.0117969512939453,32.654563903808594
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,musiq,False,3,0.0114469528198242,17.10287857055664
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq,False,7,0.0113272666931152,17.304847717285156
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,musiq,False,7,0.0113513469696044,17.738601684570312
blurred,0008_lp_dnn_1_bear_10_n02134418_14,musiq,False,1,0.0115144252777099,17.432662963867188
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,musiq,False,10,0.0113575458526611,17.762706756591797
blurred,0010_lp_dnn_5_bird_10_n01795545_952,musiq,False,5,0.0112378597259521,17.73055648803711
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,musiq,False,3,0.0113334655761718,20.11279296875
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,musiq,False,3,0.0113377571105957,19.427780151367188
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq,False,7,0.0112650394439697,21.52470588684082
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,musiq,False,10,0.0112271308898925,19.096057891845703
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,musiq,False,5,0.0112655162811279,18.12223243713379
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,musiq,False,1,0.0114789009094238,32.83335876464844
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,musiq,False,7,0.0112252235412597,15.563385009765623
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,musiq,False,10,0.011263370513916,17.556529998779297
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq,False,15,0.0111782550811767,19.073339462280277
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,musiq,False,10,0.0111939907073974,17.731748580932617
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,musiq,False,1,0.0114104747772216,20.959596633911133
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,musiq,False,7,0.0112209320068359,16.716201782226562
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq,False,15,0.0110218524932861,24.62897109985352
blurred,0026_lp_dnn_7_car_10_n02814533_44503,musiq,False,7,0.0111546516418457,15.579645156860352
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq,False,5,0.0112161636352539,18.132123947143555
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,musiq,False,0,0.0115180015563964,43.814208984375
blurred,0029_lp_dnn_7_cat_10_n02123159_587,musiq,False,7,0.0112648010253906,17.100032806396484
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,musiq,False,10,0.011132001876831,17.174535751342773
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,musiq,False,5,0.0111792087554931,20.89352035522461
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq,False,1,0.0114541053771972,26.18553352355957
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq,False,7,0.0112016201019287,17.76056671142578
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq,False,10,0.0112509727478027,21.078128814697266
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq,False,3,0.011218786239624,17.087228775024414
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,musiq,False,15,0.0111818313598632,20.329975128173828
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,musiq,False,3,0.0112674236297607,17.89495086669922
blurred,0039_lp_dnn_0_car_10_n03100240_9625,musiq,False,0,0.0115556716918945,54.27609252929688
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq,False,10,0.0111534595489501,20.14305686950684
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq,False,0,0.0116002559661865,40.16581726074219
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,musiq,False,1,0.0113160610198974,34.0106201171875
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,musiq,False,7,0.0111801624298095,20.369274139404297
