dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,nima-vgg16-ava,False,5,0.1508018970489502,4.360418796539307
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,nima-vgg16-ava,False,1,0.015070438385009766,3.714672088623047
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,nima-vgg16-ava,False,3,0.015084505081176758,4.610131740570068
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,nima-vgg16-ava,False,7,0.015041351318359375,4.904083251953125
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,nima-vgg16-ava,False,7,0.015111207962036133,4.296500205993652
blurred,0008_lp_dnn_1_bear_10_n02134418_14,nima-vgg16-ava,False,1,0.01505589485168457,3.5445690155029297
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,nima-vgg16-ava,False,10,0.01472330093383789,4.316761016845703
blurred,0010_lp_dnn_5_bird_10_n01795545_952,nima-vgg16-ava,False,5,0.014688730239868164,4.25581693649292
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,nima-vgg16-ava,False,3,0.014852285385131836,3.9406628608703613
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,nima-vgg16-ava,False,3,0.015129566192626953,4.50058650970459
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima-vgg16-ava,False,7,0.015252828598022461,5.159178733825684
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,nima-vgg16-ava,False,10,0.015096664428710938,4.456361770629883
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,nima-vgg16-ava,False,5,0.014987468719482422,4.487673282623291
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,nima-vgg16-ava,False,1,0.015151262283325195,3.590533494949341
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,nima-vgg16-ava,False,7,0.015149831771850586,4.444698810577393
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,nima-vgg16-ava,False,10,0.015085935592651367,4.401494979858398
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,nima-vgg16-ava,False,15,0.015095233917236328,4.588683128356934
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,nima-vgg16-ava,False,10,0.015014886856079102,4.623659610748291
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,nima-vgg16-ava,False,1,0.014723539352416992,3.731374502182007
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,nima-vgg16-ava,False,7,0.01457977294921875,3.941986560821533
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,nima-vgg16-ava,False,15,0.014941215515136719,4.101556777954102
blurred,0026_lp_dnn_7_car_10_n02814533_44503,nima-vgg16-ava,False,7,0.015194177627563477,4.653707027435303
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,nima-vgg16-ava,False,5,0.01525568962097168,4.6108198165893555
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,nima-vgg16-ava,False,0,0.015104532241821289,4.695298194885254
blurred,0029_lp_dnn_7_cat_10_n02123159_587,nima-vgg16-ava,False,7,0.015159845352172852,4.641203880310059
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,nima-vgg16-ava,False,10,0.015147686004638672,4.42950963973999
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,nima-vgg16-ava,False,5,0.015054464340209961,4.279790878295898
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,nima-vgg16-ava,False,1,0.015030860900878906,4.138627052307129
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,nima-vgg16-ava,False,7,0.015219688415527344,4.516024112701416
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,nima-vgg16-ava,False,10,0.014970779418945312,4.494523525238037
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,nima-vgg16-ava,False,3,0.014708995819091797,4.305853366851807
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,nima-vgg16-ava,False,15,0.01455545425415039,4.771134376525879
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,nima-vgg16-ava,False,3,0.014919281005859375,4.209009170532227
blurred,0039_lp_dnn_0_car_10_n03100240_9625,nima-vgg16-ava,False,0,0.015049457550048828,5.329422950744629
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,nima-vgg16-ava,False,10,0.015394210815429688,4.204329490661621
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,nima-vgg16-ava,False,0,0.015194892883300781,3.851623058319092
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,nima-vgg16-ava,False,1,0.014914274215698242,4.543360710144043
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,nima-vgg16-ava,False,7,0.015161275863647461,3.726506233215332
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,nima-vgg16-ava,False,15,0.015088319778442383,4.2306952476501465
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,nima-vgg16-ava,False,10,0.015144109725952148,4.5246806144714355
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,nima-vgg16-ava,False,15,0.015079259872436523,4.715341091156006
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,nima-vgg16-ava,False,7,0.014998435974121094,4.412036418914795
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,nima-vgg16-ava,False,1,0.014817237854003906,4.920652866363525
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,nima-vgg16-ava,False,1,0.014515876770019531,3.425779104232788
blurred,0051_lp_dnn_5_car_10_n04285008_7428,nima-vgg16-ava,False,5,0.015071868896484375,4.28492546081543
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,nima-vgg16-ava,False,7,0.015019416809082031,4.388945579528809
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,nima-vgg16-ava,False,0,0.015398025512695312,4.200334072113037
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,nima-vgg16-ava,False,0,0.015177726745605469,4.600513458251953
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,nima-vgg16-ava,False,5,0.015092849731445312,4.73137092590332
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,nima-vgg16-ava,False,0,0.012538671493530273,4.5640692710876465
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,nima-vgg16-ava,False,3,0.00664067268371582,4.42642068862915
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,nima-vgg16-ava,False,10,0.005249977111816406,4.514284610748291
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,nima-vgg16-ava,False,15,0.0050928592681884766,4.617790222167969
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,nima-vgg16-ava,False,3,0.005120277404785156,4.5070271492004395
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,nima-vgg16-ava,False,7,0.004935503005981445,4.253355979919434
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,nima-vgg16-ava,False,15,0.0051381587982177734,4.237832069396973
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,nima-vgg16-ava,False,1,0.0053784847259521484,3.351806163787842
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,nima-vgg16-ava,False,0,0.005369901657104492,5.2616868019104
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,nima-vgg16-ava,False,3,0.005155801773071289,4.236166954040527
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,nima-vgg16-ava,False,15,0.005258798599243164,4.722126007080078
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,nima-vgg16-ava,False,0,0.005457878112792969,5.063915252685547
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,nima-vgg16-ava,False,10,0.004706144332885742,4.258371829986572
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,nima-vgg16-ava,False,10,0.005171060562133789,4.686232566833496
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,nima-vgg16-ava,False,3,0.00508427619934082,3.7247090339660645
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,nima-vgg16-ava,False,5,0.005040884017944336,4.579150199890137
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,nima-vgg16-ava,False,3,0.004857778549194336,4.7911152839660645
blurred,0073_lp_dnn_15_dog_10_n02108422_932,nima-vgg16-ava,False,15,0.004839897155761719,4.310878753662109
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,nima-vgg16-ava,False,0,0.005674123764038086,4.835710048675537
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,nima-vgg16-ava,False,1,0.005391597747802734,4.195488929748535
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,nima-vgg16-ava,False,1,0.0049326419830322266,4.176298141479492
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,nima-vgg16-ava,False,1,0.005079030990600586,3.0068230628967285
blurred,0078_lp_dnn_15_clock_10_n02708093_274,nima-vgg16-ava,False,15,0.004752635955810547,4.720235824584961
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,nima-vgg16-ava,False,5,0.005113124847412109,4.627208709716797
blurred,0080_lp_dnn_15_car_10_n03100240_22499,nima-vgg16-ava,False,15,0.0045833587646484375,4.655816078186035
blurred,0081_lp_dnn_3_clock_10_n02708093_6252,nima-vgg16-ava,False,3,0.005175352096557617,5.0339155197143555
blurred,0082_lp_dnn_10_airplane_10_n02690373_5427,nima-vgg16-ava,False,10,0.00493168830871582,5.040595054626465
blurred,0083_lp_dnn_15_dog_10_n02107142_46045,nima-vgg16-ava,False,15,0.004945993423461914,5.124663352966309
blurred,0085_lp_dnn_3_bicycle_10_n03792782_12421,nima-vgg16-ava,False,3,0.005171298980712891,4.7200493812561035
blurred,0086_lp_dnn_0_airplane_10_n02690373_1310,nima-vgg16-ava,False,0,0.004969120025634766,4.867353916168213
blurred,0087_lp_dnn_15_oven_10_n04111531_8793,nima-vgg16-ava,False,15,0.014963388442993164,4.97709321975708
blurred,0088_lp_dnn_5_airplane_10_n02690373_633,nima-vgg16-ava,False,5,0.014283180236816406,4.173220634460449
