dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,nima,False,5,0.1527290344238281,3.786142349243164
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,nima,False,1,0.0279901027679443,3.5787477493286133
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,nima,False,3,0.0269749164581298,4.153231620788574
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,nima,False,7,0.0304622650146484,4.2444257736206055
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,nima,False,7,0.0304746627807617,4.54721212387085
blurred,0008_lp_dnn_1_bear_10_n02134418_14,nima,False,1,0.0391948223114013,4.3999223709106445
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,nima,False,10,0.0306358337402343,4.657283306121826
blurred,0010_lp_dnn_5_bird_10_n01795545_952,nima,False,5,0.0304338932037353,4.646969795227051
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,nima,False,3,0.0280430316925048,3.163534164428711
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,nima,False,3,0.0304396152496337,4.474093914031982
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima,False,7,0.0305819511413574,3.871983051300049
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,nima,False,10,0.0303258895874023,3.613942623138428
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,nima,False,5,0.0279674530029296,3.979305267333984
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,nima,False,1,0.0307667255401611,3.999068021774292
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,nima,False,7,0.0304937362670898,3.848775863647461
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,nima,False,10,0.028261661529541,3.314173698425293
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,nima,False,15,0.0278675556182861,3.678436279296875
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,nima,False,10,0.0285604000091552,3.595334529876709
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,nima,False,1,0.030632734298706,3.3473610877990723
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,nima,False,7,0.030393362045288,4.204786777496338
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,nima,False,15,0.0279762744903564,3.4085495471954346
blurred,0026_lp_dnn_7_car_10_n02814533_44503,nima,False,7,0.0262472629547119,4.035285949707031
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,nima,False,5,0.0305471420288085,4.505802154541016
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,nima,False,0,0.0303206443786621,3.5795605182647705
blurred,0029_lp_dnn_7_cat_10_n02123159_587,nima,False,7,0.0279641151428222,3.636979103088379
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,nima,False,10,0.026318073272705,3.674957513809204
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,nima,False,5,0.0305962562561035,3.321819305419922
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,nima,False,1,0.0303723812103271,3.65287971496582
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,nima,False,7,0.0279815196990966,3.446302890777588
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,nima,False,10,0.0268981456756591,3.9412283897399902
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,nima,False,3,0.0306074619293212,3.360280990600586
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,nima,False,15,0.0303621292114257,3.7064733505249023
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,nima,False,3,0.0279560089111328,3.7657454013824463
blurred,0039_lp_dnn_0_car_10_n03100240_9625,nima,False,0,0.031395673751831,4.092852592468262
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,nima,False,10,0.0304961204528808,3.673804759979248
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,nima,False,0,0.0281569957733154,3.674368381500244
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,nima,False,1,0.0278611183166503,3.9467387199401855
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,nima,False,7,0.0407025814056396,3.43388032913208
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,nima,False,15,0.0323295593261718,3.630824327468872
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,nima,False,10,0.0304009914398193,4.19502592086792
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,nima,False,15,0.0349929332733154,3.1589555740356445
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,nima,False,7,0.0374584197998046,3.587496042251587
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,nima,False,1,0.0325570106506347,4.563745975494385
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,nima,False,1,0.0302047729492187,3.423513650894165
blurred,0051_lp_dnn_5_car_10_n04285008_7428,nima,False,5,0.0307738780975341,4.520102500915527
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,nima,False,7,0.0281457901000976,4.6365509033203125
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,nima,False,0,0.0280194282531738,4.494117736816406
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,nima,False,0,0.0300655364990234,4.049461364746094
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,nima,False,5,0.0306677818298339,3.269437313079834
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,nima,False,0,0.0280375480651855,3.602625846862793
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,nima,False,3,0.0280828475952148,3.492084503173828
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,nima,False,10,0.0300517082214355,3.9236690998077393
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,nima,False,15,0.0306339263916015,3.2804689407348637
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,nima,False,3,0.0279774665832519,3.837591409683228
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,nima,False,7,0.0279974937438964,3.369957208633423
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,nima,False,15,0.030552864074707,3.865365505218506
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,nima,False,1,0.0306096076965332,3.2313761711120605
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,nima,False,0,0.0281784534454345,5.030460357666016
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,nima,False,3,0.0280461311340332,3.281693458557129
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,nima,False,15,0.0307526588439941,3.447434425354004
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,nima,False,0,0.0305638313293457,4.196073532104492
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,nima,False,10,0.0280547142028808,3.430727481842041
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,nima,False,10,0.0280122756958007,4.017877578735352
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,nima,False,3,0.028839111328125,4.283869743347168
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,nima,False,5,0.0306651592254638,3.50800895690918
