dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,nrqm,False,5,1.5894041061401367,1.497092843055725
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,nrqm,False,1,1.6195361614227295,3.9434165954589844
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,nrqm,False,3,1.5996577739715576,1.7130038738250732
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,nrqm,False,7,1.5778329372406006,1.547183871269226
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,nrqm,False,7,1.5733752250671387,1.5307044982910156
blurred,0008_lp_dnn_1_bear_10_n02134418_14,nrqm,False,1,1.6260790824890137,5.488117694854736
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,nrqm,False,10,1.5744686126708984,1.5950957536697388
blurred,0010_lp_dnn_5_bird_10_n01795545_952,nrqm,False,5,1.584778070449829,1.6458674669265747
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,nrqm,False,3,1.6148993968963623,2.2957613468170166
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,nrqm,False,3,1.6408584117889404,2.965674638748169
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,nrqm,False,7,1.575352668762207,1.5643324851989746
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,nrqm,False,10,1.577094554901123,1.6144044399261475
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,nrqm,False,5,1.577251672744751,1.5376027822494507
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,nrqm,False,1,1.6326096057891846,5.545392990112305
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,nrqm,False,7,1.5718889236450195,1.5012909173965454
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,nrqm,False,10,1.5657002925872803,1.545107364654541
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,nrqm,False,15,1.5691173076629639,1.58808434009552
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,nrqm,False,10,1.5839295387268066,1.5609478950500488
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,nrqm,False,1,1.6335501670837402,4.997044086456299
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,nrqm,False,7,1.575000286102295,1.4439773559570312
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,nrqm,False,15,1.576408863067627,1.6324644088745117
blurred,0026_lp_dnn_7_car_10_n02814533_44503,nrqm,False,7,1.5762145519256592,1.557172179222107
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,nrqm,False,5,1.587296485900879,1.6872570514678955
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,nrqm,False,0,1.617478370666504,8.227527618408203
blurred,0029_lp_dnn_7_cat_10_n02123159_587,nrqm,False,7,1.5712695121765137,1.4880762100219727
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,nrqm,False,10,1.5810279846191406,1.6715073585510254
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,nrqm,False,5,1.578404426574707,1.7246676683425903
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,nrqm,False,1,1.642514944076538,5.734958171844482
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,nrqm,False,7,1.5732576847076416,1.5077788829803467
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,nrqm,False,10,1.5851433277130127,1.6865344047546387
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,nrqm,False,3,1.5988457202911377,2.190999984741211
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,nrqm,False,15,1.5718326568603516,1.5825034379959106
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,nrqm,False,3,1.6055684089660645,2.301482677459717
blurred,0039_lp_dnn_0_car_10_n03100240_9625,nrqm,False,0,1.62412691116333,8.609025955200195
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,nrqm,False,10,1.5691704750061035,1.5329774618148804
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,nrqm,False,0,1.634420394897461,8.304666519165039
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,nrqm,False,1,1.6161503791809082,4.201035022735596
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,nrqm,False,7,1.5780742168426514,1.520818829536438
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,nrqm,False,15,1.5782580375671387,1.6562938690185547
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,nrqm,False,10,1.5746383666992188,1.4432623386383057
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,nrqm,False,15,1.576148509979248,1.640081524848938
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,nrqm,False,7,1.5726475715637207,1.6238527297973633
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,nrqm,False,1,1.6089529991149902,3.370335578918457
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,nrqm,False,1,1.6367731094360352,7.155834197998047
blurred,0051_lp_dnn_5_car_10_n04285008_7428,nrqm,False,5,1.5851192474365234,1.408556342124939
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,nrqm,False,7,1.573418140411377,1.5721300840377808
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,nrqm,False,0,1.628472089767456,8.884037971496582
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,nrqm,False,0,1.6150472164154053,8.904753684997559
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,nrqm,False,5,1.5759079456329346,1.540290117263794
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,nrqm,False,0,1.626753568649292,8.725522994995117
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,nrqm,False,3,1.6238288879394531,2.7214224338531494
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,nrqm,False,10,1.568953275680542,1.4839738607406616
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,nrqm,False,15,1.5747978687286377,1.6010832786560059
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,nrqm,False,3,1.6192848682403564,2.7060763835906982
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,nrqm,False,7,1.5684833526611328,1.5826988220214844
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,nrqm,False,15,1.5750994682312012,1.586256504058838
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,nrqm,False,1,1.6026785373687744,6.897863388061523
