dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,paq2piq,False,5,0.05390453338623047,43.38209533691406
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,paq2piq,False,1,0.008065462112426758,62.526756286621094
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,paq2piq,False,3,0.00836801528930664,42.167724609375
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,paq2piq,False,7,0.008350610733032227,43.67034912109375
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,paq2piq,False,7,0.005971431732177734,42.2984733581543
blurred,0008_lp_dnn_1_bear_10_n02134418_14,paq2piq,False,1,0.008340120315551758,66.8490982055664
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,paq2piq,False,10,0.00596165657043457,40.3205451965332
blurred,0010_lp_dnn_5_bird_10_n01795545_952,paq2piq,False,5,0.008295297622680664,41.107810974121094
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,paq2piq,False,3,0.008058547973632812,47.41856384277344
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,paq2piq,False,3,0.008157491683959961,46.659976959228516
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,paq2piq,False,7,0.00811004638671875,44.129268646240234
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,paq2piq,False,10,0.008128881454467773,40.256099700927734
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,paq2piq,False,5,0.005999088287353516,40.986480712890625
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,paq2piq,False,1,0.008350372314453125,66.1563949584961
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,paq2piq,False,7,0.0060079097747802734,41.633941650390625
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,paq2piq,False,10,0.006058692932128906,40.4635124206543
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,paq2piq,False,15,0.006041288375854492,41.58831787109375
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,paq2piq,False,10,0.006043672561645508,41.239994049072266
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,paq2piq,False,1,0.008346080780029297,63.31180191040039
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,paq2piq,False,7,0.0060024261474609375,40.26425552368164
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,paq2piq,False,15,0.005984067916870117,50.48755645751953
blurred,0026_lp_dnn_7_car_10_n02814533_44503,paq2piq,False,7,0.0059452056884765625,41.49195861816406
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,paq2piq,False,5,0.006017208099365234,40.509742736816406
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,paq2piq,False,0,0.007923603057861328,64.20611572265625
blurred,0029_lp_dnn_7_cat_10_n02123159_587,paq2piq,False,7,0.0059468746185302734,41.94121170043945
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,paq2piq,False,10,0.00594019889831543,40.54421615600586
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,paq2piq,False,5,0.005937337875366211,45.37276077270508
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,paq2piq,False,1,0.008349418640136719,63.82353210449219
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,paq2piq,False,7,0.005980253219604492,41.2320556640625
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,paq2piq,False,10,0.0059778690338134766,44.423614501953125
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,paq2piq,False,3,0.005910396575927734,51.15496826171875
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,paq2piq,False,15,0.005911111831665039,43.26289749145508
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,paq2piq,False,3,0.005908489227294922,49.64833068847656
blurred,0039_lp_dnn_0_car_10_n03100240_9625,paq2piq,False,0,0.008192300796508789,72.2960433959961
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,paq2piq,False,10,0.005812168121337891,40.57050323486328
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,paq2piq,False,0,0.007904767990112305,65.2070541381836
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,paq2piq,False,1,0.008121252059936523,70.44232940673828
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,paq2piq,False,7,0.008222341537475586,43.6066780090332
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,paq2piq,False,15,0.005675077438354492,43.00994110107422
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,paq2piq,False,10,0.005983591079711914,42.97681427001953
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,paq2piq,False,15,0.005984783172607422,46.154972076416016
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,paq2piq,False,7,0.006000041961669922,42.35270690917969
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,paq2piq,False,1,0.0060269832611083984,70.61612701416016
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,paq2piq,False,1,0.008394479751586914,67.4117202758789
blurred,0051_lp_dnn_5_car_10_n04285008_7428,paq2piq,False,5,0.006020545959472656,45.9852180480957
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,paq2piq,False,7,0.005976676940917969,41.87409973144531
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,paq2piq,False,0,0.008333206176757812,71.3554458618164
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,paq2piq,False,0,0.008071184158325195,70.70990753173828
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,paq2piq,False,5,0.005903005599975586,45.464481353759766
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,paq2piq,False,0,0.00803375244140625,71.74894714355469
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,paq2piq,False,3,0.008295536041259766,47.440067291259766
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,paq2piq,False,10,0.0059201717376708984,42.081966400146484
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,paq2piq,False,15,0.006033182144165039,49.357391357421875
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,paq2piq,False,3,0.008184671401977539,48.08148193359375
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,paq2piq,False,7,0.006002187728881836,43.94103240966797
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,paq2piq,False,15,0.005988597869873047,41.27760314941406
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,paq2piq,False,1,0.008273601531982422,63.94813537597656
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,paq2piq,False,0,0.007950544357299805,69.8909683227539
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,paq2piq,False,3,0.008195638656616211,51.9353141784668
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,paq2piq,False,15,0.0057849884033203125,47.61134719848633
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,paq2piq,False,0,0.008136987686157227,72.30904388427734
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,paq2piq,False,10,0.008124828338623047,42.30168533325195
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,paq2piq,False,10,0.005890607833862305,39.411537170410156
