dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,pi,True,5,1.6577978134155271,10.474847142282393
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,pi,True,1,1.643127202987671,5.920049979811187
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,pi,True,3,1.616781234741211,10.8404660690505
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,pi,True,7,1.6052048206329346,10.628631468626928
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,pi,True,7,1.6056320667266846,10.86461589407431
blurred,0008_lp_dnn_1_bear_10_n02134418_14,pi,True,1,1.648111343383789,5.231168046675474
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,pi,True,10,1.6002869606018066,11.8355079519233
blurred,0010_lp_dnn_5_bird_10_n01795545_952,pi,True,5,1.612762689590454,9.994334183418337
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,pi,True,3,1.6299357414245603,9.035680799302371
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,pi,True,3,1.6619524955749512,8.794562209551579
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,pi,True,7,1.602033615112305,10.69101554536439
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,pi,True,10,1.6053812503814695,12.401098890709113
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,pi,True,5,1.6050331592559814,10.527500234928612
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,pi,True,1,1.6510186195373535,4.617961346569694
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,pi,True,7,1.5966730117797852,12.085240660843638
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,pi,True,10,1.589717149734497,13.090557754059596
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,pi,True,15,1.595306634902954,17.93609696998449
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,pi,True,10,1.6003179550170898,12.786925028163791
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,pi,True,1,1.6464018821716309,6.116524108772579
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,pi,True,7,1.5956437587738037,11.923211626242884
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,pi,True,15,1.5943872928619385,14.793356476067416
blurred,0026_lp_dnn_7_car_10_n02814533_44503,pi,True,7,1.5989959239959717,11.504649484825856
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,pi,True,5,1.6034314632415771,10.27239715686159
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,pi,True,0,1.6450145244598389,3.287243245758136
blurred,0029_lp_dnn_7_cat_10_n02123159_587,pi,True,7,1.5988757610321045,11.071804543544555
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,pi,True,10,1.6084415912628174,14.427359250321173
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,pi,True,5,1.6022920608520508,10.536509111535894
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,pi,True,1,1.6641271114349363,4.636198156220386
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,pi,True,7,1.6057114601135254,11.951913510710405
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,pi,True,10,1.6061029434204102,10.900103808378056
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,pi,True,3,1.6130762100219729,9.298268709403509
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,pi,True,15,1.5996637344360352,16.28733262459508
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,pi,True,3,1.6189806461334229,10.158717313567337
blurred,0039_lp_dnn_0_car_10_n03100240_9625,pi,True,0,1.644151210784912,2.336369287667028
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,pi,True,10,1.5960748195648191,13.161029398203818
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,pi,True,0,1.6598384380340576,2.601357213258093
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,pi,True,1,1.6419777870178225,11.436987380624045
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,pi,True,7,1.5930345058441162,10.742597227582356
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,pi,True,15,1.598189353942871,18.2572796523417
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,pi,True,10,1.600512981414795,12.763887618849726
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,pi,True,15,1.598067283630371,15.650919773703176
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,pi,True,7,1.5913684368133545,12.479366793900994
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,pi,True,1,1.635641098022461,7.334682565878006
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,pi,True,1,1.6565957069396973,4.404607612281357
blurred,0051_lp_dnn_5_car_10_n04285008_7428,pi,True,5,1.6131412982940674,10.440959900633464
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,pi,True,7,1.59765887260437,10.64931202136204
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,pi,True,0,1.6619901657104492,3.2494782161099582
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,pi,True,0,1.640265941619873,2.4289432910497224
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,pi,True,5,1.6058738231658936,9.842691066892392
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,pi,True,0,1.6498639583587646,2.0785739321093626
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,pi,True,3,1.642225742340088,8.769587461767333
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,pi,True,10,1.6002814769744873,12.99236034151402
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,pi,True,15,1.5974748134613037,15.716350482859893
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,pi,True,3,1.6273677349090576,9.059521661078412
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,pi,True,7,1.5949344635009766,10.55754819206638
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,pi,True,15,1.6029460430145264,14.66577806420309
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,pi,True,1,1.6253046989440918,4.4656937120362805
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,pi,True,0,1.643115520477295,3.152766313698177
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,pi,True,3,1.644331693649292,8.72144638663416
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,pi,True,15,1.5974032878875732,15.939012510366355
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,pi,True,0,1.6389038562774658,2.9036284898375304
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,pi,True,10,1.612675666809082,15.232266810170923
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,pi,True,10,1.5990869998931885,11.99232054212808
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,pi,True,3,1.620323657989502,9.560708061742911
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,pi,True,5,1.5986649990081787,10.766355490556048
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,pi,True,3,1.6180152893066406,10.303675311545554
blurred,0073_lp_dnn_15_dog_10_n02108422_932,pi,True,15,1.598114252090454,16.418098609573946
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,pi,True,0,1.6412584781646729,2.566685826022634
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,pi,True,1,1.6322243213653564,5.594057731713096
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,pi,True,1,1.645416498184204,5.978453646879899
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,pi,True,1,1.624685287475586,6.953547383353069
blurred,0078_lp_dnn_15_clock_10_n02708093_274,pi,True,15,1.5992448329925537,18.960772127465557
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,pi,True,5,1.6122798919677734,10.911749084789
blurred,0080_lp_dnn_15_car_10_n03100240_22499,pi,True,15,1.599600315093994,13.518115356098829
blurred,0081_lp_dnn_3_clock_10_n02708093_6252,pi,True,3,1.6370761394500732,9.35863184768622
blurred,0082_lp_dnn_10_airplane_10_n02690373_5427,pi,True,10,1.603832721710205,12.205790173725092
blurred,0083_lp_dnn_15_dog_10_n02107142_46045,pi,True,15,1.599853754043579,15.894742188704752
blurred,0085_lp_dnn_3_bicycle_10_n03792782_12421,pi,True,3,1.6521334648132324,8.107291034335764
blurred,0086_lp_dnn_0_airplane_10_n02690373_1310,pi,True,0,1.6301674842834473,3.5101510552071544
blurred,0087_lp_dnn_15_oven_10_n04111531_8793,pi,True,15,1.601118087768555,12.062554455418066
blurred,0088_lp_dnn_5_airplane_10_n02690373_633,pi,True,5,1.610673427581787,9.69426279791807
