dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253.png,sseq,True,5,0.040869,69.6942093017218
blurred,0004_lp_dnn_1_clock_10_n04548280_5320.png,sseq,True,1,0.038439,49.0088902629726
blurred,0005_lp_dnn_3_dog_10_n02108915_3652.png,sseq,True,3,0.039473,62.1534889500167
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578.png,sseq,True,7,0.03738,62.9384229105693
blurred,0007_lp_dnn_7_cat_10_n02123597_3842.png,sseq,True,7,0.037055,67.882106994027
blurred,0008_lp_dnn_1_bear_10_n02134418_14.png,sseq,True,1,0.037189,41.8083245214142
blurred,0009_lp_dnn_10_knife_10_n03041632_29920.png,sseq,True,10,0.036425,70.3106972943625
blurred,0010_lp_dnn_5_bird_10_n01795545_952.png,sseq,True,5,0.036195,67.026841155105
blurred,0011_lp_dnn_3_bear_10_n02132136_6441.png,sseq,True,3,0.036398,57.5230916120276
blurred,0012_lp_dnn_3_bird_10_n01829413_8792.png,sseq,True,3,0.036308,58.2190178508918
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,sseq,True,7,0.036304,68.8330597704517
blurred,0014_lp_dnn_10_chair_10_n03376595_9176.png,sseq,True,10,0.036975,72.6329661483007
blurred,0017_lp_dnn_5_oven_10_n04111531_1580.png,sseq,True,5,0.039788,63.5503580797648
blurred,0018_lp_dnn_1_elephant_10_n02504458_900.png,sseq,True,1,0.039545,35.3269607875747
blurred,0019_lp_dnn_7_dog_10_n02106662_2384.png,sseq,True,7,0.037095,68.2085028422885
blurred,0020_lp_dnn_10_truck_10_n03796401_22618.png,sseq,True,10,0.036584,74.8690757670205
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463.png,sseq,True,15,0.036568,73.6794228451541
blurred,0022_lp_dnn_10_chair_10_n04429376_16459.png,sseq,True,10,0.036545,70.6074111658808
blurred,0023_lp_dnn_1_cat_10_n02123045_12206.png,sseq,True,1,0.036931,44.5825533222911
blurred,0024_lp_dnn_7_truck_10_n03417042_2633.png,sseq,True,7,0.036598,68.5738236509107
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,sseq,True,15,0.036317,76.8450770626477
blurred,0026_lp_dnn_7_car_10_n02814533_44503.png,sseq,True,7,0.036312,71.2371888650727
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797.png,sseq,True,5,0.036359,62.9631197009995
blurred,0028_lp_dnn_0_chair_10_n04429376_8237.png,sseq,True,0,0.037976,23.4564210251246
blurred,0029_lp_dnn_7_cat_10_n02123159_587.png,sseq,True,7,0.03793,66.2734362507309
blurred,0030_lp_dnn_10_bird_10_n02028035_17238.png,sseq,True,10,0.036707,70.3515124192962
blurred,0032_lp_dnn_5_boat_10_n04273569_22332.png,sseq,True,5,0.036403,72.9955615984835
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244.png,sseq,True,1,0.037449,42.2702154149294
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,sseq,True,7,0.037647,68.5919827226027
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,sseq,True,10,0.037254,73.0309349866514
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,sseq,True,3,0.03686,63.0175630792025
