dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-flive,False,5,0.0134549140930175,0.6376683115959167
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-flive,False,1,0.0128426551818847,0.6171287894248962
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-flive,False,3,0.0125253200531005,0.6460294723510742
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-flive,False,7,0.0124588012695312,0.6178913712501526
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-flive,False,7,0.0124328136444091,0.6605391502380371
blurred,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-flive,False,1,0.012629747390747,0.6674179434776306
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-flive,False,10,0.0124018192291259,0.6220480799674988
blurred,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-flive,False,5,0.0124695301055908,0.6206507086753845
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-flive,False,3,0.0124783515930175,0.636426568031311
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-flive,False,3,0.0124669075012207,0.6324278116226196
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-flive,False,7,0.0123350620269775,0.6513081789016724
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-flive,False,10,0.0123577117919921,0.5925084352493286
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-flive,False,5,0.0124270915985107,0.6662365198135376
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-flive,False,1,0.012618064880371,0.630413830280304
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-flive,False,7,0.0123569965362548,0.6604087948799133
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-flive,False,10,0.0123112201690673,0.6061257123947144
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-flive,False,15,0.0124011039733886,0.5101199150085449
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-flive,False,10,0.0123608112335205,0.5916690826416016
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-flive,False,1,0.0125789642333984,0.6611044406890869
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-flive,False,7,0.0123987197875976,0.6332054734230042
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-flive,False,15,0.0121767520904541,0.5280743837356567
blurred,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-flive,False,7,0.0123209953308105,0.6226383447647095
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-flive,False,5,0.0124101638793945,0.6290705800056458
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-flive,False,0,0.0127270221710205,0.6383151412010193
blurred,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-flive,False,7,0.0124056339263916,0.6436182856559753
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-flive,False,10,0.0123639106750488,0.606341540813446
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-flive,False,5,0.0123035907745361,0.6307598352432251
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-flive,False,1,0.0126657485961914,0.6742940545082092
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-flive,False,7,0.0123457908630371,0.6196712851524353
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr-flive,False,10,0.012300968170166,0.6181315779685974
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr-flive,False,3,0.0123744010925292,0.7014641761779785
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr-flive,False,15,0.012319803237915,0.5160970687866211
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr-flive,False,3,0.012366771697998,0.6704899072647095
blurred,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr-flive,False,0,0.0126383304595947,0.7213799357414246
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr-flive,False,10,0.0123805999755859,0.5799863934516907
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr-flive,False,0,0.012704849243164,0.5879538655281067
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr-flive,False,1,0.0124604701995849,0.7271248698234558
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr-flive,False,7,0.0123374462127685,0.6289742588996887
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr-flive,False,15,0.0122184753417968,0.5233553647994995
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr-flive,False,10,0.0123505592346191,0.6127367615699768
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr-flive,False,15,0.013901948928833,0.4968640506267547
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr-flive,False,7,0.0134663581848144,0.6305780410766602
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_nr-flive,False,1,0.0128858089447021,0.6954199075698853
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_nr-flive,False,1,0.0130431652069091,0.649052619934082
blurred,0051_lp_dnn_5_car_10_n04285008_7428,topiq_nr-flive,False,5,0.012535810470581,0.6711145043373108
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_nr-flive,False,7,0.0125246047973632,0.6046282052993774
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_nr-flive,False,0,0.0127613544464111,0.7303140163421631
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_nr-flive,False,0,0.0128841400146484,0.6976361870765686
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_nr-flive,False,5,0.0124318599700927,0.6301770806312561
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_nr-flive,False,0,0.0127525329589843,0.7382835149765015
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_nr-flive,False,3,0.0124459266662597,0.6455239653587341
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_nr-flive,False,10,0.0124571323394775,0.6144041419029236
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_nr-flive,False,15,0.0123927593231201,0.5599645972251892
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_nr-flive,False,3,0.0125737190246582,0.6510664820671082
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_nr-flive,False,7,0.012352705001831,0.6326820850372314
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_nr-flive,False,15,0.012369155883789,0.5499425530433655
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_nr-flive,False,1,0.0126683712005615,0.6654080748558044
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_nr-flive,False,0,0.012718915939331,0.6750101447105408
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_nr-flive,False,3,0.0124869346618652,0.673451840877533
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_nr-flive,False,15,0.0122582912445068,0.5283889770507812
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_nr-flive,False,0,0.0127050876617431,0.7284238338470459
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,topiq_nr-flive,False,10,0.0123136043548583,0.5807401537895203
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,topiq_nr-flive,False,10,0.0123593807220458,0.6052495241165161
