dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr-spaq,False,5,0.0135209560394287,0.294968694448471
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr-spaq,False,1,0.0129306316375732,0.5221632122993469
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr-spaq,False,3,0.0126504898071289,0.3062605857849121
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr-spaq,False,7,0.0125806331634521,0.1765685677528381
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr-spaq,False,7,0.0125033855438232,0.1622526347637176
blurred,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr-spaq,False,1,0.0127091407775878,0.5416690707206726
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr-spaq,False,10,0.0124826431274414,0.1371536999940872
blurred,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr-spaq,False,5,0.0129451751708984,0.1700548380613327
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr-spaq,False,3,0.0126800537109375,0.2697073519229889
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr-spaq,False,3,0.0126121044158935,0.3349728286266327
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr-spaq,False,7,0.0124609470367431,0.1788668185472488
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr-spaq,False,10,0.0124754905700683,0.1031739264726638
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr-spaq,False,5,0.0125696659088134,0.2294012457132339
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr-spaq,False,1,0.0127663612365722,0.5266336798667908
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr-spaq,False,7,0.0126943588256835,0.2576022446155548
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr-spaq,False,10,0.0127475261688232,0.1047724038362503
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr-spaq,False,15,0.0125389099121093,0.0732681453227996
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_nr-spaq,False,10,0.0124928951263427,0.1159017831087112
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_nr-spaq,False,1,0.0127012729644775,0.5029090642929077
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_nr-spaq,False,7,0.0125336647033691,0.1967716962099075
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_nr-spaq,False,15,0.0122969150543212,0.0598673485219478
blurred,0026_lp_dnn_7_car_10_n02814533_44503,topiq_nr-spaq,False,7,0.0124075412750244,0.1850778311491012
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_nr-spaq,False,5,0.0125257968902587,0.2374058216810226
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_nr-spaq,False,0,0.0130236148834228,0.7567904591560364
blurred,0029_lp_dnn_7_cat_10_n02123159_587,topiq_nr-spaq,False,7,0.0125560760498046,0.1685426831245422
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_nr-spaq,False,10,0.0124027729034423,0.1559871435165405
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_nr-spaq,False,5,0.0125060081481933,0.2274629771709442
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_nr-spaq,False,1,0.0128123760223388,0.542962908744812
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_nr-spaq,False,7,0.0124988555908203,0.2057283818721771
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_nr-spaq,False,10,0.0125174522399902,0.1556510478258133
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_nr-spaq,False,3,0.012578010559082,0.3560843765735626
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_nr-spaq,False,15,0.0126440525054931,0.0839326828718185
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_nr-spaq,False,3,0.012563943862915,0.2784722149372101
blurred,0039_lp_dnn_0_car_10_n03100240_9625,topiq_nr-spaq,False,0,0.0128118991851806,0.5836161375045776
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,topiq_nr-spaq,False,10,0.0125105381011962,0.1195806711912155
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,topiq_nr-spaq,False,0,0.0130560398101806,0.4384438693523407
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,topiq_nr-spaq,False,1,0.0126469135284423,0.4710628688335418
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,topiq_nr-spaq,False,7,0.0125148296356201,0.1608083397150039
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,topiq_nr-spaq,False,15,0.0124859809875488,0.0807272791862487
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,topiq_nr-spaq,False,10,0.0126349925994873,0.1506773680448532
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,topiq_nr-spaq,False,15,0.0129671096801757,0.0744034498929977
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,topiq_nr-spaq,False,7,0.0160427093505859,0.1609329432249069
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,topiq_nr-spaq,False,1,0.0131995677947998,0.5361343622207642
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,topiq_nr-spaq,False,1,0.013211965560913,0.5046074986457825
blurred,0051_lp_dnn_5_car_10_n04285008_7428,topiq_nr-spaq,False,5,0.0127227306365966,0.2400987893342971
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,topiq_nr-spaq,False,7,0.0126447677612304,0.1494229286909103
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,topiq_nr-spaq,False,0,0.0131268501281738,0.6873393654823303
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,topiq_nr-spaq,False,0,0.0132462978363037,0.7521571516990662
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,topiq_nr-spaq,False,5,0.012601613998413,0.2267710715532302
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,topiq_nr-spaq,False,0,0.0129382610321044,0.6861874461174011
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,topiq_nr-spaq,False,3,0.0126204490661621,0.3552748560905456
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,topiq_nr-spaq,False,10,0.0125143527984619,0.1076106280088424
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,topiq_nr-spaq,False,15,0.0124461650848388,0.1044493466615676
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,topiq_nr-spaq,False,3,0.0126750469207763,0.3288218080997467
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,topiq_nr-spaq,False,7,0.0125484466552734,0.2008311003446579
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,topiq_nr-spaq,False,15,0.0126054286956787,0.0853723138570785
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,topiq_nr-spaq,False,1,0.0127902030944824,0.4984847605228424
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,topiq_nr-spaq,False,0,0.0129091739654541,0.6375290751457214
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,topiq_nr-spaq,False,3,0.0126807689666748,0.3381275832653045
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,topiq_nr-spaq,False,15,0.0123624801635742,0.1107018291950225
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,topiq_nr-spaq,False,0,0.0127620697021484,0.6837558150291443
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,topiq_nr-spaq,False,10,0.0124268531799316,0.105254516005516
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,topiq_nr-spaq,False,10,0.0125386714935302,0.1454058140516281
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,topiq_nr-spaq,False,3,0.0126869678497314,0.33832848072052
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,topiq_nr-spaq,False,5,0.0125093460083007,0.2219292670488357
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,topiq_nr-spaq,False,3,0.0125470161437988,0.3523979485034942
blurred,0073_lp_dnn_15_dog_10_n02108422_932,topiq_nr-spaq,False,15,0.0125086307525634,0.1023930609226226
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,topiq_nr-spaq,False,0,0.0128519535064697,0.6047636866569519
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,topiq_nr-spaq,False,1,0.0127897262573242,0.5174264311790466
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,topiq_nr-spaq,False,1,0.012768268585205,0.5304366946220398
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,topiq_nr-spaq,False,1,0.012718915939331,0.5044786334037781
blurred,0078_lp_dnn_15_clock_10_n02708093_274,topiq_nr-spaq,False,15,0.0125422477722167,0.0702487081289291
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,topiq_nr-spaq,False,5,0.0125901699066162,0.2126778811216354
blurred,0080_lp_dnn_15_car_10_n03100240_22499,topiq_nr-spaq,False,15,0.012524127960205,0.0773629397153854
