dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_nr,False,5,0.20502066612243652,0.09588505327701569
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_nr,False,1,0.023430585861206055,0.26220303773880005
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_nr,False,3,0.023038864135742188,0.06739611178636551
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_nr,False,7,0.022912025451660156,0.13798397779464722
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_nr,False,7,0.02306079864501953,0.087281733751297
blurred,0008_lp_dnn_1_bear_10_n02134418_14,topiq_nr,False,1,0.02042102813720703,0.3760610520839691
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_nr,False,10,0.019954919815063477,0.09650222212076187
blurred,0010_lp_dnn_5_bird_10_n01795545_952,topiq_nr,False,5,0.019990205764770508,0.1359662115573883
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_nr,False,3,0.022989511489868164,0.12124132364988327
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_nr,False,3,0.022994279861450195,0.06169399619102478
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_nr,False,7,0.02310800552368164,0.21956542134284973
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_nr,False,10,0.02259063720703125,0.13653555512428284
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_nr,False,5,0.02287602424621582,0.10601574927568436
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_nr,False,1,0.022992372512817383,0.3087245523929596
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_nr,False,7,0.020001888275146484,0.13870203495025635
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_nr,False,10,0.019840002059936523,0.16195333003997803
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_nr,False,15,0.022640705108642578,0.22344273328781128
