dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,tres-flive,False,5,0.2785582542419433,83.55789184570312
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,tres-flive,False,1,0.2826900482177734,77.56536865234375
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,tres-flive,False,3,0.2859141826629638,71.34160614013672
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,tres-flive,False,7,0.2840590476989746,85.45765686035156
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,tres-flive,False,7,0.2828402519226074,74.22297668457031
blurred,0008_lp_dnn_1_bear_10_n02134418_14,tres-flive,False,1,0.2827610969543457,77.4131851196289
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,tres-flive,False,10,0.2816126346588135,70.25627136230469
blurred,0010_lp_dnn_5_bird_10_n01795545_952,tres-flive,False,5,0.2818634510040283,80.99732208251953
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,tres-flive,False,3,0.2842564582824707,77.54739379882812
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,tres-flive,False,3,0.2852315902709961,75.31658172607422
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres-flive,False,7,0.2842347621917724,87.09313201904297
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,tres-flive,False,10,0.2820143699645996,71.21135711669922
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,tres-flive,False,5,0.2818922996520996,79.68231964111328
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,tres-flive,False,1,0.2835745811462402,77.00405883789062
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,tres-flive,False,7,0.2839646339416504,68.6114273071289
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,tres-flive,False,10,0.2842025756835937,67.24790954589844
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,tres-flive,False,15,0.2855796813964844,64.3970947265625
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,tres-flive,False,10,0.2827749252319336,69.10832977294922
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,tres-flive,False,1,0.285336971282959,78.68650817871094
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,tres-flive,False,7,0.2848513126373291,75.024658203125
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres-flive,False,15,0.2853171825408935,67.03822326660156
blurred,0026_lp_dnn_7_car_10_n02814533_44503,tres-flive,False,7,0.2833924293518066,79.22578430175781
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,tres-flive,False,5,0.2845699787139892,78.9400634765625
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,tres-flive,False,0,0.2856264114379883,80.43309783935547
blurred,0029_lp_dnn_7_cat_10_n02123159_587,tres-flive,False,7,0.2857751846313476,81.02503204345703
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,tres-flive,False,10,0.2822113037109375,67.80797576904297
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,tres-flive,False,5,0.2840447425842285,76.34107971191406
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,tres-flive,False,1,0.2859485149383545,76.60860443115234
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres-flive,False,7,0.2865464687347412,68.79524993896484
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres-flive,False,10,0.2844996452331543,71.66033172607422
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres-flive,False,3,0.2841370105743408,83.2201156616211
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,tres-flive,False,15,0.2850768566131592,64.52290344238281
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,tres-flive,False,3,0.2869770526885986,78.48857879638672
blurred,0039_lp_dnn_0_car_10_n03100240_9625,tres-flive,False,0,0.2855901718139648,83.1048812866211
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,tres-flive,False,10,0.2870795726776123,68.41962432861328
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,tres-flive,False,0,0.2871096134185791,78.49286651611328
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,tres-flive,False,1,0.2846543788909912,85.69562530517578
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,tres-flive,False,7,0.2864174842834472,82.06295776367188
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,tres-flive,False,15,0.2872829437255859,65.83802795410156
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,tres-flive,False,10,0.2861661911010742,72.28014373779297
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,tres-flive,False,15,0.2862510681152344,69.4329833984375
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,tres-flive,False,7,0.2867460250854492,69.48213195800781
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,tres-flive,False,1,0.2862915992736816,81.62784576416016
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,tres-flive,False,1,0.2883017063140869,81.2846450805664
blurred,0051_lp_dnn_5_car_10_n04285008_7428,tres-flive,False,5,0.2872037887573242,80.55147552490234
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,tres-flive,False,7,0.2844104766845703,82.23974609375
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,tres-flive,False,0,0.2891509532928467,83.29768371582031
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,tres-flive,False,0,0.2867989540100097,84.46681213378906
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,tres-flive,False,5,0.2850041389465332,79.80731201171875
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,tres-flive,False,0,0.2878165245056152,83.99925231933594
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,tres-flive,False,3,0.2877011299133301,75.58821868896484
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,tres-flive,False,10,0.2846457958221435,66.25170135498047
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,tres-flive,False,15,0.2872273921966553,69.7654800415039
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,tres-flive,False,3,0.2885208129882812,78.36676025390625
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,tres-flive,False,7,0.2860364913940429,83.07249450683594
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,tres-flive,False,15,0.2873876094818115,64.16215515136719
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,tres-flive,False,1,0.28741455078125,79.43192291259766
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,tres-flive,False,0,0.2887458801269531,81.56590270996094
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,tres-flive,False,3,0.2884759902954101,77.52368927001953
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,tres-flive,False,15,0.2859396934509277,68.66935729980469
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,tres-flive,False,0,0.2884986400604248,84.47677612304688
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,tres-flive,False,10,0.2863779067993164,66.63198852539062
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,tres-flive,False,10,0.2872085571289062,72.47362518310547
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,tres-flive,False,3,0.2889208793640136,74.0213394165039
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,tres-flive,False,5,0.2864892482757568,76.18293762207031
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,tres-flive,False,3,0.2890188694000244,73.8027572631836
blurred,0073_lp_dnn_15_dog_10_n02108422_932,tres-flive,False,15,0.2893874645233154,64.3497543334961
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,tres-flive,False,0,0.2890846729278564,80.04261779785156
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,tres-flive,False,1,0.2884328365325928,81.47376251220703
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,tres-flive,False,1,0.2870891094207763,78.18754577636719
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,tres-flive,False,1,0.2898550033569336,76.1066665649414
blurred,0078_lp_dnn_15_clock_10_n02708093_274,tres-flive,False,15,0.2865896224975586,64.27484893798828
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,tres-flive,False,5,0.2895309925079345,84.64509582519531
blurred,0080_lp_dnn_15_car_10_n03100240_22499,tres-flive,False,15,0.2895848751068115,67.01176452636719
blurred,0081_lp_dnn_3_clock_10_n02708093_6252,tres-flive,False,3,0.2894821166992187,77.72708892822266
blurred,0082_lp_dnn_10_airplane_10_n02690373_5427,tres-flive,False,10,0.2869086265563965,69.93339538574219
blurred,0083_lp_dnn_15_dog_10_n02107142_46045,tres-flive,False,15,0.2863998413085937,63.12566757202149
blurred,0085_lp_dnn_3_bicycle_10_n03792782_12421,tres-flive,False,3,0.2890768051147461,76.83067321777344
blurred,0086_lp_dnn_0_airplane_10_n02690373_1310,tres-flive,False,0,0.2875127792358398,82.28474426269531
blurred,0087_lp_dnn_15_oven_10_n04111531_8793,tres-flive,False,15,0.2898128032684326,65.58051300048828
blurred,0088_lp_dnn_5_airplane_10_n02690373_633,tres-flive,False,5,0.2899088859558105,80.92362976074219
blurred,0089_lp_dnn_5_clock_10_n02708093_2307,tres-flive,False,5,0.2898883819580078,76.03862762451172
blurred,0090_lp_dnn_10_oven_10_n04111531_13795,tres-flive,False,10,0.287712812423706,68.24137878417969
blurred,0091_lp_dnn_3_boat_10_n03662601_1427,tres-flive,False,3,0.2883667945861816,78.85829162597656
blurred,0092_lp_dnn_5_boat_10_n04612504_15944,tres-flive,False,5,0.290924072265625,84.21784210205078
blurred,0094_lp_dnn_7_elephant_10_n02504458_1848,tres-flive,False,7,0.2874505519866943,74.81739807128906
blurred,0095_lp_dnn_5_oven_10_n04111531_4155,tres-flive,False,5,0.2906601428985595,75.03399658203125
blurred,0096_lp_dnn_0_car_10_n03100240_8327,tres-flive,False,0,0.2895224094390869,82.99421691894531
blurred,0097_lp_dnn_0_chair_10_n04429376_24319,tres-flive,False,0,0.2915029525756836,80.06546783447266
blurred,0098_lp_dnn_3_chair_10_n03376595_5112,tres-flive,False,3,0.2891902923583984,72.98882293701172
blurred,0099_lp_dnn_1_cat_10_n02124075_2268,tres-flive,False,1,0.2934145927429199,78.03131103515625
blurred,0100_lp_dnn_3_boat_10_n04273569_1137,tres-flive,False,3,0.2901153564453125,79.29078674316406
blurred,0101_lp_dnn_1_chair_10_n02791124_15383,tres-flive,False,1,0.2905840873718261,79.79225158691406
blurred,0102_lp_dnn_15_clock_10_n04548280_8998,tres-flive,False,15,0.2898323535919189,68.9884033203125
blurred,0103_lp_dnn_0_dog_10_n02097047_2800,tres-flive,False,0,0.293182373046875,85.05311584472656
blurred,0104_lp_dnn_15_bicycle_10_n03792782_18294,tres-flive,False,15,0.2901573181152344,64.82548522949219
blurred,0105_lp_dnn_0_elephant_10_n02504013_24486,tres-flive,False,0,0.2896187305450439,84.82376861572266
blurred,0106_lp_dnn_7_airplane_10_n02690373_2923,tres-flive,False,7,0.2899343967437744,76.20687866210938
blurred,0107_lp_dnn_3_airplane_10_n02690373_15392,tres-flive,False,3,0.2890269756317138,76.75923919677734
blurred,0108_lp_dnn_5_oven_10_n04111531_6080,tres-flive,False,5,0.2911968231201172,82.09427642822266
blurred,0109_lp_dnn_15_bear_10_n02134084_22736,tres-flive,False,15,0.2878172397613525,65.15260314941406
blurred,0110_lp_dnn_1_knife_10_n03041632_33326,tres-flive,False,1,0.2907259464263916,80.96595001220703
blurred,0113_lp_dnn_7_bicycle_10_n03792782_5416,tres-flive,False,7,0.289299726486206,78.56023406982422
blurred,0114_lp_dnn_7_knife_10_n03041632_25772,tres-flive,False,7,0.2906858921051025,73.16580963134766
blurred,0115_lp_dnn_10_bicycle_10_n03792782_7108,tres-flive,False,10,0.2892060279846191,68.68018341064453
blurred,0116_lp_dnn_0_chair_10_n03376595_1981,tres-flive,False,0,0.2916982173919678,81.83873748779297
blurred,0117_lp_dnn_15_oven_10_n04111531_6508,tres-flive,False,15,0.2881050109863281,70.8071060180664
blurred,0118_lp_dnn_15_bird_10_n01843383_2843,tres-flive,False,15,0.2904579639434814,63.82023620605469
blurred,0119_lp_dnn_5_cat_10_n02123597_5887,tres-flive,False,5,0.2911906242370605,73.62870788574219
blurred,0121_lp_dnn_1_bird_10_n01530575_10332,tres-flive,False,1,0.2927412986755371,79.98728942871094
blurred,0122_lp_dnn_15_elephant_10_n02504013_5887,tres-flive,False,15,0.2895443439483642,63.77391052246094
blurred,0123_lp_dnn_3_cat_10_n02124075_8693,tres-flive,False,3,0.2908990383148193,72.9295654296875
blurred,0124_lp_dnn_15_boat_10_n04612504_26151,tres-flive,False,15,0.2900059223175049,65.24937438964844
blurred,0125_lp_dnn_7_cat_10_n02125311_53412,tres-flive,False,7,0.2918782234191894,80.58480072021484
blurred,0126_lp_dnn_7_knife_10_n03041632_46914,tres-flive,False,7,0.2907197475433349,70.38429260253906
blurred,0127_lp_dnn_15_bicycle_10_n03792782_5629,tres-flive,False,15,0.2893955707550049,63.3619270324707
blurred,0129_lp_dnn_3_dog_10_n02101006_5024,tres-flive,False,3,0.2918813228607178,78.21123504638672
blurred,0130_lp_dnn_15_oven_10_n04111531_2350,tres-flive,False,15,0.2893693447113037,66.83695983886719
blurred,0131_lp_dnn_7_airplane_10_n02690373_4839,tres-flive,False,7,0.290978193283081,76.67682647705078
blurred,0132_lp_dnn_5_car_10_n03100240_2075,tres-flive,False,5,0.2900445461273193,82.7575454711914
blurred,0133_lp_dnn_5_cat_10_n02123159_3729,tres-flive,False,5,0.292565107345581,81.70250701904297
blurred,0134_lp_dnn_10_knife_10_n03041632_3079,tres-flive,False,10,0.2894856929779053,71.78006744384766
blurred,0135_lp_dnn_15_elephant_10_n02504013_2052,tres-flive,False,15,0.2921218872070312,64.82918548583984
blurred,0137_lp_dnn_15_keyboard_10_n03085013_7955,tres-flive,False,15,0.2890670299530029,69.16754913330078
blurred,0139_lp_dnn_10_cat_10_n02125311_44401,tres-flive,False,10,0.2913646697998047,67.51455688476562
blurred,0140_lp_dnn_10_airplane_10_n02690373_10657,tres-flive,False,10,0.2908139228820801,74.34600067138672
blurred,0141_lp_dnn_5_bird_10_n02025239_7919,tres-flive,False,5,0.2921516895294189,80.69498443603516
blurred,0144_lp_dnn_5_keyboard_10_n04505470_4371,tres-flive,False,5,0.2922756671905517,85.69741821289062
blurred,0145_lp_dnn_0_keyboard_10_n03085013_14237,tres-flive,False,0,0.2910187244415283,83.0615005493164
blurred,0146_lp_dnn_0_clock_10_n03196217_6163,tres-flive,False,0,0.2927100658416748,83.40646362304688
blurred,0147_lp_dnn_15_chair_10_n02791124_3857,tres-flive,False,15,0.2901337146759033,62.1212158203125
blurred,0149_lp_dnn_0_truck_10_n04467665_17101,tres-flive,False,0,0.2922906875610351,83.76555633544922
blurred,0150_lp_dnn_1_chair_10_n04429376_19354,tres-flive,False,1,0.2923417091369629,81.91351318359375
blurred,0151_lp_dnn_0_knife_10_n03041632_42156,tres-flive,False,0,0.2905347347259521,83.312744140625
blurred,0152_lp_dnn_1_car_10_n04285008_39,tres-flive,False,1,0.2924873828887939,81.03211212158203
blurred,0153_lp_dnn_1_boat_10_n03662601_1319,tres-flive,False,1,0.2908036708831787,80.46356964111328
