dataset,image,metric,lower_better,condition,time,score
blurred,0003_lp_dnn_5_truck_10_n04467665_34253,tres,False,5,0.3077661991119385,17.10702133178711
blurred,0004_lp_dnn_1_clock_10_n04548280_5320,tres,False,1,0.29646968841552734,27.77073860168457
blurred,0005_lp_dnn_3_dog_10_n02108915_3652,tres,False,3,0.29821181297302246,22.72041893005371
blurred,0006_lp_dnn_7_keyboard_10_n04505470_578,tres,False,7,0.2945079803466797,20.369426727294922
blurred,0007_lp_dnn_7_cat_10_n02123597_3842,tres,False,7,0.29468584060668945,23.90589714050293
blurred,0008_lp_dnn_1_bear_10_n02134418_14,tres,False,1,0.2956812381744385,29.21225929260254
blurred,0009_lp_dnn_10_knife_10_n03041632_29920,tres,False,10,0.2965419292449951,20.24701690673828
blurred,0010_lp_dnn_5_bird_10_n01795545_952,tres,False,5,0.2956850528717041,17.79315757751465
blurred,0011_lp_dnn_3_bear_10_n02132136_6441,tres,False,3,0.2951200008392334,34.07782745361328
blurred,0012_lp_dnn_3_bird_10_n01829413_8792,tres,False,3,0.2951936721801758,23.568178176879883
blurred,0013_lp_dnn_7_keyboard_10_n04505470_4458,tres,False,7,0.2950766086578369,19.784561157226562
blurred,0014_lp_dnn_10_chair_10_n03376595_9176,tres,False,10,0.29552173614501953,21.170085906982422
blurred,0017_lp_dnn_5_oven_10_n04111531_1580,tres,False,5,0.29443860054016113,23.316144943237305
blurred,0018_lp_dnn_1_elephant_10_n02504458_900,tres,False,1,0.2953817844390869,33.5853271484375
blurred,0019_lp_dnn_7_dog_10_n02106662_2384,tres,False,7,0.2965226173400879,13.48636245727539
blurred,0020_lp_dnn_10_truck_10_n03796401_22618,tres,False,10,0.29585981369018555,21.35030174255371
blurred,0021_lp_dnn_15_elephant_10_n02504013_5463,tres,False,15,0.2941739559173584,35.824310302734375
blurred,0022_lp_dnn_10_chair_10_n04429376_16459,tres,False,10,0.2940523624420166,25.847665786743164
blurred,0023_lp_dnn_1_cat_10_n02123045_12206,tres,False,1,0.2969632148742676,36.324703216552734
blurred,0024_lp_dnn_7_truck_10_n03417042_2633,tres,False,7,0.295513391494751,19.081132888793945
blurred,0025_lp_dnn_15_keyboard_10_n03085013_24416,tres,False,15,0.29593420028686523,54.41270065307617
blurred,0026_lp_dnn_7_car_10_n02814533_44503,tres,False,7,0.294480562210083,24.107975006103516
blurred,0027_lp_dnn_5_elephant_10_n02504458_5797,tres,False,5,0.2951033115386963,22.9521427154541
blurred,0028_lp_dnn_0_chair_10_n04429376_8237,tres,False,0,0.2966313362121582,64.42986297607422
blurred,0029_lp_dnn_7_cat_10_n02123159_587,tres,False,7,0.2975025177001953,21.238399505615234
blurred,0030_lp_dnn_10_bird_10_n02028035_17238,tres,False,10,0.295910120010376,29.87910270690918
blurred,0032_lp_dnn_5_boat_10_n04273569_22332,tres,False,5,0.29399847984313965,29.17714500427246
blurred,0033_lp_dnn_1_elephant_10_n02504013_1244,tres,False,1,0.2982208728790283,33.40247344970703
blurred,0034_lp_dnn_7_bicycle_10_n03792782_30229,tres,False,7,0.2954087257385254,19.637672424316406
blurred,0035_lp_dnn_10_keyboard_10_n03085013_7573,tres,False,10,0.29572367668151855,35.858951568603516
blurred,0036_lp_dnn_3_keyboard_10_n03085013_24578,tres,False,3,0.2968735694885254,22.60725975036621
blurred,0037_lp_dnn_15_truck_10_n03417042_1336,tres,False,15,0.2942349910736084,35.407135009765625
blurred,0038_lp_dnn_3_knife_10_n03041632_7495,tres,False,3,0.2950613498687744,16.06031036376953
blurred,0039_lp_dnn_0_car_10_n03100240_9625,tres,False,0,0.29630374908447266,72.73271179199219
blurred,0040_lp_dnn_10_elephant_10_n02504458_6107,tres,False,10,0.29565954208374023,32.215232849121094
blurred,0041_lp_dnn_0_bicycle_10_n03792782_33649,tres,False,0,0.296372652053833,52.0532112121582
blurred,0042_lp_dnn_1_clock_10_n03196217_8282,tres,False,1,0.2947368621826172,66.59308624267578
blurred,0043_lp_dnn_7_keyboard_10_n03085013_21534,tres,False,7,0.2949790954589844,18.880142211914062
blurred,0044_lp_dnn_15_elephant_10_n02504013_22813,tres,False,15,0.297609806060791,34.97273254394531
blurred,0045_lp_dnn_10_truck_10_n03796401_16425,tres,False,10,0.29605889320373535,20.51773452758789
blurred,0046_lp_dnn_15_airplane_10_n02690373_9427,tres,False,15,0.29459357261657715,47.294822692871094
blurred,0047_lp_dnn_7_bird_10_n02009912_11907,tres,False,7,0.29314398765563965,16.84253692626953
blurred,0048_lp_dnn_1_airplane_10_n02690373_5773,tres,False,1,0.2956702709197998,48.16929626464844
blurred,0050_lp_dnn_1_bird_10_n01819313_18188,tres,False,1,0.29740285873413086,47.6215705871582
blurred,0051_lp_dnn_5_car_10_n04285008_7428,tres,False,5,0.2968122959136963,14.531158447265625
blurred,0052_lp_dnn_7_bottle_10_n04591713_6923,tres,False,7,0.2944211959838867,15.60871696472168
blurred,0053_lp_dnn_0_knife_10_n03041632_22570,tres,False,0,0.2954518795013428,79.655517578125
blurred,0054_lp_dnn_0_bear_10_n02132136_7586,tres,False,0,0.29715418815612793,65.31642150878906
blurred,0055_lp_dnn_5_clock_10_n04548280_9144,tres,False,5,0.2960689067840576,15.60973834991455
blurred,0056_lp_dnn_0_bottle_10_n04591713_2680,tres,False,0,0.29752659797668457,68.14663696289062
blurred,0057_lp_dnn_3_cat_10_n02123045_1596,tres,False,3,0.2950572967529297,24.18836784362793
blurred,0058_lp_dnn_10_cat_10_n02123597_19450,tres,False,10,0.2958991527557373,18.02609634399414
blurred,0059_lp_dnn_15_chair_10_n03376595_3462,tres,False,15,0.29587340354919434,47.464603424072266
blurred,0060_lp_dnn_3_bottle_10_n04591713_3683,tres,False,3,0.2960779666900635,11.456787109375
blurred,0061_lp_dnn_7_clock_10_n03196217_4309,tres,False,7,0.29575443267822266,18.278005599975586
blurred,0062_lp_dnn_15_bear_10_n02134084_4923,tres,False,15,0.2950718402862549,26.626155853271484
blurred,0063_lp_dnn_1_chair_10_n04429376_5238,tres,False,1,0.29485487937927246,38.687896728515625
blurred,0064_lp_dnn_0_clock_10_n03196217_2414,tres,False,0,0.2965521812438965,63.4553108215332
blurred,0065_lp_dnn_3_bird_10_n01797886_2711,tres,False,3,0.29559874534606934,39.35234451293945
blurred,0066_lp_dnn_15_truck_10_n04467665_68463,tres,False,15,0.2946007251739502,46.135032653808594
blurred,0067_lp_dnn_0_truck_10_n03417042_10099,tres,False,0,0.29568052291870117,82.41545104980469
blurred,0068_lp_dnn_10_bear_10_n02134418_3793,tres,False,10,0.2947390079498291,25.40298843383789
blurred,0069_lp_dnn_10_bottle_10_n03937543_9524,tres,False,10,0.29759645462036133,25.35747718811035
blurred,0070_lp_dnn_3_cat_10_n02123394_1038,tres,False,3,0.2966318130493164,18.05950355529785
blurred,0071_lp_dnn_5_dog_10_n02110185_7886,tres,False,5,0.295978307723999,20.174161911010742
blurred,0072_lp_dnn_3_clock_10_n02708093_4912,tres,False,3,0.29431915283203125,21.882230758666992
blurred,0073_lp_dnn_15_dog_10_n02108422_932,tres,False,15,0.29471802711486816,35.21308135986328
blurred,0074_lp_dnn_0_truck_10_n04467665_18621,tres,False,0,0.29724669456481934,61.55735778808594
blurred,0075_lp_dnn_1_truck_10_n04467665_50932,tres,False,1,0.29795241355895996,41.29641342163086
blurred,0076_lp_dnn_1_dog_10_n02102480_7293,tres,False,1,0.29781436920166016,24.330623626708984
blurred,0077_lp_dnn_1_bottle_10_n04591713_4764,tres,False,1,0.29587244987487793,42.82566452026367
blurred,0078_lp_dnn_15_clock_10_n02708093_274,tres,False,15,0.2927083969116211,35.05137252807617
blurred,0079_lp_dnn_5_bottle_10_n04557648_29772,tres,False,5,0.2964060306549072,15.843393325805664
blurred,0080_lp_dnn_15_car_10_n03100240_22499,tres,False,15,0.29689931869506836,33.226924896240234
blurred,0081_lp_dnn_3_clock_10_n02708093_6252,tres,False,3,0.29712486267089844,28.423824310302734
blurred,0082_lp_dnn_10_airplane_10_n02690373_5427,tres,False,10,0.29430270195007324,29.722537994384766
blurred,0083_lp_dnn_15_dog_10_n02107142_46045,tres,False,15,0.29617929458618164,26.061214447021484
blurred,0085_lp_dnn_3_bicycle_10_n03792782_12421,tres,False,3,0.2954566478729248,18.645658493041992
blurred,0086_lp_dnn_0_airplane_10_n02690373_1310,tres,False,0,0.2972426414489746,70.2276382446289
blurred,0087_lp_dnn_15_oven_10_n04111531_8793,tres,False,15,0.2962193489074707,16.965091705322266
blurred,0088_lp_dnn_5_airplane_10_n02690373_633,tres,False,5,0.2950160503387451,20.531585693359375
blurred,0089_lp_dnn_5_clock_10_n02708093_2307,tres,False,5,0.2943837642669678,16.57141876220703
blurred,0090_lp_dnn_10_oven_10_n04111531_13795,tres,False,10,0.2952451705932617,27.227445602416992
blurred,0091_lp_dnn_3_boat_10_n03662601_1427,tres,False,3,0.2961881160736084,27.31925392150879
blurred,0092_lp_dnn_5_boat_10_n04612504_15944,tres,False,5,0.2949800491333008,17.804821014404297
blurred,0094_lp_dnn_7_elephant_10_n02504458_1848,tres,False,7,0.29447340965270996,19.801782608032227
blurred,0095_lp_dnn_5_oven_10_n04111531_4155,tres,False,5,0.2952873706817627,13.208849906921387
blurred,0096_lp_dnn_0_car_10_n03100240_8327,tres,False,0,0.29852819442749023,75.34536743164062
blurred,0097_lp_dnn_0_chair_10_n04429376_24319,tres,False,0,0.29704928398132324,63.20158386230469
blurred,0098_lp_dnn_3_chair_10_n03376595_5112,tres,False,3,0.29645657539367676,25.19178581237793
blurred,0099_lp_dnn_1_cat_10_n02124075_2268,tres,False,1,0.29481077194213867,31.955524444580078
blurred,0100_lp_dnn_3_boat_10_n04273569_1137,tres,False,3,0.29524660110473633,30.549686431884766
blurred,0101_lp_dnn_1_chair_10_n02791124_15383,tres,False,1,0.2962958812713623,35.5966682434082
blurred,0102_lp_dnn_15_clock_10_n04548280_8998,tres,False,15,0.2964491844177246,29.254486083984375
blurred,0103_lp_dnn_0_dog_10_n02097047_2800,tres,False,0,0.2980818748474121,67.0345458984375
blurred,0104_lp_dnn_15_bicycle_10_n03792782_18294,tres,False,15,0.2944793701171875,39.27544403076172
