subj,object_response,category,condition,imagename
MoCo,chair,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png
MoCo,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png
MoCo,bear,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png
MoCo,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png
MoCo,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png
MoCo,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png
MoCo,bottle,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png
MoCo,bear,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png
MoCo,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png
MoCo,elephant,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png
MoCo,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png
MoCo,oven,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png
MoCo,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png
MoCo,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png
MoCo,cat,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png
MoCo,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png
MoCo,oven,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png
MoCo,clock,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png
MoCo,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png
MoCo,oven,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png
MoCo,chair,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png
MoCo,truck,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png
MoCo,elephant,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png
MoCo,clock,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png
MoCo,oven,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png
MoCo,truck,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png
MoCo,oven,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png
MoCo,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png
MoCo,bottle,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png
