dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,cw_ssim,False,5,0.0753078460693359,0.9885467364658066
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,cw_ssim,False,1,0.0588502883911132,0.9809759145820598
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,cw_ssim,False,3,0.0585842132568359,0.9813758137156998
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,cw_ssim,False,7,0.0584867000579834,0.9763005592017896
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,cw_ssim,False,7,0.0584166049957275,0.9268144988282444
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,cw_ssim,False,1,0.0588612556457519,0.9947919106628258
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,cw_ssim,False,10,0.0584738254547119,0.9530831497807986
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,cw_ssim,False,5,0.0583939552307128,0.9550124607123875
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,cw_ssim,False,3,0.0583968162536621,0.9423368743359462
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,cw_ssim,False,3,0.0586192607879638,0.9867553215921072
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,cw_ssim,False,7,0.0582978725433349,0.9822033267894068
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,cw_ssim,False,10,0.0582602024078369,0.913956635924366
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,cw_ssim,False,5,0.05845308303833,0.9477171800222788
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,cw_ssim,False,1,0.0585572719573974,0.9891260828941428
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,cw_ssim,False,7,0.0583982467651367,0.969819203348304
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,cw_ssim,False,10,0.0583186149597168,0.9029877792771596
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,cw_ssim,False,15,0.0585300922393798,0.6485256855336269
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,cw_ssim,False,10,0.0583727359771728,0.9112099119041658
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,cw_ssim,False,1,0.0584170818328857,0.9472492651798544
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,cw_ssim,False,7,0.0584497451782226,0.974662365854192
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,cw_ssim,False,15,0.0584855079650878,0.5034139440270837
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,cw_ssim,False,7,0.0583686828613281,0.9511986429011928
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,cw_ssim,False,5,0.0582537651062011,0.980086806399768
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,cw_ssim,False,0,0.0589656829833984,1.000000003259629
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,cw_ssim,False,7,0.0585193634033203,0.9740821930905056
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,cw_ssim,False,10,0.0585279464721679,0.9297226047828546
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,cw_ssim,False,5,0.0582845211029052,0.7869423560793256
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,cw_ssim,False,1,0.0586977005004882,0.98551912638991
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,cw_ssim,False,7,0.0583267211914062,0.945335341989584
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,cw_ssim,False,10,0.0584993362426757,0.9443009720344948
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,cw_ssim,False,3,0.0583007335662841,0.9936357127506672
