dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,fsim,False,5,0.0530383586883544,0.6757657527923584
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,fsim,False,1,0.0144815444946289,0.9457536339759828
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,fsim,False,3,0.014275312423706,0.8952090740203857
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,fsim,False,7,0.0141313076019287,0.7059319615364075
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,fsim,False,7,0.014289379119873,0.7969202399253845
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,fsim,False,1,0.0143988132476806,0.9431471228599548
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,fsim,False,10,0.0142102241516113,0.738405704498291
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,fsim,False,5,0.0139851570129394,0.7527082562446594
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,fsim,False,3,0.0141799449920654,0.7225098013877869
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,fsim,False,3,0.0143215656280517,0.851158082485199
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,fsim,False,7,0.0141704082489013,0.6727117896080017
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,fsim,False,10,0.0139780044555664,0.5121402144432068
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,fsim,False,5,0.0142152309417724,0.7191555500030518
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,fsim,False,1,0.0142812728881835,0.9229507446289062
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,fsim,False,7,0.0141990184783935,0.7276629209518433
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,fsim,False,10,0.0140845775604248,0.6744402647018433
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,fsim,False,15,0.0142669677734375,0.5867325067520142
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,fsim,False,10,0.0142054557800292,0.5897037386894226
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,fsim,False,1,0.0142693519592285,0.94181627035141
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,fsim,False,7,0.0141491889953613,0.6583235263824463
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,fsim,False,15,0.0144503116607666,0.6389411091804504
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,fsim,False,7,0.0141205787658691,0.6415259838104248
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,fsim,False,5,0.0141303539276123,0.6540287733078003
