dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,lpips,True,5,0.005797624588012695,0.6118652820587158
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,lpips,True,1,0.005417585372924805,0.09169389307498932
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,lpips,True,3,0.005269050598144531,0.3681778013706207
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,lpips,True,7,0.005221128463745117,0.7779344320297241
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,lpips,True,7,0.005216836929321289,0.5741304755210876
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,lpips,True,1,0.005454301834106445,0.09017257392406464
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,lpips,True,10,0.005234718322753906,0.6633496284484863
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,lpips,True,5,0.0049669742584228516,0.5475606322288513
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,lpips,True,3,0.0051805973052978516,0.7447701692581177
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,lpips,True,3,0.00537872314453125,0.402050644159317
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,lpips,True,7,0.005148649215698242,0.5848763585090637
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,lpips,True,10,0.005247354507446289,0.830247700214386
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,lpips,True,5,0.0053327083587646484,0.624294102191925
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,lpips,True,1,0.00529170036315918,0.12355853617191315
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,lpips,True,7,0.005223274230957031,0.6127040982246399
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,lpips,True,10,0.005087852478027344,0.6694737672805786
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,lpips,True,15,0.005249500274658203,0.7852563858032227
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,lpips,True,10,0.00514984130859375,0.7866638898849487
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,lpips,True,1,0.0053920745849609375,0.07371538132429123
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,lpips,True,7,0.0051844120025634766,0.7156672477722168
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,lpips,True,15,0.005357980728149414,0.587026834487915
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,lpips,True,7,0.005114078521728516,0.6640195846557617
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,lpips,True,5,0.005120992660522461,0.7851735949516296
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,lpips,True,0,0.00586247444152832,0.0
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,lpips,True,7,0.005295991897583008,0.7032955884933472
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,lpips,True,10,0.00519561767578125,0.6157464385032654
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,lpips,True,5,0.005032777786254883,0.5936657786369324
