dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,ms_ssim,False,5,0.013212203979492188,0.8598829527012269
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,ms_ssim,False,1,0.013233184814453125,0.9828409009944479
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,ms_ssim,False,3,0.01312708854675293,0.9530694937040823
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,ms_ssim,False,7,0.013039827346801758,0.8354421574381368
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,ms_ssim,False,7,0.013096094131469727,0.8547409206638554
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,ms_ssim,False,1,0.013339519500732422,0.9839047556917071
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,ms_ssim,False,10,0.013140678405761719,0.7756831892094115
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,ms_ssim,False,5,0.01294088363647461,0.8694050538360206
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,ms_ssim,False,3,0.013062238693237305,0.8426979993514779
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,ms_ssim,False,3,0.013246774673461914,0.9419152518334454
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,ms_ssim,False,7,0.013052940368652344,0.8452401087499062
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,ms_ssim,False,10,0.012902259826660156,0.611463047607123
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,ms_ssim,False,5,0.013180732727050781,0.8554793632184303
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,ms_ssim,False,1,0.01320338249206543,0.9791381557570185
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,ms_ssim,False,7,0.013126611709594727,0.8229992670845997
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,ms_ssim,False,10,0.013061046600341797,0.7531904571006204
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,ms_ssim,False,15,0.013135671615600586,0.5136446901641559
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,ms_ssim,False,10,0.013022422790527344,0.606183099202937
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,ms_ssim,False,1,0.013199090957641602,0.9631002727121122
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,ms_ssim,False,7,0.013079404830932617,0.7747247842883263
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,ms_ssim,False,15,0.013221979141235352,0.41192366519607576
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,ms_ssim,False,7,0.013051271438598633,0.7761528994391106
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,ms_ssim,False,5,0.0130157470703125,0.8326891617407114
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,ms_ssim,False,0,0.013645172119140625,1.0
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,ms_ssim,False,7,0.013204813003540039,0.7494357050400774
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,ms_ssim,False,10,0.013080358505249023,0.6363644521833531
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,ms_ssim,False,5,0.012937784194946289,0.789311005402634
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,ms_ssim,False,1,0.01334238052368164,0.9732947255508774
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,ms_ssim,False,7,0.01300048828125,0.7669475500152295
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,ms_ssim,False,10,0.012991189956665039,0.6169678326836745
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,ms_ssim,False,3,0.013009309768676758,0.9040266908183535
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,ms_ssim,False,15,0.013188600540161133,0.5655565855004725
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,ms_ssim,False,3,0.013121366500854492,0.96328835855532
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,ms_ssim,False,0,0.013421297073364258,1.0
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,ms_ssim,False,10,0.013002395629882812,0.7066292031784246
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,ms_ssim,False,0,0.013623714447021484,1.0
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,ms_ssim,False,1,0.013117074966430664,0.9658438954247618
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,ms_ssim,False,7,0.012928962707519531,0.8499371612992074
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,ms_ssim,False,15,0.01313328742980957,0.5213106316916589
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,ms_ssim,False,10,0.013216972351074219,0.6907431648977119
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,ms_ssim,False,15,0.013165950775146484,0.49187956735179045
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,ms_ssim,False,7,0.01293325424194336,0.8015776997802878
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,ms_ssim,False,1,0.012957334518432617,0.9920886314289392
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,ms_ssim,False,1,0.01339101791381836,0.9871887283224238
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,ms_ssim,False,5,0.013018131256103516,0.8591143339629075
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,ms_ssim,False,7,0.013139724731445312,0.7983570147673862
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,ms_ssim,False,0,0.0135345458984375,1.0
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,ms_ssim,False,0,0.013907670974731445,1.0
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,ms_ssim,False,5,0.013155698776245117,0.8282384136072826
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,ms_ssim,False,0,0.013620376586914062,1.0
