dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,nlpd,True,5,0.013251066207885742,0.5894664525985718
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,nlpd,True,1,0.01306462287902832,0.19328492879867554
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,nlpd,True,3,0.013029813766479492,0.3348758816719055
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,nlpd,True,7,0.01297307014465332,0.6524832248687744
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,nlpd,True,7,0.012984752655029297,0.48526668548583984
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,nlpd,True,1,0.013353824615478516,0.18484120070934296
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,nlpd,True,10,0.013002872467041016,0.6659114956855774
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,nlpd,True,5,0.012817859649658203,0.5154619812965393
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,nlpd,True,3,0.012962579727172852,0.533871591091156
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,nlpd,True,3,0.013127565383911133,0.383802592754364
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,nlpd,True,7,0.012967586517333984,0.6368956565856934
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,nlpd,True,10,0.012774944305419922,0.8836809992790222
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,nlpd,True,5,0.013068437576293945,0.6178109049797058
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,nlpd,True,1,0.013042688369750977,0.25568637251853943
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,nlpd,True,7,0.012977361679077148,0.5972611308097839
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,nlpd,True,10,0.012930870056152344,0.7057708501815796
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,nlpd,True,15,0.013012886047363281,1.0288515090942383
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,nlpd,True,10,0.012893438339233398,0.9096214175224304
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,nlpd,True,1,0.013072729110717773,0.19532561302185059
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,nlpd,True,7,0.012921333312988281,0.6985397338867188
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,nlpd,True,15,0.013089895248413086,0.8996295928955078
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,nlpd,True,7,0.01295018196105957,0.659494936466217
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,nlpd,True,5,0.012906789779663086,0.608572244644165
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,nlpd,True,0,0.013567447662353516,0.0
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,nlpd,True,7,0.013133049011230469,0.788019061088562
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,nlpd,True,10,0.01295161247253418,0.7021163702011108
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,nlpd,True,5,0.012791156768798828,0.5503926277160645
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,nlpd,True,1,0.013220071792602539,0.24203109741210938
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,nlpd,True,7,0.012874841690063477,0.7581442594528198
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,nlpd,True,10,0.012870073318481445,0.9461601972579956
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,nlpd,True,3,0.012852191925048828,0.42374372482299805
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,nlpd,True,15,0.013051509857177734,0.9891161918640137
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,nlpd,True,3,0.013001203536987305,0.3585606515407562
