dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,psnr,False,5,0.0057649612426757,19.93243980407715
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,psnr,False,1,0.0035409927368164,29.05500221252441
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,psnr,False,3,0.0033783912658691,28.623645782470703
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,psnr,False,7,0.0032882690429687,18.37240982055664
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,psnr,False,7,0.003319501876831,17.47273063659668
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,psnr,False,1,0.0035815238952636,30.209442138671875
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,psnr,False,10,0.0033683776855468,19.135326385498047
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,psnr,False,5,0.003115177154541,20.56274032592773
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,psnr,False,3,0.0032978057861328,17.827425003051758
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,psnr,False,3,0.0034503936767578,23.72846984863281
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,psnr,False,7,0.0032587051391601,11.767258644104004
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,psnr,False,10,0.0031228065490722,15.801992416381836
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,psnr,False,5,0.003380537033081,19.75042724609375
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,psnr,False,1,0.0034136772155761,27.810813903808597
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,psnr,False,7,0.0034070014953613,21.14633178710937
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,psnr,False,10,0.0032179355621337,19.25932884216309
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,psnr,False,15,0.003364086151123,14.57223415374756
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,psnr,False,10,0.0032505989074707,16.6162166595459
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,psnr,False,1,0.0034000873565673,26.27364730834961
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,psnr,False,7,0.0032999515533447,18.850910186767575
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,psnr,False,15,0.003453254699707,17.140405654907227
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,psnr,False,7,0.003237247467041,17.80474090576172
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,psnr,False,5,0.0033082962036132,21.7000675201416
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,psnr,False,0,0.0038003921508789,80.0
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,psnr,False,7,0.0034286975860595,17.96356964111328
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,psnr,False,10,0.0033199787139892,20.4964542388916
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,psnr,False,5,0.0031592845916748,17.069555282592773
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,psnr,False,1,0.0035674571990966,26.39985656738281
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,psnr,False,7,0.0032374858856201,18.08342742919922
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,psnr,False,10,0.0033047199249267,13.066954612731934
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,psnr,False,3,0.0032689571380615,21.2859001159668
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,psnr,False,15,0.003319501876831,15.073634147644045
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,psnr,False,3,0.0033388137817382,25.407039642333984
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,psnr,False,0,0.0036449432373046,80.0
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,psnr,False,10,0.0032515525817871,19.03709602355957
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,psnr,False,0,0.00386643409729,80.0
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,psnr,False,1,0.0033867359161376,26.02423667907715
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,psnr,False,7,0.003171682357788,18.512117385864254
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,psnr,False,15,0.0033509731292724,15.495275497436523
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,psnr,False,10,0.0033881664276123,16.27069854736328
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,psnr,False,15,0.0033843517303466,17.08094596862793
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,psnr,False,7,0.0031583309173583,19.611785888671875
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,psnr,False,1,0.0032002925872802,30.59625625610352
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,psnr,False,1,0.0036370754241943,25.888256072998047
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,psnr,False,5,0.0032413005828857,18.022565841674805
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,psnr,False,7,0.0034372806549072,18.043169021606445
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,psnr,False,0,0.0037539005279541,80.0
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,psnr,False,0,0.0040390491485595,80.0
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,psnr,False,5,0.0034132003784179,19.080078125
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,psnr,False,0,0.0038511753082275,80.0
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,psnr,False,3,0.0034539699554443,24.75726127624512
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450,psnr,False,10,0.0032799243927001,20.07082939147949
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462,psnr,False,15,0.0032713413238525,11.548402786254885
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683,psnr,False,3,0.003350019454956,24.463415145874023
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309,psnr,False,7,0.0029370784759521,22.806774139404297
deblurred_erco,0062_lp_dnn_15_bear_10_n02134084_4923,psnr,False,15,0.0034635066986083,18.980144500732425
deblurred_erco,0063_lp_dnn_1_chair_10_n04429376_5238,psnr,False,1,0.0036742687225341,18.18000030517578
deblurred_erco,0064_lp_dnn_0_clock_10_n03196217_2414,psnr,False,0,0.0037858486175537,80.0
deblurred_erco,0065_lp_dnn_3_bird_10_n01797886_2711,psnr,False,3,0.0035746097564697,19.23189353942871
deblurred_erco,0066_lp_dnn_15_truck_10_n04467665_68463,psnr,False,15,0.003267765045166,17.04330825805664
deblurred_erco,0067_lp_dnn_0_truck_10_n03417042_10099,psnr,False,0,0.0035624504089355,80.0
deblurred_erco,0068_lp_dnn_10_bear_10_n02134418_3793,psnr,False,10,0.0033984184265136,20.11977195739746
deblurred_erco,0069_lp_dnn_10_bottle_10_n03937543_9524,psnr,False,10,0.0033841133117675,17.36294174194336
deblurred_erco,0070_lp_dnn_3_cat_10_n02123394_1038,psnr,False,3,0.0031063556671142,23.39924049377441
deblurred_erco,0071_lp_dnn_5_dog_10_n02110185_7886,psnr,False,5,0.0033104419708251,24.418685913085938
deblurred_erco,0072_lp_dnn_3_clock_10_n02708093_4912,psnr,False,3,0.0031924247741699,14.235515594482422
deblurred_erco,0073_lp_dnn_15_dog_10_n02108422_932,psnr,False,15,0.0033833980560302,17.291669845581055
deblurred_erco,0074_lp_dnn_0_truck_10_n04467665_18621,psnr,False,0,0.0039131641387939,80.0
deblurred_erco,0075_lp_dnn_1_truck_10_n04467665_50932,psnr,False,1,0.003587007522583,30.30228614807129
deblurred_erco,0076_lp_dnn_1_dog_10_n02102480_7293,psnr,False,1,0.0036144256591796,26.37516975402832
deblurred_erco,0077_lp_dnn_1_bottle_10_n04591713_4764,psnr,False,1,0.0030615329742431,25.94745445251465
deblurred_erco,0078_lp_dnn_15_clock_10_n02708093_274,psnr,False,15,0.0033626556396484,18.15265464782715
deblurred_erco,0079_lp_dnn_5_bottle_10_n04557648_29772,psnr,False,5,0.0034465789794921,21.308364868164062
deblurred_erco,0080_lp_dnn_15_car_10_n03100240_22499,psnr,False,15,0.0032999515533447,16.171537399291992
deblurred_erco,0081_lp_dnn_3_clock_10_n02708093_6252,psnr,False,3,0.0030188560485839,20.53697204589844
deblurred_erco,0082_lp_dnn_10_airplane_10_n02690373_5427,psnr,False,10,0.0032732486724853,18.37385368347168
deblurred_erco,0083_lp_dnn_15_dog_10_n02107142_46045,psnr,False,15,0.0034055709838867,15.26301383972168
deblurred_erco,0085_lp_dnn_3_bicycle_10_n03792782_12421,psnr,False,3,0.0035345554351806,20.980281829833984
deblurred_erco,0086_lp_dnn_0_airplane_10_n02690373_1310,psnr,False,0,0.0033092498779296,80.0
deblurred_erco,0087_lp_dnn_15_oven_10_n04111531_8793,psnr,False,15,0.0030803680419921,13.724051475524902
deblurred_erco,0088_lp_dnn_5_airplane_10_n02690373_633,psnr,False,5,0.0032610893249511,23.406295776367188
deblurred_erco,0089_lp_dnn_5_clock_10_n02708093_2307,psnr,False,5,0.0034229755401611,22.495853424072266
deblurred_erco,0090_lp_dnn_10_oven_10_n04111531_13795,psnr,False,10,0.0033745765686035,17.17353057861328
deblurred_erco,0091_lp_dnn_3_boat_10_n03662601_1427,psnr,False,3,0.0031092166900634,20.86547470092773
deblurred_erco,0092_lp_dnn_5_boat_10_n04612504_15944,psnr,False,5,0.0034244060516357,20.55232048034668
deblurred_erco,0094_lp_dnn_7_elephant_10_n02504458_1848,psnr,False,7,0.0034132003784179,21.106609344482425
deblurred_erco,0095_lp_dnn_5_oven_10_n04111531_4155,psnr,False,5,0.0032322406768798,19.57731056213379
deblurred_erco,0096_lp_dnn_0_car_10_n03100240_8327,psnr,False,0,0.0037846565246582,80.0
deblurred_erco,0097_lp_dnn_0_chair_10_n04429376_24319,psnr,False,0,0.003788948059082,80.0
deblurred_erco,0098_lp_dnn_3_chair_10_n03376595_5112,psnr,False,3,0.0034694671630859,24.453689575195312
deblurred_erco,0099_lp_dnn_1_cat_10_n02124075_2268,psnr,False,1,0.0035569667816162,27.591798782348636
deblurred_erco,0100_lp_dnn_3_boat_10_n04273569_1137,psnr,False,3,0.0031871795654296,20.175472259521484
deblurred_erco,0101_lp_dnn_1_chair_10_n02791124_15383,psnr,False,1,0.0035264492034912,28.377294540405277
deblurred_erco,0102_lp_dnn_15_clock_10_n04548280_8998,psnr,False,15,0.003103494644165,15.812207221984863
deblurred_erco,0103_lp_dnn_0_dog_10_n02097047_2800,psnr,False,0,0.0038104057312011,80.0
deblurred_erco,0104_lp_dnn_15_bicycle_10_n03792782_18294,psnr,False,15,0.0034241676330566,14.024713516235352
deblurred_erco,0105_lp_dnn_0_elephant_10_n02504013_24486,psnr,False,0,0.0035789012908935,80.0
deblurred_erco,0106_lp_dnn_7_airplane_10_n02690373_2923,psnr,False,7,0.0033431053161621,19.289474487304688
deblurred_erco,0107_lp_dnn_3_airplane_10_n02690373_15392,psnr,False,3,0.0031859874725341,23.69349670410156
deblurred_erco,0108_lp_dnn_5_oven_10_n04111531_6080,psnr,False,5,0.0035243034362792,21.167564392089844
deblurred_erco,0109_lp_dnn_15_bear_10_n02134084_22736,psnr,False,15,0.0032007694244384,18.91412353515625
deblurred_erco,0110_lp_dnn_1_knife_10_n03041632_33326,psnr,False,1,0.0036478042602539,23.67244529724121
deblurred_erco,0113_lp_dnn_7_bicycle_10_n03792782_5416,psnr,False,7,0.0034587383270263,16.868473052978516
deblurred_erco,0114_lp_dnn_7_knife_10_n03041632_25772,psnr,False,7,0.0035691261291503,17.121387481689453
deblurred_erco,0115_lp_dnn_10_bicycle_10_n03792782_7108,psnr,False,10,0.003396987915039,17.35529327392578
deblurred_erco,0116_lp_dnn_0_chair_10_n03376595_1981,psnr,False,0,0.0038897991180419,80.0
deblurred_erco,0117_lp_dnn_15_oven_10_n04111531_6508,psnr,False,15,0.0033559799194335,16.06622314453125
deblurred_erco,0118_lp_dnn_15_bird_10_n01843383_2843,psnr,False,15,0.0031847953796386,11.592120170593262
deblurred_erco,0119_lp_dnn_5_cat_10_n02123597_5887,psnr,False,5,0.003406286239624,26.291170120239254
deblurred_erco,0121_lp_dnn_1_bird_10_n01530575_10332,psnr,False,1,0.0034654140472412,31.732364654541016
deblurred_erco,0122_lp_dnn_15_elephant_10_n02504013_5887,psnr,False,15,0.0034024715423583,15.510675430297852
deblurred_erco,0123_lp_dnn_3_cat_10_n02124075_8693,psnr,False,3,0.0034592151641845,25.445878982543945
