dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,stlpips,True,5,0.0279595851898193,0.618069052696228
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,stlpips,True,1,0.0059847831726074,0.0665481314063072
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,stlpips,True,3,0.0057954788208007,0.2414052635431289
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,stlpips,True,7,0.0055911540985107,0.6835541129112244
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,stlpips,True,7,0.0055992603302001,0.5707768797874451
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,stlpips,True,1,0.0058271884918212,0.0933418869972229
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,stlpips,True,10,0.0056250095367431,0.608644962310791
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,stlpips,True,5,0.0053567886352539,0.5249930024147034
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,stlpips,True,3,0.0055761337280273,0.5699390172958374
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,stlpips,True,3,0.0057311058044433,0.3441494107246399
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,stlpips,True,7,0.0055334568023681,0.5670039653778076
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,stlpips,True,10,0.005403995513916,0.8835744261741638
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,stlpips,True,5,0.0056641101837158,0.5989834070205688
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,stlpips,True,1,0.005753755569458,0.1044263392686843
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,stlpips,True,7,0.0056281089782714,0.5803005695343018
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,stlpips,True,10,0.0054855346679687,0.6623820066452026
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,stlpips,True,15,0.0056262016296386,0.733376145362854
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,stlpips,True,10,0.0055301189422607,0.7459532022476196
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,stlpips,True,1,0.0057039260864257,0.074949249625206
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,stlpips,True,7,0.0055787563323974,0.7285473942756653
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,stlpips,True,15,0.0057346820831298,0.485397607088089
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,stlpips,True,7,0.0055305957794189,0.6473373770713806
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,stlpips,True,5,0.0055239200592041,0.6808788776397705
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,stlpips,True,0,0.0060672760009765,0.0
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,stlpips,True,7,0.0056912899017333,0.6470242738723755
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,stlpips,True,10,0.0055820941925048,0.638941764831543
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,stlpips,True,5,0.0054457187652587,0.4867754280567169
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,stlpips,True,1,0.0058836936950683,0.1450632810592651
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,stlpips,True,7,0.005533218383789,0.6926156282424927
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,stlpips,True,10,0.005502700805664,0.7743049263954163
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,stlpips,True,3,0.0054996013641357,0.5148540735244751
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,stlpips,True,15,0.0057027339935302,0.8287825584411621
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,stlpips,True,3,0.0056324005126953,0.2709161043167114
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,stlpips,True,0,0.0059382915496826,0.0
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,stlpips,True,10,0.0055174827575683,0.8086869120597839
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,stlpips,True,0,0.0061326026916503,0.0
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,stlpips,True,1,0.0056235790252685,0.0538023263216018
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,stlpips,True,7,0.005429983139038,0.3623792231082916
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,stlpips,True,15,0.0056545734405517,0.8852595090866089
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,stlpips,True,10,0.0056517124176025,0.6550215482711792
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,stlpips,True,15,0.0056862831115722,0.6616016626358032
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,stlpips,True,7,0.0054383277893066,0.5908387303352356
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,stlpips,True,1,0.005516767501831,0.029672123491764
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,stlpips,True,1,0.0058937072753906,0.1208464205265045
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,stlpips,True,5,0.0055344104766845,0.5857727527618408
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,stlpips,True,7,0.0056655406951904,0.6863178014755249
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,stlpips,True,0,0.0060415267944335,0.0
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,stlpips,True,0,0.0063159465789794,0.0
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,stlpips,True,5,0.0056257247924804,0.5941781997680664
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,stlpips,True,0,0.0062143802642822,0.0
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,stlpips,True,3,0.0057311058044433,0.4324783682823181
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450,stlpips,True,10,0.0055587291717529,0.5209518671035767
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462,stlpips,True,15,0.0055365562438964,0.6045886874198914
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683,stlpips,True,3,0.0056216716766357,0.3812463879585266
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309,stlpips,True,7,0.0052120685577392,0.2603504061698913
deblurred_erco,0062_lp_dnn_15_bear_10_n02134084_4923,stlpips,True,15,0.0056777000427246,0.7188552618026733
deblurred_erco,0063_lp_dnn_1_chair_10_n04429376_5238,stlpips,True,1,0.0059266090393066,0.1331095695495605
deblurred_erco,0064_lp_dnn_0_clock_10_n03196217_2414,stlpips,True,0,0.0060584545135498,0.0
deblurred_erco,0065_lp_dnn_3_bird_10_n01797886_2711,stlpips,True,3,0.0058550834655761,0.4850631952285766
deblurred_erco,0066_lp_dnn_15_truck_10_n04467665_68463,stlpips,True,15,0.0054867267608642,0.5813470482826233
deblurred_erco,0067_lp_dnn_0_truck_10_n03417042_10099,stlpips,True,0,0.0058419704437255,0.0
deblurred_erco,0068_lp_dnn_10_bear_10_n02134418_3793,stlpips,True,10,0.0056772232055664,0.559395968914032
deblurred_erco,0069_lp_dnn_10_bottle_10_n03937543_9524,stlpips,True,10,0.0056579113006591,0.4740260243415832
deblurred_erco,0070_lp_dnn_3_cat_10_n02123394_1038,stlpips,True,3,0.0053749084472656,0.2757335305213928
deblurred_erco,0071_lp_dnn_5_dog_10_n02110185_7886,stlpips,True,5,0.0055890083312988,0.4214070439338684
deblurred_erco,0072_lp_dnn_3_clock_10_n02708093_4912,stlpips,True,3,0.0054535865783691,0.4837393462657928
deblurred_erco,0073_lp_dnn_15_dog_10_n02108422_932,stlpips,True,15,0.0056498050689697,0.8315992951393127
deblurred_erco,0074_lp_dnn_0_truck_10_n04467665_18621,stlpips,True,0,0.0062823295593261,0.0
deblurred_erco,0075_lp_dnn_1_truck_10_n04467665_50932,stlpips,True,1,0.0058515071868896,0.049788512289524
deblurred_erco,0076_lp_dnn_1_dog_10_n02102480_7293,stlpips,True,1,0.0058913230895996,0.0542477816343307
deblurred_erco,0077_lp_dnn_1_bottle_10_n04591713_4764,stlpips,True,1,0.0053701400756835,0.1173898875713348
deblurred_erco,0078_lp_dnn_15_clock_10_n02708093_274,stlpips,True,15,0.0057096481323242,0.7841249108314514
deblurred_erco,0079_lp_dnn_5_bottle_10_n04557648_29772,stlpips,True,5,0.0057349205017089,0.5329496264457703
deblurred_erco,0080_lp_dnn_15_car_10_n03100240_22499,stlpips,True,15,0.0055780410766601,0.7222439050674438
deblurred_erco,0081_lp_dnn_3_clock_10_n02708093_6252,stlpips,True,3,0.0052757263183593,0.4686946272850036
deblurred_erco,0082_lp_dnn_10_airplane_10_n02690373_5427,stlpips,True,10,0.0055384635925292,0.5972282886505127
deblurred_erco,0083_lp_dnn_15_dog_10_n02107142_46045,stlpips,True,15,0.0056829452514648,0.7443801164627075
deblurred_erco,0085_lp_dnn_3_bicycle_10_n03792782_12421,stlpips,True,3,0.0057623386383056,0.4458069205284118
deblurred_erco,0086_lp_dnn_0_airplane_10_n02690373_1310,stlpips,True,0,0.0055775642395019,0.0
deblurred_erco,0087_lp_dnn_15_oven_10_n04111531_8793,stlpips,True,15,0.0054140090942382,0.6546796560287476
deblurred_erco,0088_lp_dnn_5_airplane_10_n02690373_633,stlpips,True,5,0.005547285079956,0.4360663294792175
deblurred_erco,0089_lp_dnn_5_clock_10_n02708093_2307,stlpips,True,5,0.0057020187377929,0.6274213790893555
deblurred_erco,0090_lp_dnn_10_oven_10_n04111531_13795,stlpips,True,10,0.0055615901947021,0.7614281177520752
deblurred_erco,0091_lp_dnn_3_boat_10_n03662601_1427,stlpips,True,3,0.0053739547729492,0.4220962524414062
deblurred_erco,0092_lp_dnn_5_boat_10_n04612504_15944,stlpips,True,5,0.005730390548706,0.6081615090370178
deblurred_erco,0094_lp_dnn_7_elephant_10_n02504458_1848,stlpips,True,7,0.0057747364044189,0.7508770227432251
deblurred_erco,0095_lp_dnn_5_oven_10_n04111531_4155,stlpips,True,5,0.0055282115936279,0.5855610370635986
deblurred_erco,0096_lp_dnn_0_car_10_n03100240_8327,stlpips,True,0,0.0060818195343017,0.0
deblurred_erco,0097_lp_dnn_0_chair_10_n04429376_24319,stlpips,True,0,0.0060780048370361,0.0
deblurred_erco,0098_lp_dnn_3_chair_10_n03376595_5112,stlpips,True,3,0.0056397914886474,0.4705254733562469
deblurred_erco,0099_lp_dnn_1_cat_10_n02124075_2268,stlpips,True,1,0.0058631896972656,0.0635148137807846
deblurred_erco,0100_lp_dnn_3_boat_10_n04273569_1137,stlpips,True,3,0.0054681301116943,0.3166047930717468
deblurred_erco,0101_lp_dnn_1_chair_10_n02791124_15383,stlpips,True,1,0.0058364868164062,0.0802802890539169
deblurred_erco,0102_lp_dnn_15_clock_10_n04548280_8998,stlpips,True,15,0.0053863525390625,0.6332955360412598
deblurred_erco,0103_lp_dnn_0_dog_10_n02097047_2800,stlpips,True,0,0.0060896873474121,0.0
deblurred_erco,0104_lp_dnn_15_bicycle_10_n03792782_18294,stlpips,True,15,0.0056946277618408,0.7314061522483826
deblurred_erco,0105_lp_dnn_0_elephant_10_n02504013_24486,stlpips,True,0,0.0058627128601074,0.0
deblurred_erco,0106_lp_dnn_7_airplane_10_n02690373_2923,stlpips,True,7,0.0055761337280273,0.6222752332687378
deblurred_erco,0107_lp_dnn_3_airplane_10_n02690373_15392,stlpips,True,3,0.0054588317871093,0.5285189151763916
deblurred_erco,0108_lp_dnn_5_oven_10_n04111531_6080,stlpips,True,5,0.0057544708251953,0.5233520865440369
deblurred_erco,0109_lp_dnn_15_bear_10_n02134084_22736,stlpips,True,15,0.0054807662963867,0.66866534948349
deblurred_erco,0110_lp_dnn_1_knife_10_n03041632_33326,stlpips,True,1,0.0058462619781494,0.0848571583628654
deblurred_erco,0113_lp_dnn_7_bicycle_10_n03792782_5416,stlpips,True,7,0.0057432651519775,0.774893581867218
deblurred_erco,0114_lp_dnn_7_knife_10_n03041632_25772,stlpips,True,7,0.0058491230010986,0.8395355939865112
deblurred_erco,0115_lp_dnn_10_bicycle_10_n03792782_7108,stlpips,True,10,0.0056400299072265,0.7791330218315125
deblurred_erco,0116_lp_dnn_0_chair_10_n03376595_1981,stlpips,True,0,0.0061509609222412,0.0
deblurred_erco,0117_lp_dnn_15_oven_10_n04111531_6508,stlpips,True,15,0.0056445598602294,0.7289804220199585
deblurred_erco,0118_lp_dnn_15_bird_10_n01843383_2843,stlpips,True,15,0.0054912567138671,0.8156365752220154
deblurred_erco,0119_lp_dnn_5_cat_10_n02123597_5887,stlpips,True,5,0.0057039260864257,0.4236364960670471
deblurred_erco,0121_lp_dnn_1_bird_10_n01530575_10332,stlpips,True,1,0.0057411193847656,0.0438009425997734
deblurred_erco,0122_lp_dnn_15_elephant_10_n02504013_5887,stlpips,True,15,0.0057013034820556,0.8642905950546265
deblurred_erco,0123_lp_dnn_3_cat_10_n02124075_8693,stlpips,True,3,0.005721092224121,0.3052982091903686
deblurred_erco,0124_lp_dnn_15_boat_10_n04612504_26151,stlpips,True,15,0.0055344104766845,0.619474470615387
deblurred_erco,0125_lp_dnn_7_cat_10_n02125311_53412,stlpips,True,7,0.0055210590362548,0.5730648040771484
deblurred_erco,0126_lp_dnn_7_knife_10_n03041632_46914,stlpips,True,7,0.0056610107421875,0.4778461456298828
deblurred_erco,0127_lp_dnn_15_bicycle_10_n03792782_5629,stlpips,True,15,0.0057082176208496,0.8441979885101318
deblurred_erco,0129_lp_dnn_3_dog_10_n02101006_5024,stlpips,True,3,0.0056154727935791,0.3156824111938476
deblurred_erco,0130_lp_dnn_15_oven_10_n04111531_2350,stlpips,True,15,0.0053789615631103,0.741049587726593
deblurred_erco,0131_lp_dnn_7_airplane_10_n02690373_4839,stlpips,True,7,0.0054922103881835,0.5607841610908508
deblurred_erco,0132_lp_dnn_5_car_10_n03100240_2075,stlpips,True,5,0.0055978298187255,0.5945339202880859
deblurred_erco,0133_lp_dnn_5_cat_10_n02123159_3729,stlpips,True,5,0.0056302547454833,0.4725168943405151
deblurred_erco,0134_lp_dnn_10_knife_10_n03041632_3079,stlpips,True,10,0.0057559013366699,0.7653719782829285
deblurred_erco,0135_lp_dnn_15_elephant_10_n02504013_2052,stlpips,True,15,0.0056266784667968,0.8709080219268799
deblurred_erco,0137_lp_dnn_15_keyboard_10_n03085013_7955,stlpips,True,15,0.0055580139160156,0.5539512634277344
deblurred_erco,0139_lp_dnn_10_cat_10_n02125311_44401,stlpips,True,10,0.0057113170623779,0.6923342943191528
deblurred_erco,0140_lp_dnn_10_airplane_10_n02690373_10657,stlpips,True,10,0.0054013729095458,0.5499474406242371
deblurred_erco,0141_lp_dnn_5_bird_10_n02025239_7919,stlpips,True,5,0.0057487487792968,0.5217758417129517
deblurred_erco,0144_lp_dnn_5_keyboard_10_n04505470_4371,stlpips,True,5,0.0054876804351806,0.6688505411148071
deblurred_erco,0145_lp_dnn_0_keyboard_10_n03085013_14237,stlpips,True,0,0.0059714317321777,0.0
deblurred_erco,0146_lp_dnn_0_clock_10_n03196217_6163,stlpips,True,0,0.0060625076293945,0.0
deblurred_erco,0147_lp_dnn_15_chair_10_n02791124_3857,stlpips,True,15,0.0055832862854003,0.6188806295394897
deblurred_erco,0149_lp_dnn_0_truck_10_n04467665_17101,stlpips,True,0,0.006061315536499,0.0
deblurred_erco,0150_lp_dnn_1_chair_10_n04429376_19354,stlpips,True,1,0.0058131217956542,0.077273853123188
deblurred_erco,0151_lp_dnn_0_knife_10_n03041632_42156,stlpips,True,0,0.005908727645874,0.0
deblurred_erco,0152_lp_dnn_1_car_10_n04285008_39,stlpips,True,1,0.0057008266448974,0.1097809225320816
deblurred_erco,0153_lp_dnn_1_boat_10_n03662601_1319,stlpips,True,1,0.0056748390197753,0.1180670857429504
deblurred_erco,0154_lp_dnn_7_truck_10_n03796401_4119,stlpips,True,7,0.0057461261749267,0.6753885746002197
deblurred_erco,0155_lp_dnn_15_bottle_10_n03937543_2333,stlpips,True,15,0.0055944919586181,0.5695115327835083
deblurred_erco,0156_lp_dnn_3_bottle_10_n04591713_7134,stlpips,True,3,0.0052504539489746,0.3277099728584289
deblurred_erco,0157_lp_dnn_0_dog_10_n02107312_3673,stlpips,True,0,0.0061604976654052,0.0
deblurred_erco,0158_lp_dnn_3_oven_10_n04111531_8373,stlpips,True,3,0.0056390762329101,0.4471232891082763
deblurred_erco,0159_lp_dnn_3_car_10_n03100240_13707,stlpips,True,3,0.0056197643280029,0.4214920401573181
deblurred_erco,0160_lp_dnn_1_chair_10_n02791124_241,stlpips,True,1,0.0055992603302001,0.0608865767717361
deblurred_erco,0161_lp_dnn_7_airplane_10_n02690373_5628,stlpips,True,7,0.0055277347564697,0.4476311802864074
deblurred_erco,0163_lp_dnn_7_keyboard_10_n04505470_4501,stlpips,True,7,0.0056219100952148,0.867229700088501
deblurred_erco,0164_lp_dnn_1_bird_10_n02033041_11415,stlpips,True,1,0.0057549476623535,0.0478869453072547
deblurred_erco,0165_lp_dnn_1_knife_10_n03041632_6446,stlpips,True,1,0.0057988166809082,0.0824233591556549
deblurred_erco,0166_lp_dnn_0_bird_10_n02011460_3892,stlpips,True,0,0.0063679218292236,0.0
