dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,topiq_fr-pipal,False,5,0.02007436752319336,0.2530306875705719
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,topiq_fr-pipal,False,1,0.01931905746459961,0.7076230645179749
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,topiq_fr-pipal,False,3,0.019225358963012695,0.581655740737915
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,topiq_fr-pipal,False,7,0.019024372100830078,0.19954203069210052
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,topiq_fr-pipal,False,7,0.01910853385925293,0.2256506085395813
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,topiq_fr-pipal,False,1,0.01946878433227539,0.7127165794372559
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,topiq_fr-pipal,False,10,0.01916980743408203,0.1756364107131958
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,topiq_fr-pipal,False,5,0.018907546997070312,0.2706901431083679
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,topiq_fr-pipal,False,3,0.019071578979492188,0.41492900252342224
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,topiq_fr-pipal,False,3,0.019254446029663086,0.46183091402053833
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,topiq_fr-pipal,False,7,0.01907181739807129,0.18486574292182922
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,topiq_fr-pipal,False,10,0.018944501876831055,0.20252323150634766
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,topiq_fr-pipal,False,5,0.01919245719909668,0.3030109405517578
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,topiq_fr-pipal,False,1,0.019168376922607422,0.7247534990310669
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,topiq_fr-pipal,False,7,0.019103050231933594,0.2611296772956848
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,topiq_fr-pipal,False,10,0.018945693969726562,0.15467014908790588
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,topiq_fr-pipal,False,15,0.01914668083190918,0.14704465866088867
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,topiq_fr-pipal,False,10,0.01908731460571289,0.15132585167884827
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,topiq_fr-pipal,False,1,0.019158363342285156,0.7178946733474731
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,topiq_fr-pipal,False,7,0.01905345916748047,0.20946477353572845
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,topiq_fr-pipal,False,15,0.019172191619873047,0.21965306997299194
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,topiq_fr-pipal,False,7,0.019020795822143555,0.20337320864200592
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,topiq_fr-pipal,False,5,0.019030094146728516,0.33733856678009033
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,topiq_fr-pipal,False,0,0.0198824405670166,0.8051540851593018
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,topiq_fr-pipal,False,7,0.019226551055908203,0.23187269270420074
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,topiq_fr-pipal,False,10,0.0190732479095459,0.22296330332756042
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,topiq_fr-pipal,False,5,0.0189208984375,0.30922770500183105
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,topiq_fr-pipal,False,1,0.019312381744384766,0.6695154905319214
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,topiq_fr-pipal,False,7,0.018987417221069336,0.21623922884464264
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,topiq_fr-pipal,False,10,0.01904129981994629,0.12683947384357452
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,topiq_fr-pipal,False,3,0.0190887451171875,0.42263543605804443
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,topiq_fr-pipal,False,15,0.019086837768554688,0.13210760056972504
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,topiq_fr-pipal,False,3,0.01911187171936035,0.4677019417285919
