dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,brisque,True,5,0.4842348098754883,57.54266357421875
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,brisque,True,1,0.0138649940490722,3.59588623046875
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,brisque,True,3,0.0131793022155761,39.21697998046875
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,brisque,True,7,0.0130224227905273,69.90985107421875
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,brisque,True,7,0.0129628181457519,69.40838623046875
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,brisque,True,1,0.0131387710571289,9.59246826171875
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,brisque,True,10,0.012913703918457,68.72039794921875
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,brisque,True,5,0.0129272937774658,57.41278076171875
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,brisque,True,3,0.0130796432495117,37.51239013671875
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,brisque,True,3,0.0129659175872802,36.61395263671875
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,brisque,True,7,0.0129027366638183,66.50408935546875
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,brisque,True,10,0.0129091739654541,74.68670654296875
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,brisque,True,5,0.0128941535949707,57.86932373046875
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,brisque,True,1,0.0131046772003173,0.05242919921875
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,brisque,True,7,0.0129041671752929,65.63055419921875
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,brisque,True,10,0.0129637718200683,57.68377685546875
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,brisque,True,15,0.0130493640899658,50.40301513671875
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,brisque,True,10,0.0128681659698486,64.61346435546875
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,brisque,True,1,0.0130293369293212,15.94403076171875
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,brisque,True,7,0.0128602981567382,67.31903076171875
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,brisque,True,15,0.0130176544189453,16.76971435546875
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,brisque,True,7,0.0129718780517578,44.04071044921875
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,brisque,True,5,0.0128796100616455,67.72918701171875
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,brisque,True,0,0.013118028640747,6.37518310546875
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,brisque,True,7,0.0130171775817871,63.91766357421875
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,brisque,True,10,0.0129127502441406,65.19500732421875
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,brisque,True,5,0.0130350589752197,59.30975341796875
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,brisque,True,1,0.0131478309631347,16.55438232421875
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,brisque,True,7,0.0129420757293701,71.82684326171875
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,brisque,True,10,0.0129470825195312,35.75994873046875
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,brisque,True,3,0.0129806995391845,37.99725341796875
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,brisque,True,15,0.0128958225250244,67.65350341796875
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,brisque,True,3,0.0130455493927001,37.29608154296875
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,brisque,True,0,0.0130834579467773,30.53045654296875
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,brisque,True,10,0.0128970146179199,66.84637451171875
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,brisque,True,0,0.013127326965332,24.30242919921875
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,brisque,True,1,0.013073444366455,13.96649169921875
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,brisque,True,7,0.0128989219665527,56.89715576171875
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,brisque,True,15,0.0128326416015625,61.36248779296875
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,brisque,True,10,0.0129387378692626,62.88201904296875
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,brisque,True,15,0.0130567550659179,26.86004638671875
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,brisque,True,7,0.0129549503326416,35.25750732421875
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,brisque,True,1,0.0129556655883789,19.94500732421875
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,brisque,True,1,0.0131566524505615,7.45086669921875
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,brisque,True,5,0.0129220485687255,61.82733154296875
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,brisque,True,7,0.0128843784332275,57.67010498046875
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,brisque,True,0,0.0130603313446044,10.22869873046875
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,brisque,True,0,0.0132169723510742,4.77947998046875
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,brisque,True,5,0.013077974319458,53.52703857421875
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,brisque,True,0,0.0131433010101318,5.65985107421875
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,brisque,True,3,0.0129637718200683,38.84735107421875
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450,brisque,True,10,0.0129005908966064,54.40545654296875
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462,brisque,True,15,0.0129718780517578,16.24383544921875
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683,brisque,True,3,0.0129809379577636,31.72772216796875
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309,brisque,True,7,0.0128560066223144,42.38739013671875
deblurred_erco,0062_lp_dnn_15_bear_10_n02134084_4923,brisque,True,15,0.0128827095031738,66.36151123046875
deblurred_erco,0063_lp_dnn_1_chair_10_n04429376_5238,brisque,True,1,0.0141875743865966,7.75067138671875
deblurred_erco,0064_lp_dnn_0_clock_10_n03196217_2414,brisque,True,0,0.0141429901123046,-4.53887939453125
deblurred_erco,0065_lp_dnn_3_bird_10_n01797886_2711,brisque,True,3,0.0131897926330566,43.93865966796875
deblurred_erco,0066_lp_dnn_15_truck_10_n04467665_68463,brisque,True,15,0.0130014419555664,31.98846435546875
deblurred_erco,0067_lp_dnn_0_truck_10_n03417042_10099,brisque,True,0,0.0130262374877929,21.08123779296875
deblurred_erco,0068_lp_dnn_10_bear_10_n02134418_3793,brisque,True,10,0.0129432678222656,61.84930419921875
deblurred_erco,0069_lp_dnn_10_bottle_10_n03937543_9524,brisque,True,10,0.012969970703125,61.65545654296875
deblurred_erco,0070_lp_dnn_3_cat_10_n02123394_1038,brisque,True,3,0.0128886699676513,35.23065185546875
deblurred_erco,0071_lp_dnn_5_dog_10_n02110185_7886,brisque,True,5,0.0130960941314697,49.21746826171875
deblurred_erco,0072_lp_dnn_3_clock_10_n02708093_4912,brisque,True,3,0.0137536525726318,14.42108154296875
deblurred_erco,0073_lp_dnn_15_dog_10_n02108422_932,brisque,True,15,0.0129191875457763,63.15985107421875
deblurred_erco,0074_lp_dnn_0_truck_10_n04467665_18621,brisque,True,0,0.0131516456604003,16.18524169921875
deblurred_erco,0075_lp_dnn_1_truck_10_n04467665_50932,brisque,True,1,0.013045310974121,21.41131591796875
deblurred_erco,0076_lp_dnn_1_dog_10_n02102480_7293,brisque,True,1,0.013052225112915,19.00848388671875
deblurred_erco,0077_lp_dnn_1_bottle_10_n04591713_4764,brisque,True,1,0.0128352642059326,16.60662841796875
deblurred_erco,0078_lp_dnn_15_clock_10_n02708093_274,brisque,True,15,0.0128321647644042,34.12176513671875
deblurred_erco,0079_lp_dnn_5_bottle_10_n04557648_29772,brisque,True,5,0.0129823684692382,66.82440185546875
deblurred_erco,0080_lp_dnn_15_car_10_n03100240_22499,brisque,True,15,0.0128242969512939,63.64764404296875
deblurred_erco,0081_lp_dnn_3_clock_10_n02708093_6252,brisque,True,3,0.0129261016845703,40.38836669921875
deblurred_erco,0082_lp_dnn_10_airplane_10_n02690373_5427,brisque,True,10,0.0129604339599609,19.72479248046875
deblurred_erco,0083_lp_dnn_15_dog_10_n02107142_46045,brisque,True,15,0.0128946304321289,46.11590576171875
deblurred_erco,0085_lp_dnn_3_bicycle_10_n03792782_12421,brisque,True,3,0.0129613876342773,31.29510498046875
deblurred_erco,0086_lp_dnn_0_airplane_10_n02690373_1310,brisque,True,0,0.0128414630889892,22.92498779296875
deblurred_erco,0087_lp_dnn_15_oven_10_n04111531_8793,brisque,True,15,0.0128469467163085,55.46844482421875
