dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa+_rn50_512,False,5,0.0891883373260498,0.18274836242198944
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa+_rn50_512,False,1,0.01361703872680664,0.373692125082016
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa+_rn50_512,False,3,0.013087272644042969,0.2988589107990265
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa+_rn50_512,False,7,0.01283574104309082,0.16070443391799927
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa+_rn50_512,False,7,0.01278829574584961,0.22426044940948486
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa+_rn50_512,False,1,0.013062715530395508,0.5502014756202698
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa+_rn50_512,False,10,0.012761592864990234,0.2190685123205185
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa+_rn50_512,False,5,0.012708187103271484,0.13120605051517487
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa+_rn50_512,False,3,0.012850046157836914,0.15697233378887177
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa+_rn50_512,False,3,0.012856006622314453,0.31751346588134766
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa+_rn50_512,False,7,0.012734413146972656,0.19958756864070892
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa+_rn50_512,False,10,0.012720108032226562,0.15508121252059937
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa+_rn50_512,False,5,0.012742757797241211,0.22301048040390015
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa+_rn50_512,False,1,0.012886524200439453,0.6179853081703186
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa+_rn50_512,False,7,0.012738704681396484,0.17448195815086365
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa+_rn50_512,False,10,0.012703657150268555,0.15431873500347137
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa+_rn50_512,False,15,0.012713909149169922,0.22900570929050446
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa+_rn50_512,False,10,0.012767791748046875,0.15600943565368652
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa+_rn50_512,False,1,0.012871742248535156,0.4844072461128235
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa+_rn50_512,False,7,0.012647867202758789,0.17521120607852936
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa+_rn50_512,False,15,0.01277613639831543,0.392857164144516
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa+_rn50_512,False,7,0.012726783752441406,0.161465585231781
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa+_rn50_512,False,5,0.012656688690185547,0.14118562638759613
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa+_rn50_512,False,0,0.012881755828857422,0.2670122981071472
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa+_rn50_512,False,7,0.012725830078125,0.09390998631715775
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa+_rn50_512,False,10,0.012773990631103516,0.16086116433143616
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa+_rn50_512,False,5,0.012702226638793945,0.1285915970802307
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa+_rn50_512,False,1,0.01286172866821289,0.46590834856033325
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa+_rn50_512,False,7,0.012678384780883789,0.1836872696876526
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa+_rn50_512,False,10,0.012742280960083008,0.192782923579216
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa+_rn50_512,False,3,0.012713193893432617,0.3223470151424408
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa+_rn50_512,False,15,0.012645483016967773,0.1454092562198639
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa+_rn50_512,False,3,0.012722253799438477,0.31611645221710205
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa+_rn50_512,False,0,0.012975931167602539,0.5195827484130859
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa+_rn50_512,False,10,0.012714147567749023,0.1629507839679718
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa+_rn50_512,False,0,0.012981653213500977,0.23858760297298431
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa+_rn50_512,False,1,0.012838602066040039,0.46601489186286926
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa+_rn50_512,False,7,0.01266169548034668,0.13062098622322083
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa+_rn50_512,False,15,0.012626886367797852,0.19548308849334717
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa+_rn50_512,False,10,0.012737274169921875,0.15439392626285553
