dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,clipiqa,False,5,0.1307709217071533,0.1008696109056472
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,clipiqa,False,1,0.0196068286895751,0.370030403137207
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,clipiqa,False,3,0.0189952850341796,0.3544740676879883
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,clipiqa,False,7,0.0188376903533935,0.1835725605487823
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,clipiqa,False,7,0.0187883377075195,0.1795957386493683
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,clipiqa,False,1,0.0184450149536132,0.7127074599266052
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,clipiqa,False,10,0.0179738998413085,0.1645486503839492
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,clipiqa,False,5,0.0177927017211914,0.1754962652921676
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,clipiqa,False,3,0.0179009437561035,0.1373093724250793
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,clipiqa,False,3,0.0180647373199462,0.5450453758239746
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,clipiqa,False,7,0.0180535316467285,0.1939093470573425
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,clipiqa,False,10,0.018000841140747,0.1452054679393768
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,clipiqa,False,5,0.0181035995483398,0.2514920830726623
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,clipiqa,False,1,0.018207311630249,0.7256135940551758
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,clipiqa,False,7,0.0178594589233398,0.140795037150383
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,clipiqa,False,10,0.017784833908081,0.1356096118688583
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,clipiqa,False,15,0.0178158283233642,0.2160331457853317
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,clipiqa,False,10,0.0177366733551025,0.1638287007808685
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,clipiqa,False,1,0.0180435180664062,0.3732304275035858
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,clipiqa,False,7,0.0179522037506103,0.1718906611204147
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,clipiqa,False,15,0.0181379318237304,0.3765762746334076
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,clipiqa,False,7,0.0180451869964599,0.1520855128765106
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,clipiqa,False,5,0.0179910659790039,0.1900610774755478
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,clipiqa,False,0,0.0181753635406494,0.5373320579528809
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,clipiqa,False,7,0.0179660320281982,0.0952744930982589
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,clipiqa,False,10,0.0178062915802001,0.1344113796949386
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,clipiqa,False,5,0.0177624225616455,0.138311430811882
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,clipiqa,False,1,0.0179204940795898,0.6847497820854187
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,clipiqa,False,7,0.0178358554840087,0.1275067329406738
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,clipiqa,False,10,0.018082857131958,0.1536466926336288
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,clipiqa,False,3,0.0181632041931152,0.3188795745372772
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,clipiqa,False,15,0.0180695056915283,0.1307185441255569
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,clipiqa,False,3,0.0182657241821289,0.493072897195816
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,clipiqa,False,0,0.0190863609313964,0.4564532339572906
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,clipiqa,False,10,0.0182633399963378,0.1110987588763237
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,clipiqa,False,0,0.0181384086608886,0.2808063328266144
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,clipiqa,False,1,0.0179970264434814,0.5280093550682068
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,clipiqa,False,7,0.0177209377288818,0.1547770053148269
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,clipiqa,False,15,0.0177059173583984,0.1941200941801071
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,clipiqa,False,10,0.017960786819458,0.1377565115690231
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,clipiqa,False,15,0.0180971622467041,0.4418371617794037
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,clipiqa,False,7,0.0181095600128173,0.2906263768672943
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,clipiqa,False,1,0.0181765556335449,0.549537181854248
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,clipiqa,False,1,0.0184404850006103,0.656721293926239
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,clipiqa,False,5,0.0187780857086181,0.1128545179963111
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,clipiqa,False,7,0.0180530548095703,0.1066474467515945
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,clipiqa,False,0,0.0180094242095947,0.6574540138244629
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,clipiqa,False,0,0.0180931091308593,0.6939184069633484
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,clipiqa,False,5,0.0178849697113037,0.1145646497607231
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,clipiqa,False,0,0.0179872512817382,0.6370332837104797
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,clipiqa,False,3,0.017956256866455,0.234012171626091
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450,clipiqa,False,10,0.0180535316467285,0.1636728644371032
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462,clipiqa,False,15,0.0180897712707519,0.3704164922237396
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683,clipiqa,False,3,0.0180974006652832,0.2099769562482834
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309,clipiqa,False,7,0.0180544853210449,0.1967905610799789
deblurred_erco,0062_lp_dnn_15_bear_10_n02134084_4923,clipiqa,False,15,0.0179283618927001,0.1465353518724441
deblurred_erco,0063_lp_dnn_1_chair_10_n04429376_5238,clipiqa,False,1,0.0179951190948486,0.2803612053394317
deblurred_erco,0064_lp_dnn_0_clock_10_n03196217_2414,clipiqa,False,0,0.0179448127746582,0.6544141173362732
deblurred_erco,0065_lp_dnn_3_bird_10_n01797886_2711,clipiqa,False,3,0.0178782939910888,0.2196270674467086
deblurred_erco,0066_lp_dnn_15_truck_10_n04467665_68463,clipiqa,False,15,0.0178754329681396,0.2158280611038208
deblurred_erco,0067_lp_dnn_0_truck_10_n03417042_10099,clipiqa,False,0,0.0181860923767089,0.7145513892173767
deblurred_erco,0068_lp_dnn_10_bear_10_n02134418_3793,clipiqa,False,10,0.0180542469024658,0.1692969053983688
deblurred_erco,0069_lp_dnn_10_bottle_10_n03937543_9524,clipiqa,False,10,0.0180408954620361,0.1066382452845573
deblurred_erco,0070_lp_dnn_3_cat_10_n02123394_1038,clipiqa,False,3,0.0179858207702636,0.2902665734291076
deblurred_erco,0071_lp_dnn_5_dog_10_n02110185_7886,clipiqa,False,5,0.0180108547210693,0.1128049418330192
deblurred_erco,0072_lp_dnn_3_clock_10_n02708093_4912,clipiqa,False,3,0.0179574489593505,0.2051993161439895
deblurred_erco,0073_lp_dnn_15_dog_10_n02108422_932,clipiqa,False,15,0.0178394317626953,0.1366727203130722
deblurred_erco,0074_lp_dnn_0_truck_10_n04467665_18621,clipiqa,False,0,0.017979621887207,0.5609298348426819
deblurred_erco,0075_lp_dnn_1_truck_10_n04467665_50932,clipiqa,False,1,0.0179274082183837,0.44858318567276
