dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,cnniqa,False,5,0.0292701721191406,0.1903976052999496
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,cnniqa,False,1,0.015838623046875,0.4951666593551636
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,cnniqa,False,3,0.015437364578247,0.2384374886751175
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,cnniqa,False,7,0.0152902603149414,0.1949715912342071
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,cnniqa,False,7,0.0153067111968994,0.1784423738718032
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,cnniqa,False,1,0.0155415534973144,0.5966922640800476
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,cnniqa,False,10,0.0153021812438964,0.2012477666139602
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,cnniqa,False,5,0.0152714252471923,0.1471646130084991
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,cnniqa,False,3,0.0153744220733642,0.2703988254070282
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,cnniqa,False,3,0.0153312683105468,0.2421081960201263
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,cnniqa,False,7,0.015265941619873,0.2196701914072036
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,cnniqa,False,10,0.0152554512023925,0.2012414783239364
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,cnniqa,False,5,0.0153648853302001,0.1747777163982391
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,cnniqa,False,1,0.0154478549957275,0.5266167521476746
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,cnniqa,False,7,0.0152757167816162,0.2279589772224426
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,cnniqa,False,10,0.0153009891510009,0.2171994000673294
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,cnniqa,False,15,0.0153274536132812,0.2559213042259216
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,cnniqa,False,10,0.0152385234832763,0.2593854069709778
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,cnniqa,False,1,0.0153954029083251,0.5301818251609802
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,cnniqa,False,7,0.0153133869171142,0.1660192757844925
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,cnniqa,False,15,0.0155739784240722,0.5428910255432129
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,cnniqa,False,7,0.015326976776123,0.2262608855962753
