dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,hyperiqa,False,5,0.1147992610931396,0.1320534795522689
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,hyperiqa,False,1,0.0342910289764404,0.4352028965950012
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,hyperiqa,False,3,0.0340418815612793,0.1917907744646072
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,hyperiqa,False,7,0.0337865352630615,0.1805943250656128
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,hyperiqa,False,7,0.0329294204711914,0.1446654200553894
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,hyperiqa,False,1,0.0329532623291015,0.3767070770263672
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,hyperiqa,False,10,0.0327749252319335,0.1448332518339157
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,hyperiqa,False,5,0.0327217578887939,0.1357887983322143
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,hyperiqa,False,3,0.0328788757324218,0.1988561898469925
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,hyperiqa,False,3,0.0327668190002441,0.1851671487092971
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,hyperiqa,False,7,0.0326654911041259,0.2436306178569793
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,hyperiqa,False,10,0.032841682434082,0.1481934040784835
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,hyperiqa,False,5,0.0327024459838867,0.141244351863861
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,hyperiqa,False,1,0.0328447818756103,0.5214800834655762
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,hyperiqa,False,7,0.0327692031860351,0.1431794762611389
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,hyperiqa,False,10,0.0328025817871093,0.2551309466361999
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,hyperiqa,False,15,0.032778263092041,0.1318933963775634
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,hyperiqa,False,10,0.032731294631958,0.1955778449773788
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,hyperiqa,False,1,0.0328030586242675,0.359100341796875
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,hyperiqa,False,7,0.032787799835205,0.1393582820892334
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,hyperiqa,False,15,0.0328400135040283,0.5371153354644775
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,hyperiqa,False,7,0.0327241420745849,0.1529732793569564
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,hyperiqa,False,5,0.0327563285827636,0.1580451875925064
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,hyperiqa,False,0,0.0329782962799072,0.4203642904758453
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,hyperiqa,False,7,0.0326132774353027,0.1515942960977554
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,hyperiqa,False,10,0.0328073501586914,0.1823766678571701
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,hyperiqa,False,5,0.032710313796997,0.1482486426830291
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,hyperiqa,False,1,0.0329387187957763,0.460645467042923
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,hyperiqa,False,7,0.0327551364898681,0.1303249299526214
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,hyperiqa,False,10,0.0328624248504638,0.2587831020355224
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,hyperiqa,False,3,0.0330226421356201,0.1975221186876297
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,hyperiqa,False,15,0.0328538417816162,0.1207984387874603
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,hyperiqa,False,3,0.0327725410461425,0.1995669454336166
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,hyperiqa,False,0,0.0328924655914306,0.6045210361480713
