dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-kadid,False,5,0.8290755748748779,0.124433234333992
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-kadid,False,1,0.8574633598327637,0.3034547567367553
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-kadid,False,3,0.8552224636077881,0.218705415725708
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-kadid,False,7,0.8568906784057617,0.0745803713798523
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-kadid,False,7,0.8567063808441162,0.0671475008130073
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-kadid,False,1,0.8527181148529053,0.2720170021057129
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-kadid,False,10,0.8543827533721924,0.0556431747972965
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-kadid,False,5,0.854759693145752,0.139219045639038
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-kadid,False,3,0.8572652339935303,0.153534859418869
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-kadid,False,3,0.8535711765289307,0.2021546810865402
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-kadid,False,7,0.8548464775085449,0.1119385510683059
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-kadid,False,10,0.8581125736236572,0.0565188489854335
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-kadid,False,5,0.8576693534851074,0.1123845428228378
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-kadid,False,1,0.8590598106384277,0.3267543911933899
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-kadid,False,7,0.85764479637146,0.0943533331155777
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-kadid,False,10,0.8574748039245605,0.0806337967514991
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-kadid,False,15,0.8576135635375977,0.091149128973484
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-kadid,False,10,0.8570568561553955,0.0810397863388061
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-kadid,False,1,0.8600788116455078,0.2745051681995392
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-kadid,False,7,0.8589625358581543,0.0790900290012359
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-kadid,False,15,0.8588714599609375,0.272622287273407
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-kadid,False,7,0.8596477508544922,0.1266495883464813
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-kadid,False,5,0.8575668334960938,0.0748613998293876
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-kadid,False,0,0.8598482608795166,0.3282180726528168
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-kadid,False,7,0.8613207340240479,0.0714370310306549
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-kadid,False,10,0.8594276905059814,0.0700394511222839
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-kadid,False,5,0.858245849609375,0.1076152324676513
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-kadid,False,1,0.8609871864318848,0.2959851622581482
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-kadid,False,7,0.8602442741394043,0.1138717904686927
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-kadid,False,10,0.8592677116394043,0.1099959835410118
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-kadid,False,3,0.8579659461975098,0.2247777581214904
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-kadid,False,15,0.859595775604248,0.0666683167219162
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-kadid,False,3,0.8606929779052734,0.2197027653455734
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-kadid,False,0,0.8657889366149902,0.3586033880710602
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-kadid,False,10,0.860515832901001,0.0647724717855453
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-kadid,False,0,0.860299825668335,0.2658272981643677
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-kadid,False,1,0.8611326217651367,0.3444830179214477
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-kadid,False,7,0.8609449863433838,0.1233576610684394
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-kadid,False,15,0.8602051734924316,0.061223492026329
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-kadid,False,10,0.861562967300415,0.0886112079024314
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-kadid,False,15,0.860919713973999,0.2453060895204544
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-kadid,False,7,0.8622713088989258,0.2004448622465133
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa-kadid,False,1,0.860741376876831,0.3310319483280182
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa-kadid,False,1,0.8644981384277344,0.2647397220134735
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,maniqa-kadid,False,5,0.8601861000061035,0.1358793228864669
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa-kadid,False,7,0.8636393547058105,0.0825889408588409
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa-kadid,False,0,0.863415002822876,0.2886072099208832
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa-kadid,False,0,0.8638505935668945,0.3016079664230346
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,maniqa-kadid,False,5,0.8625791072845459,0.1412954032421112
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,maniqa-kadid,False,0,0.8643476963043213,0.3303061723709106
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,maniqa-kadid,False,3,0.8637924194335938,0.2158460170030594
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450,maniqa-kadid,False,10,0.8619101047515869,0.0924751311540603
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462,maniqa-kadid,False,15,0.86220383644104,0.2137684673070907
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683,maniqa-kadid,False,3,0.8627314567565918,0.2515651285648346
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309,maniqa-kadid,False,7,0.8639378547668457,0.1391659826040268
deblurred_erco,0062_lp_dnn_15_bear_10_n02134084_4923,maniqa-kadid,False,15,0.8606734275817871,0.0664276629686355
deblurred_erco,0063_lp_dnn_1_chair_10_n04429376_5238,maniqa-kadid,False,1,0.8632833957672119,0.273750364780426
deblurred_erco,0064_lp_dnn_0_clock_10_n03196217_2414,maniqa-kadid,False,0,0.8646430969238281,0.3790934085845947
deblurred_erco,0065_lp_dnn_3_bird_10_n01797886_2711,maniqa-kadid,False,3,0.8624331951141357,0.1626670062541961
deblurred_erco,0066_lp_dnn_15_truck_10_n04467665_68463,maniqa-kadid,False,15,0.8623542785644531,0.1646120250225067
deblurred_erco,0067_lp_dnn_0_truck_10_n03417042_10099,maniqa-kadid,False,0,0.8632721900939941,0.3734394013881683
deblurred_erco,0068_lp_dnn_10_bear_10_n02134418_3793,maniqa-kadid,False,10,0.8627645969390869,0.0826756581664085
deblurred_erco,0069_lp_dnn_10_bottle_10_n03937543_9524,maniqa-kadid,False,10,0.8623924255371094,0.0637817755341529
deblurred_erco,0070_lp_dnn_3_cat_10_n02123394_1038,maniqa-kadid,False,3,0.8637709617614746,0.1757480502128601
deblurred_erco,0071_lp_dnn_5_dog_10_n02110185_7886,maniqa-kadid,False,5,0.8617751598358154,0.1523490101099014
deblurred_erco,0072_lp_dnn_3_clock_10_n02708093_4912,maniqa-kadid,False,3,0.8634932041168213,0.2571593523025512
deblurred_erco,0073_lp_dnn_15_dog_10_n02108422_932,maniqa-kadid,False,15,0.8622219562530518,0.0690511241555213
deblurred_erco,0074_lp_dnn_0_truck_10_n04467665_18621,maniqa-kadid,False,0,0.8644430637359619,0.345338374376297
deblurred_erco,0075_lp_dnn_1_truck_10_n04467665_50932,maniqa-kadid,False,1,0.8641452789306641,0.309806078672409
deblurred_erco,0076_lp_dnn_1_dog_10_n02102480_7293,maniqa-kadid,False,1,0.8643014430999756,0.2981408834457397
deblurred_erco,0077_lp_dnn_1_bottle_10_n04591713_4764,maniqa-kadid,False,1,0.8638336658477783,0.301721453666687
