dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,maniqa-pipal,False,5,0.8372664451599121,0.30263495445251465
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,maniqa-pipal,False,1,0.8588333129882812,0.6375781297683716
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,maniqa-pipal,False,3,0.8621852397918701,0.3908661901950836
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,maniqa-pipal,False,7,0.8597607612609863,0.33007070422172546
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,maniqa-pipal,False,7,0.8605897426605225,0.2813466191291809
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,maniqa-pipal,False,1,0.8602242469787598,0.5606811046600342
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,maniqa-pipal,False,10,0.8589119911193848,0.22819828987121582
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,maniqa-pipal,False,5,0.8567829132080078,0.28841832280158997
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,maniqa-pipal,False,3,0.855557918548584,0.40956515073776245
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,maniqa-pipal,False,3,0.8581774234771729,0.39224693179130554
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,maniqa-pipal,False,7,0.8596937656402588,0.3794350028038025
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,maniqa-pipal,False,10,0.8597354888916016,0.24042536318302155
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,maniqa-pipal,False,5,0.8597948551177979,0.2375485897064209
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,maniqa-pipal,False,1,0.8585605621337891,0.6106063723564148
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,maniqa-pipal,False,7,0.8588762283325195,0.29109272360801697
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,maniqa-pipal,False,10,0.8587303161621094,0.21141593158245087
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,maniqa-pipal,False,15,0.8587641716003418,0.2110501527786255
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,maniqa-pipal,False,10,0.8615450859069824,0.21213652193546295
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,maniqa-pipal,False,1,0.861055850982666,0.5884415507316589
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,maniqa-pipal,False,7,0.8597395420074463,0.2340848743915558
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,maniqa-pipal,False,15,0.8575289249420166,0.528083324432373
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,maniqa-pipal,False,7,0.8590140342712402,0.25311747193336487
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,maniqa-pipal,False,5,0.8633904457092285,0.2702692151069641
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,maniqa-pipal,False,0,0.8593957424163818,0.6124720573425293
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,maniqa-pipal,False,7,0.858905553817749,0.21017040312290192
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,maniqa-pipal,False,10,0.8589198589324951,0.21160385012626648
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,maniqa-pipal,False,5,0.860438346862793,0.28173863887786865
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,maniqa-pipal,False,1,0.8595602512359619,0.5831985473632812
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,maniqa-pipal,False,7,0.8606023788452148,0.29882165789604187
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,maniqa-pipal,False,10,0.8603603839874268,0.26374372839927673
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,maniqa-pipal,False,3,0.8589997291564941,0.45707544684410095
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,maniqa-pipal,False,15,0.8608858585357666,0.1916288435459137
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,maniqa-pipal,False,3,0.859684944152832,0.39084041118621826
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,maniqa-pipal,False,0,0.8598406314849854,0.6677214503288269
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,maniqa-pipal,False,10,0.8637781143188477,0.20459352433681488
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,maniqa-pipal,False,0,0.8618762493133545,0.6027863025665283
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,maniqa-pipal,False,1,0.8618555068969727,0.6363082528114319
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,maniqa-pipal,False,7,0.8612096309661865,0.32892709970474243
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,maniqa-pipal,False,15,0.8608124256134033,0.20413713157176971
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,maniqa-pipal,False,10,0.8627815246582031,0.1892833262681961
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,maniqa-pipal,False,15,0.8614389896392822,0.3367305397987366
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,maniqa-pipal,False,7,0.8627970218658447,0.31248053908348083
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,maniqa-pipal,False,1,0.8600020408630371,0.6352882385253906
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,maniqa-pipal,False,1,0.8598535060882568,0.6874800324440002
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,maniqa-pipal,False,5,0.860417366027832,0.30523067712783813
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,maniqa-pipal,False,7,0.8616406917572021,0.2514320909976959
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,maniqa-pipal,False,0,0.8618981838226318,0.6812515258789062
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,maniqa-pipal,False,0,0.8604967594146729,0.6769885420799255
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,maniqa-pipal,False,5,0.860729455947876,0.3886512815952301
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,maniqa-pipal,False,0,0.8620235919952393,0.70319002866745
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,maniqa-pipal,False,3,0.8618509769439697,0.4154382646083832
