dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-paq2piq,False,5,0.0125370025634765,56.69794845581055
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-paq2piq,False,1,0.0121467113494873,74.87125396728516
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-paq2piq,False,3,0.0119330883026123,65.45419311523438
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-paq2piq,False,7,0.0118777751922607,59.29338836669922
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-paq2piq,False,7,0.0119073390960693,56.456485748291016
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,musiq-paq2piq,False,1,0.0120689868927001,72.4209976196289
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-paq2piq,False,10,0.0118939876556396,55.45402145385742
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,musiq-paq2piq,False,5,0.0118649005889892,56.60503387451172
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-paq2piq,False,3,0.0120565891265869,64.33155059814453
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-paq2piq,False,3,0.0119791030883789,61.17146301269531
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-paq2piq,False,7,0.0118982791900634,56.685035705566406
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-paq2piq,False,10,0.0118484497070312,53.64911651611328
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-paq2piq,False,5,0.0119132995605468,54.41532516479492
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-paq2piq,False,1,0.0120658874511718,75.73358917236328
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-paq2piq,False,7,0.0118968486785888,56.14225006103516
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-paq2piq,False,10,0.011930227279663,52.06193923950195
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-paq2piq,False,15,0.0119109153747558,52.195709228515625
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-paq2piq,False,10,0.0119397640228271,54.641937255859375
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-paq2piq,False,1,0.012019395828247,73.27877044677734
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-paq2piq,False,7,0.0118496417999267,53.16911315917969
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-paq2piq,False,15,0.0119962692260742,76.06822967529297
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,musiq-paq2piq,False,7,0.0119621753692626,59.33741760253906
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-paq2piq,False,5,0.0118513107299804,54.34441375732422
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-paq2piq,False,0,0.0120692253112792,72.64041900634766
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,musiq-paq2piq,False,7,0.011871337890625,52.978660583496094
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-paq2piq,False,10,0.0118782520294189,58.03978729248047
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-paq2piq,False,5,0.0119552612304687,57.37028503417969
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-paq2piq,False,1,0.0120899677276611,73.94915771484375
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-paq2piq,False,7,0.0118653774261474,58.77448272705078
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-paq2piq,False,10,0.0119402408599853,55.03873062133789
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-paq2piq,False,3,0.0119245052337646,63.05034637451172
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-paq2piq,False,15,0.0118567943572998,52.254974365234375
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-paq2piq,False,3,0.011894941329956,60.20975875854492
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,musiq-paq2piq,False,0,0.011998176574707,77.48778533935547
