dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,musiq-spaq,False,5,0.012569189071655273,23.850505828857422
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,musiq-spaq,False,1,0.012107610702514648,54.056522369384766
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,musiq-spaq,False,3,0.01198434829711914,30.928119659423828
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,musiq-spaq,False,7,0.011899471282958984,27.539119720458984
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,musiq-spaq,False,7,0.011906623840332031,35.1727294921875
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,musiq-spaq,False,1,0.012060403823852539,52.600624084472656
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,musiq-spaq,False,10,0.011903762817382812,28.382400512695312
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,musiq-spaq,False,5,0.011864423751831055,24.112003326416016
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,musiq-spaq,False,3,0.012053966522216797,35.17330551147461
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,musiq-spaq,False,3,0.01195526123046875,32.820472717285156
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,musiq-spaq,False,7,0.01188039779663086,21.345298767089844
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,musiq-spaq,False,10,0.011857271194458008,26.66150665283203
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,musiq-spaq,False,5,0.011833906173706055,22.76259994506836
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,musiq-spaq,False,1,0.012028694152832031,57.785579681396484
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,musiq-spaq,False,7,0.011905431747436523,30.070022583007812
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,musiq-spaq,False,10,0.011913061141967773,25.938444137573242
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,musiq-spaq,False,15,0.01190495491027832,24.51734733581543
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,musiq-spaq,False,10,0.011920928955078125,28.921737670898438
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,musiq-spaq,False,1,0.011970758438110352,53.25731658935547
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,musiq-spaq,False,7,0.011817216873168945,26.446073532104492
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,musiq-spaq,False,15,0.011989355087280273,54.62097930908203
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,musiq-spaq,False,7,0.011925220489501953,21.29766845703125
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,musiq-spaq,False,5,0.011798620223999023,23.315860748291016
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,musiq-spaq,False,0,0.012009143829345703,47.41020202636719
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,musiq-spaq,False,7,0.011861562728881836,23.75558853149414
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,musiq-spaq,False,10,0.011890411376953125,27.01980972290039
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,musiq-spaq,False,5,0.011966943740844727,24.3890438079834
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,musiq-spaq,False,1,0.011997461318969727,50.66254806518555
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,musiq-spaq,False,7,0.011866569519042969,28.73440170288086
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,musiq-spaq,False,10,0.011910438537597656,24.406158447265625
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,musiq-spaq,False,3,0.01192331314086914,28.933509826660156
deblurred_erco,0037_lp_dnn_15_truck_10_n03417042_1336,musiq-spaq,False,15,0.011853218078613281,26.777137756347656
deblurred_erco,0038_lp_dnn_3_knife_10_n03041632_7495,musiq-spaq,False,3,0.01180577278137207,34.09934997558594
deblurred_erco,0039_lp_dnn_0_car_10_n03100240_9625,musiq-spaq,False,0,0.01190948486328125,54.10993957519531
deblurred_erco,0040_lp_dnn_10_elephant_10_n02504458_6107,musiq-spaq,False,10,0.011875629425048828,27.17885971069336
deblurred_erco,0041_lp_dnn_0_bicycle_10_n03792782_33649,musiq-spaq,False,0,0.012155294418334961,50.726341247558594
deblurred_erco,0042_lp_dnn_1_clock_10_n03196217_8282,musiq-spaq,False,1,0.011975526809692383,58.5592041015625
deblurred_erco,0043_lp_dnn_7_keyboard_10_n03085013_21534,musiq-spaq,False,7,0.011786460876464844,25.764522552490234
deblurred_erco,0044_lp_dnn_15_elephant_10_n02504013_22813,musiq-spaq,False,15,0.011749505996704102,30.892322540283203
deblurred_erco,0045_lp_dnn_10_truck_10_n03796401_16425,musiq-spaq,False,10,0.011863946914672852,29.237905502319336
deblurred_erco,0046_lp_dnn_15_airplane_10_n02690373_9427,musiq-spaq,False,15,0.011887550354003906,41.07537078857422
deblurred_erco,0047_lp_dnn_7_bird_10_n02009912_11907,musiq-spaq,False,7,0.011906623840332031,36.79399108886719
deblurred_erco,0048_lp_dnn_1_airplane_10_n02690373_5773,musiq-spaq,False,1,0.01195383071899414,62.38480758666992
deblurred_erco,0050_lp_dnn_1_bird_10_n01819313_18188,musiq-spaq,False,1,0.012067794799804688,67.96277618408203
deblurred_erco,0051_lp_dnn_5_car_10_n04285008_7428,musiq-spaq,False,5,0.011945247650146484,24.633865356445312
deblurred_erco,0052_lp_dnn_7_bottle_10_n04591713_6923,musiq-spaq,False,7,0.011866569519042969,28.589195251464844
deblurred_erco,0053_lp_dnn_0_knife_10_n03041632_22570,musiq-spaq,False,0,0.012050628662109375,72.39024353027344
deblurred_erco,0054_lp_dnn_0_bear_10_n02132136_7586,musiq-spaq,False,0,0.01218557357788086,61.411834716796875
deblurred_erco,0055_lp_dnn_5_clock_10_n04548280_9144,musiq-spaq,False,5,0.011939525604248047,27.087615966796875
deblurred_erco,0056_lp_dnn_0_bottle_10_n04591713_2680,musiq-spaq,False,0,0.012072086334228516,63.88909912109375
deblurred_erco,0057_lp_dnn_3_cat_10_n02123045_1596,musiq-spaq,False,3,0.011947870254516602,31.855667114257812
deblurred_erco,0058_lp_dnn_10_cat_10_n02123597_19450,musiq-spaq,False,10,0.011878728866577148,25.70368003845215
deblurred_erco,0059_lp_dnn_15_chair_10_n03376595_3462,musiq-spaq,False,15,0.011917829513549805,37.82849884033203
deblurred_erco,0060_lp_dnn_3_bottle_10_n04591713_3683,musiq-spaq,False,3,0.012013912200927734,30.064117431640625
deblurred_erco,0061_lp_dnn_7_clock_10_n03196217_4309,musiq-spaq,False,7,0.011810302734375,29.327720642089844
deblurred_erco,0062_lp_dnn_15_bear_10_n02134084_4923,musiq-spaq,False,15,0.011830329895019531,25.13298797607422
deblurred_erco,0063_lp_dnn_1_chair_10_n04429376_5238,musiq-spaq,False,1,0.012119531631469727,55.681495666503906
deblurred_erco,0064_lp_dnn_0_clock_10_n03196217_2414,musiq-spaq,False,0,0.012084722518920898,53.156429290771484
deblurred_erco,0065_lp_dnn_3_bird_10_n01797886_2711,musiq-spaq,False,3,0.011997699737548828,45.26808166503906
deblurred_erco,0066_lp_dnn_15_truck_10_n04467665_68463,musiq-spaq,False,15,0.011910676956176758,34.738525390625
deblurred_erco,0067_lp_dnn_0_truck_10_n03417042_10099,musiq-spaq,False,0,0.011963129043579102,68.90258026123047
deblurred_erco,0068_lp_dnn_10_bear_10_n02134418_3793,musiq-spaq,False,10,0.011913537979125977,25.016008377075195
deblurred_erco,0069_lp_dnn_10_bottle_10_n03937543_9524,musiq-spaq,False,10,0.012026071548461914,26.522367477416992
deblurred_erco,0070_lp_dnn_3_cat_10_n02123394_1038,musiq-spaq,False,3,0.011908292770385742,32.99989700317383
deblurred_erco,0071_lp_dnn_5_dog_10_n02110185_7886,musiq-spaq,False,5,0.011909246444702148,23.17464828491211
deblurred_erco,0072_lp_dnn_3_clock_10_n02708093_4912,musiq-spaq,False,3,0.011954545974731445,37.903038024902344
deblurred_erco,0073_lp_dnn_15_dog_10_n02108422_932,musiq-spaq,False,15,0.01184844970703125,34.85246276855469
deblurred_erco,0074_lp_dnn_0_truck_10_n04467665_18621,musiq-spaq,False,0,0.012156009674072266,57.21000671386719
deblurred_erco,0075_lp_dnn_1_truck_10_n04467665_50932,musiq-spaq,False,1,0.012021541595458984,47.12920379638672
deblurred_erco,0076_lp_dnn_1_dog_10_n02102480_7293,musiq-spaq,False,1,0.012033462524414062,60.043582916259766
deblurred_erco,0077_lp_dnn_1_bottle_10_n04591713_4764,musiq-spaq,False,1,0.011873960494995117,51.34938049316406
deblurred_erco,0078_lp_dnn_15_clock_10_n02708093_274,musiq-spaq,False,15,0.0119171142578125,25.75786590576172
deblurred_erco,0079_lp_dnn_5_bottle_10_n04557648_29772,musiq-spaq,False,5,0.011909723281860352,23.706106185913086
deblurred_erco,0080_lp_dnn_15_car_10_n03100240_22499,musiq-spaq,False,15,0.011815309524536133,25.270767211914062
deblurred_erco,0081_lp_dnn_3_clock_10_n02708093_6252,musiq-spaq,False,3,0.011868476867675781,43.50384521484375
