dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,nima,False,5,0.02431631088256836,3.7614870071411133
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,nima,False,1,0.02348470687866211,4.017315864562988
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,nima,False,3,0.023223400115966797,3.875474214553833
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,nima,False,7,0.023162126541137695,3.664109230041504
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,nima,False,7,0.023210525512695312,4.703880310058594
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,nima,False,1,0.023436784744262695,4.490211009979248
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,nima,False,10,0.023104429244995117,4.4286394119262695
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,nima,False,5,0.02299213409423828,4.980921745300293
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,nima,False,3,0.022990942001342773,3.7786953449249268
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,nima,False,3,0.023043394088745117,4.280712604522705
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,nima,False,7,0.022953510284423828,3.7071046829223633
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,nima,False,10,0.022920846939086914,4.2399001121521
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,nima,False,5,0.022877931594848633,3.6698594093322754
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,nima,False,1,0.023067235946655273,4.542054176330566
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,nima,False,7,0.022998332977294922,3.5883970260620117
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,nima,False,10,0.022948026657104492,3.750608444213867
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,nima,False,15,0.022939682006835938,4.327534198760986
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,nima,False,10,0.022897720336914062,4.072045803070068
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,nima,False,1,0.02305746078491211,3.764094352722168
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,nima,False,7,0.022978544235229492,4.167143821716309
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,nima,False,15,0.023035049438476562,5.146515369415283
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,nima,False,7,0.022937297821044922,3.706430196762085
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,nima,False,5,0.022846460342407227,5.040682792663574
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,nima,False,0,0.023097515106201172,3.692544460296631
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,nima,False,7,0.022945880889892578,3.680601119995117
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,nima,False,10,0.022952795028686523,3.95889949798584
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,nima,False,5,0.022872447967529297,3.2800655364990234
