dataset,image,metric,lower_better,condition,time,score
deblurred_erco,0003_lp_dnn_5_truck_10_n04467665_34253,nrqm,False,5,1.6402091979980469,3.858919858932495
deblurred_erco,0004_lp_dnn_1_clock_10_n04548280_5320,nrqm,False,1,1.6138834953308103,7.699345588684082
deblurred_erco,0005_lp_dnn_3_dog_10_n02108915_3652,nrqm,False,3,1.6178529262542725,4.667690753936768
deblurred_erco,0006_lp_dnn_7_keyboard_10_n04505470_578,nrqm,False,7,1.6129896640777588,2.5223021507263184
deblurred_erco,0007_lp_dnn_7_cat_10_n02123597_3842,nrqm,False,7,1.6133747100830078,1.9911822080612185
deblurred_erco,0008_lp_dnn_1_bear_10_n02134418_14,nrqm,False,1,1.6266186237335205,8.217650413513184
deblurred_erco,0009_lp_dnn_10_knife_10_n03041632_29920,nrqm,False,10,1.5968995094299316,1.4910430908203125
deblurred_erco,0010_lp_dnn_5_bird_10_n01795545_952,nrqm,False,5,1.637903928756714,3.653140544891357
deblurred_erco,0011_lp_dnn_3_bear_10_n02132136_6441,nrqm,False,3,1.6065950393676758,4.418700695037842
deblurred_erco,0012_lp_dnn_3_bird_10_n01829413_8792,nrqm,False,3,1.6364123821258545,4.6446852684021
deblurred_erco,0013_lp_dnn_7_keyboard_10_n04505470_4458,nrqm,False,7,1.6027040481567385,2.6160807609558105
deblurred_erco,0014_lp_dnn_10_chair_10_n03376595_9176,nrqm,False,10,1.5976665019989014,1.3331403732299805
deblurred_erco,0017_lp_dnn_5_oven_10_n04111531_1580,nrqm,False,5,1.6281399726867676,3.8555984497070312
deblurred_erco,0018_lp_dnn_1_elephant_10_n02504458_900,nrqm,False,1,1.6311349868774414,8.779486656188965
deblurred_erco,0019_lp_dnn_7_dog_10_n02106662_2384,nrqm,False,7,1.621689796447754,2.80661678314209
deblurred_erco,0020_lp_dnn_10_truck_10_n03796401_22618,nrqm,False,10,1.6116900444030762,2.1189093589782715
deblurred_erco,0021_lp_dnn_15_elephant_10_n02504013_5463,nrqm,False,15,1.6051015853881836,2.3579466342926025
deblurred_erco,0022_lp_dnn_10_chair_10_n04429376_16459,nrqm,False,10,1.613308668136597,2.4197540283203125
deblurred_erco,0023_lp_dnn_1_cat_10_n02123045_12206,nrqm,False,1,1.6198463439941406,7.798913478851318
deblurred_erco,0024_lp_dnn_7_truck_10_n03417042_2633,nrqm,False,7,1.6202316284179688,2.6416215896606445
deblurred_erco,0025_lp_dnn_15_keyboard_10_n03085013_24416,nrqm,False,15,1.6193618774414062,8.01438045501709
deblurred_erco,0026_lp_dnn_7_car_10_n02814533_44503,nrqm,False,7,1.6238794326782229,3.193380117416382
deblurred_erco,0027_lp_dnn_5_elephant_10_n02504458_5797,nrqm,False,5,1.6179885864257812,3.067728042602539
deblurred_erco,0028_lp_dnn_0_chair_10_n04429376_8237,nrqm,False,0,1.60681414604187,7.914344787597656
deblurred_erco,0029_lp_dnn_7_cat_10_n02123159_587,nrqm,False,7,1.6252362728118896,2.8634378910064697
deblurred_erco,0030_lp_dnn_10_bird_10_n02028035_17238,nrqm,False,10,1.6172733306884766,2.770921468734741
deblurred_erco,0032_lp_dnn_5_boat_10_n04273569_22332,nrqm,False,5,1.6301932334899902,4.066102027893066
deblurred_erco,0033_lp_dnn_1_elephant_10_n02504013_1244,nrqm,False,1,1.6335816383361816,8.247493743896484
deblurred_erco,0034_lp_dnn_7_bicycle_10_n03792782_30229,nrqm,False,7,1.605719804763794,2.682330846786499
deblurred_erco,0035_lp_dnn_10_keyboard_10_n03085013_7573,nrqm,False,10,1.6084487438201904,2.7674269676208496
deblurred_erco,0036_lp_dnn_3_keyboard_10_n03085013_24578,nrqm,False,3,1.6235699653625488,4.418747425079346
